metric_i,N_i,metric_j,N_j,covariance,correlation
P4_D,65,P4_D_prime,130,-6.121531199694128e-05,-0.06373151242189151
P4_D,65,P4_D_prime,145,1.8528204013236435e-06,0.002509284472614017
P4_D,65,P4_D_prime,170,4.797810693276221e-05,0.04383331598113827
P4_D,85,P4_D,85,0.007503667646416834,1.0
P4_D,85,P4_D,130,-0.0007882895098828147,-0.038578481473591546
P4_D,85,P4_D,145,0.00048476154240911784,0.03153473572411998
P4_D,85,P4_D,170,0.0009673917715987386,0.041757509791955326
P4_D,85,P4_S_prime,65,0.0007198490492011071,0.0872387574331085
P4_D,85,P4_S_prime,85,0.00799105171055794,0.7828440551358156
P4_D,85,P4_S_prime,130,-0.0026872659282697856,-0.09774084580159008
P4_D,85,P4_S_prime,145,0.0021818025802984686,0.09551195043710264
P4_D,85,P4_S_prime,170,0.0005622463849703615,0.014757022269752772
P4_D,85,P4_D_prime,65,3.64319448523778e-06,0.006561058582516981
P4_D,85,P4_D_prime,85,-4.3022560776205015e-05,-0.06995982579862299
P4_D,85,P4_D_prime,130,-0.0004083571181172798,-0.3226114115147628
P4_D,85,P4_D_prime,145,-4.2271109285366315e-05,-0.04344158450079851
P4_D,85,P4_D_prime,170,6.114578644569307e-05,0.0423909540415334
P4_D,130,P4_D,130,0.05564262968323434,1.0
P4_D,130,P4_D,145,0.009225919508661234,0.2203959806576214
P4_D,130,P4_D,170,-0.0013454479486948764,-0.021327113248990684
P4_D,130,P4_S_prime,65,0.005306338433756157,0.23615435172032576
P4_D,130,P4_S_prime,85,-0.002335582954702187,-0.08402327122045697
P4_D,130,P4_S_prime,130,0.05924260401991916,0.791284317536637
P4_D,130,P4_S_prime,145,0.010861862821303962,0.17461419577753723
P4_D,130,P4_S_prime,170,0.004823684265015001,0.04649260770182526
P4_D,130,P4_D_prime,65,0.00011631390128119106,0.07692298946488638
P4_D,130,P4_D_prime,85,0.00028859464165032254,0.17233508295831698
P4_D,130,P4_D_prime,130,-0.0005073980387081094,-0.14720458963927974
P4_D,130,P4_D_prime,145,0.0003816221157540546,0.14402189444620905
P4_D,130,P4_D_prime,170,9.47419034136364e-05,0.024120246007957678
P4_D,145,P4_D,145,0.03149229679997639,1.0
P4_D,145,P4_D,170,-0.00253736632971339,-0.05346259096630309
P4_D,145,P4_S_prime,65,0.002851178067733946,0.16866578988187111
P4_D,145,P4_S_prime,85,0.00241921933989406,0.11568610246594668
P4_D,145,P4_S_prime,130,0.013422002865264904,0.2382963560909353
