n,a,b,orientation,batch,samples,k,sum_q,sum_q2,sum_gate01,sum_gate12,sum_inactive_gate01,sum_inactive_gate12,sum_active_S,sum_active_D,sum_inactive_S,sum_inactive_D,sum_site_S,sum_site_D,sum_J_S_re,sum_J_S_im,sum_J_D_re,sum_J_D_im,sum_q_J_D_re,sum_q_J_D_im,sum_local_S,sum_local_D,sum_local_R2_S,sum_local_R2_D,sum_q_local_R2_S,sum_q_local_R2_D,sum_local_R2_I02,sum_local_R4_S,sum_local_R4_D,sum_q_local_R4_S,sum_q_local_R4_D,sum_local_R4_I02
65,8,1,first,0,10000,47,9312,9340,9,261,261,9,4860,4536,4860,-4536,4860,4536,3701.57538461538461538,2009.79692307692307692,3575.02579881656804734,1941.08591715976331361,63.2747928994082840237,34.3555029585798816568,-306,-198,-648,-540,54,-54,0,1242,1242,-18,-18,18
65,8,1,first,0,10000,48,9582,9592,5,172,172,5,3009,2839,3009,-2839,3009,2839,2465.08047337278106509,1338.43313609467455621,2315.68165680473372781,1257.31597633136094675,74.6994082840236686391,40.5585798816568047337,-68,-102,-340,-340,0,0,0,1190,1122,-34,34,0
65,8,1,first,0,10000,49,9759,9759,0,122,122,0,1952,1952,1952,-1952,1952,1952,1659.20568047337278107,900.877633136094674556,1659.20568047337278107,900.877633136094674556,0,0,-96,-96,-192,-192,0,0,0,496,496,0,0,0
65,8,1,first,0,10000,50,9881,9881,0,63,63,0,945,945,945,-945,945,945,804.117159763313609467,436.601183431952662722,804.117159763313609467,436.601183431952662722,0,0,-225,-225,-225,-225,0,0,0,345,345,0,0,0
65,8,1,first,0,10000,51,9944,9944,0,32,32,0,448,448,448,-448,448,448,344.496094674556213018,187.046627218934911243,344.496094674556213018,187.046627218934911243,0,0,-56,-56,-42,-42,0,0,0,98,98,0,0,0
65,8,1,first,0,10000,52,9976,9976,0,15,15,0,195,195,195,-195,195,195,171.369230769230769231,93.0461538461538461538,171.369230769230769231,93.0461538461538461538,0,0,26,26,0,0,0,0,0,91,91,0,0,0
65,8,1,first,0,10000,53,9991,9991,0,8,8,0,96,96,96,-96,96,96,84.3663905325443786982,45.8073372781065088757,84.3663905325443786982,45.8073372781065088757,0,0,-12,-12,-24,-24,0,0,0,24,24,0,0,0
65,8,1,first,0,10000,54,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,55,9999,9999,0,1,1,0,10,10,10,-10,10,10,8.78816568047337278107,4.77159763313609467456,8.78816568047337278107,4.77159763313609467456,0,0,0,0,0,0,0,0,0,10,10,0,0,0
65,8,1,first,0,10000,56,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,57,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,58,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,59,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,60,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,61,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,62,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,63,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,10000,64,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,0,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,1,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,2,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,3,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,4,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,5,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,6,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,7,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,8,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,9,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,10,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,11,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,12,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,13,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,14,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,15,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,16,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,17,-10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7,4,second,0,10000,18,-10000,10000,2,0,0,2,94,-94,94,94,94,-94,-45.5427218934911242604,82.2305325443786982249,45.5427218934911242604,-82.2305325443786982249,-45.5427218934911242604,82.2305325443786982249,-47,47,-94,94,94,-94,0,0,0,0,0,0
