label,n,m00,m01,m10,m11,radius,batch,counter_first,counter_last_exclusive,samples,sum_score_t,sum_score_lambda,sum_score_t2,sum_score_lambda2,sum_score_cross,sum_global_twice,global_twice_score_t,global_twice_score_lambda,sum_epsilon_sign,epsilon_sign_score_t,epsilon_sign_score_lambda,sum_local_twice,local_twice_score_t,local_twice_score_lambda
N340_18_4,340,18,-4,4,18,4,13,15500002600,15500002800,200,252,76,308144,277808,-14800,9,2368,1752,-6,904,-1528,2,-40,128
N340_18_4,340,18,-4,4,18,8,13,15500002600,15500002800,200,252,76,308144,277808,-14800,9,2368,1752,-6,904,-1528,-1,-24,-112
N260_16_2,260,16,-2,2,16,2,14,15500002800,15500003000,200,272,160,211232,199264,2240,-2,2592,1744,-2,136,616,0,-8,8
N260_16_2,260,16,-2,2,16,4,14,15500002800,15500003000,200,272,160,211232,199264,2240,-2,2592,1744,-2,136,616,2,52,-92
N260_16_2,260,16,-2,2,16,8,14,15500002800,15500003000,200,272,160,211232,199264,2240,-2,2592,1744,-2,136,616,-2,44,-12
N340_18_4,340,18,-4,4,18,2,14,15500002800,15500003000,200,512,160,256288,259680,4928,-3,2620,2388,-2,1016,520,4,44,-60
N340_18_4,340,18,-4,4,18,4,14,15500002800,15500003000,200,512,160,256288,259680,4928,-3,2620,2388,-2,1016,520,0,128,8
N340_18_4,340,18,-4,4,18,8,14,15500002800,15500003000,200,512,160,256288,259680,4928,-3,2620,2388,-2,1016,520,-1,124,76
N260_16_2,260,16,-2,2,16,2,15,15500003000,15500003200,200,344,592,182688,232736,-23936,12,1908,1484,10,992,-624,0,-100,-52
N260_16_2,260,16,-2,2,16,4,15,15500003000,15500003200,200,344,592,182688,232736,-23936,12,1908,1484,10,992,-624,4,4,436
N260_16_2,260,16,-2,2,16,8,15,15500003000,15500003200,200,344,592,182688,232736,-23936,12,1908,1484,10,992,-624,1,-40,32
N340_18_4,340,18,-4,4,18,2,15,15500003000,15500003200,200,300,1228,241168,338512,-56144,12,1948,1756,10,856,-776,-1,-164,132
N340_18_4,340,18,-4,4,18,4,15,15500003000,15500003200,200,300,1228,241168,338512,-56144,12,1948,1756,10,856,-776,-7,92,124
N340_18_4,340,18,-4,4,18,8,15,15500003000,15500003200,200,300,1228,241168,338512,-56144,12,1948,1756,10,856,-776,-3,-20,-140
N260_16_2,260,16,-2,2,16,2,16,15500003200,15500003400,200,88,-232,216544,223712,-10464,0,2532,1604,-6,944,-576,1,60,20
N260_16_2,260,16,-2,2,16,4,16,15500003200,15500003400,200,88,-232,216544,223712,-10464,0,2532,1604,-6,944,-576,2,72,-56
N260_16_2,260,16,-2,2,16,8,16,15500003200,15500003400,200,88,-232,216544,223712,-10464,0,2532,1604,-6,944,-576,6,192,-40
N340_18_4,340,18,-4,4,18,2,16,15500003200,15500003400,200,512,-496,259968,291712,-28352,-8,2568,2168,-6,528,-608,2,-84,76
N340_18_4,340,18,-4,4,18,4,16,15500003200,15500003400,200,512,-496,259968,291712,-28352,-8,2568,2168,-6,528,-608,0,-96,144
N340_18_4,340,18,-4,4,18,8,16,15500003200,15500003400,200,512,-496,259968,291712,-28352,-8,2568,2168,-6,528,-608,3,-20,-4
N260_16_2,260,16,-2,2,16,2,17,15500003400,15500003600,200,-460,612,230992,211408,18576,11,2764,1604,10,1216,-752,6,-124,-60
N260_16_2,260,16,-2,2,16,4,17,15500003400,15500003600,200,-460,612,230992,211408,18576,11,2764,1604,10,1216,-752,4,-68,68
N260_16_2,260,16,-2,2,16,8,17,15500003400,15500003600,200,-460,612,230992,211408,18576,11,2764,1604,10,1216,-752,-5,48,-56
N340_18_4,340,18,-4,4,18,2,17,15500003400,15500003600,200,-324,508,297712,278512,-2448,-1,2848,1112,10,1840,1168,3,60,12
N340_18_4,340,18,-4,4,18,4,17,15500003400,15500003600,200,-324,508,297712,278512,-2448,-1,2848,1112,10,1840,1168,3,204,-12
N340_18_4,340,18,-4,4,18,8,17,15500003400,15500003600,200,-324,508,297712,278512,-2448,-1,2848,1112,10,1840,1168,0,280,-80
N260_16_2,260,16,-2,2,16,2,18,15500003600,15500003800,200,156,-372,224912,225424,3984,4,2512,2024,30,1520,-96,-3,-44,44
N260_16_2,260,16,-2,2,16,4,18,15500003600,15500003800,200,156,-372,224912,225424,3984,4,2512,2024,30,1520,-96,-2,-40,96
N260_16_2,260,16,-2,2,16,8,18,15500003600,15500003800,200,156,-372,224912,225424,3984,4,2512,2024,30,1520,-96,1,32,112
N340_18_4,340,18,-4,4,18,2,18,15500003600,15500003800,200,984,-584,268032,291456,16704,16,3040,1832,30,1712,-32,0,-116,-84
N340_18_4,340,18,-4,4,18,4,18,15500003600,15500003800,200,984,-584,268032,291456,16704,16,3040,1832,30,1712,-32,1,64,40
N340_18_4,340,18,-4,4,18,8,18,15500003600,15500003800,200,984,-584,268032,291456,16704,16,3040,1832,30,1712,-32,1,-36,36
N260_16_2,260,16,-2,2,16,2,19,15500003800,15500004000,200,-184,-600,206240,205024,-20672,5,2076,1380,28,880,320,-1,56,8
N260_16_2,260,16,-2,2,16,4,19,15500003800,15500004000,200,-184,-600,206240,205024,-20672,5,2076,1380,28,880,320,-1,48,56
N260_16_2,260,16,-2,2,16,8,19,15500003800,15500004000,200,-184,-600,206240,205024,-20672,5,2076,1380,28,880,320,-3,-88,-96
N340_18_4,340,18,-4,4,18,2,19,15500003800,15500004000,200,-140,44,277712,299024,-46064,3,2184,1712,28,1304,936,0,-60,108
