n,batch,samples,p_ref,channel,a1,b1,a2,b2,first_primal_sum,first_matching_sum,second_primal_sum,second_matching_sum
65,43,20000,0.59274605078999998,direction_1,8,1,7,4,10379,10421,10358,10438
65,44,20000,0.59274605078999998,cross,8,1,7,4,6237,6362,6296,6326
65,44,20000,0.59274605078999998,both,8,1,7,4,6997,7122,7023,7053
65,44,20000,0.59274605078999998,either,8,1,7,4,13638,13763,13674,13704
65,44,20000,0.59274605078999998,direction_0,8,1,7,4,10336,10461,10341,10371
65,44,20000,0.59274605078999998,direction_1,8,1,7,4,10299,10424,10356,10386
65,45,20000,0.59274605078999998,cross,8,1,7,4,6129,6376,6146,6256
65,45,20000,0.59274605078999998,both,8,1,7,4,6850,7097,6920,7030
65,45,20000,0.59274605078999998,either,8,1,7,4,13624,13871,13744,13854
65,45,20000,0.59274605078999998,direction_0,8,1,7,4,10308,10555,10368,10478
65,45,20000,0.59274605078999998,direction_1,8,1,7,4,10166,10413,10296,10406
65,46,20000,0.59274605078999998,cross,8,1,7,4,6214,6220,6180,6193
65,46,20000,0.59274605078999998,both,8,1,7,4,6942,6948,6941,6954
65,46,20000,0.59274605078999998,either,8,1,7,4,13780,13786,13807,13820
65,46,20000,0.59274605078999998,direction_0,8,1,7,4,10301,10307,10310,10323
65,46,20000,0.59274605078999998,direction_1,8,1,7,4,10421,10427,10438,10451
65,47,20000,0.59274605078999998,cross,8,1,7,4,6236,6351,6463,6183
65,47,20000,0.59274605078999998,both,8,1,7,4,6973,7088,7234,6954
65,47,20000,0.59274605078999998,either,8,1,7,4,13649,13764,13817,13537
65,47,20000,0.59274605078999998,direction_0,8,1,7,4,10287,10402,10565,10285
65,47,20000,0.59274605078999998,direction_1,8,1,7,4,10335,10450,10486,10206
65,48,20000,0.59274605078999998,cross,8,1,7,4,6288,6261,6160,6296
65,48,20000,0.59274605078999998,both,8,1,7,4,7011,6984,6934,7070
65,48,20000,0.59274605078999998,either,8,1,7,4,13739,13712,13704,13840
65,48,20000,0.59274605078999998,direction_0,8,1,7,4,10370,10343,10332,10468
65,48,20000,0.59274605078999998,direction_1,8,1,7,4,10380,10353,10306,10442
65,49,20000,0.59274605078999998,cross,8,1,7,4,6227,6292,6136,6275
65,49,20000,0.59274605078999998,both,8,1,7,4,6984,7049,6880,7019
65,49,20000,0.59274605078999998,either,8,1,7,4,13708,13773,13725,13864
65,49,20000,0.59274605078999998,direction_0,8,1,7,4,10356,10421,10264,10403
65,49,20000,0.59274605078999998,direction_1,8,1,7,4,10336,10401,10341,10480
