N,batch_deleted,first_primary,first_iota_pair,first_smith_site_pair,second_primary,second_iota_pair,second_smith_site_pair
425,4,-0.07040658787091733,-0.07040658787091733,-0.07028610480866411,-0.06827751546247,-0.06827751546247,-0.06820149147869342
425,5,-0.06993973037905567,-0.06993973037905567,-0.0698141515844202,-0.06720179430630918,-0.06720179430630918,-0.06711833368399006
425,6,-0.07017206302184038,-0.07017206302184038,-0.0700714312674186,-0.06673733708613558,-0.06673733708613558,-0.06666293583414783
425,7,-0.07067380133654143,-0.07067380133654143,-0.07054871494821727,-0.06731030830267097,-0.06731030830267097,-0.06722940893641562
425,8,-0.06849734614750458,-0.06849734614750458,-0.06837945601693984,-0.06779607486418746,-0.06779607486418746,-0.06771784545715984
425,9,-0.0678110218016065,-0.0678110218016065,-0.06769070633095219,-0.06644069910022796,-0.06644069910022796,-0.06637051606519012
425,10,-0.07033556969712401,-0.07033556969712401,-0.0702183279490389,-0.06665975046747151,-0.06665975046747151,-0.06659175624763256
425,11,-0.07082988268146263,-0.07082988268146263,-0.07070476542971267,-0.06828553164242873,-0.06828553164242873,-0.068210766357781
425,12,-0.06926492337904017,-0.06926492337904017,-0.06914272240763748,-0.06685296156391415,-0.06685296156391415,-0.06676994212321277
425,13,-0.07007371893978344,-0.07007371893978344,-0.06994745319980546,-0.06770459549928133,-0.06770459549928133,-0.0676320824202324
425,14,-0.06782442526254762,-0.06782442526254762,-0.06770386309751757,-0.06823777636032564,-0.06823777636032564,-0.06814931872784838
425,15,-0.06961872080316703,-0.06961872080316703,-0.06949991692057522,-0.0668459602396909,-0.0668459602396909,-0.06676779616349825
425,16,-0.07057763431326652,-0.07057763431326652,-0.0704557310431492,-0.06734801649260805,-0.06734801649260805,-0.06728276468817422
425,17,-0.06926320229531115,-0.06926320229531115,-0.0691523663028192,-0.06658185952261896,-0.06658185952261896,-0.06649913995565743
425,18,-0.06958158875723294,-0.06958158875723294,-0.06945116925648712,-0.06594263078601206,-0.06594263078601206,-0.06586884888736858
425,19,-0.06792367940547434,-0.06792367940547434,-0.06780084833770618,-0.0655637122754863,-0.0655637122754863,-0.0654929588409461
425,20,-0.070287517032545,-0.070287517032545,-0.07016574465959519,-0.06734649035121765,-0.06734649035121765,-0.06727553164820056
425,21,-0.06967796399437236,-0.06967796399437236,-0.06955495136883197,-0.06749959842545546,-0.06749959842545546,-0.06741255136797086
