N,batch,orientation,counter_first,counter_last,risk_count,solved_count,partial_pair_solved_count,h_zero_count,h_all_count,sum_hazard,sum_mu,sum_second_wait_moment,sum_wait_variance,integrated_B,integrated_V,canonical_B,canonical_V,h_zero_integrated_V,h_zero_canonical_V
425,0,first,43042500000,43042500999,451.0,448.0,2.0,28.0,0.0,23.46820809248554,6173.997489913399,135854.208754205,44491.35972879166,0.017409380881731957,0.24516387692472655,1.8877245358871126,9.736423903305395,0.017162842100934654,0.2783017941216897
425,0,second,43042500000,43042500999,426.0,421.0,0.0,26.0,0.0,21.832369942196564,5952.718211532122,134753.9780485584,43060.274022337886,0.016292588060377207,0.2372780644401346,1.7448331257906113,8.993577501373741,0.017057873837622452,0.23280343315556767
425,1,first,43042501000,43042501999,427.0,424.0,1.0,32.0,0.0,23.595375722543395,5819.057523316381,129448.77300035709,41351.356366848064,0.0159770426250103,0.22786129497480692,1.7807551070916336,9.050574770196578,0.021138356563049385,0.28775395440293905
425,1,second,43042501000,43042501999,458.0,456.0,0.0,31.0,0.0,24.10982658959537,6333.077522160567,141204.42329276577,45450.53115854688,0.017234552668864606,0.25044926689229924,1.884166412286656,9.749718052671817,0.020739488644883196,0.28533736655852365
425,2,first,43042502000,43042502999,448.0,443.0,2.0,23.0,0.0,23.57225433526016,6191.5829799875755,139172.69896786465,44510.813504312486,0.017010664413743666,0.24527107443580723,1.8440964846898693,9.457404682106274,0.014980773166046957,0.1987042050957397
425,2,second,43042502000,43042502999,446.0,436.0,0.0,40.0,0.0,22.29479768786128,6197.096931284416,140565.07842998757,44008.03878123702,0.016075289240750423,0.2425005994249212,1.7564694067112812,9.148821760679755,0.027382907058364717,0.377942289878339
425,3,first,43042503000,43042503999,448.0,446.0,4.0,38.0,0.0,23.497109826589604,6209.455906971341,138430.11682950624,44127.401352074055,0.016651062284144338,0.24315833141613205,1.8265304251510124,9.455438996266658,0.023471782307293847,0.36530333778320345
425,3,second,43042503000,43042503999,435.0,428.0,0.0,43.0,0.0,22.46242774566475,5944.153308945362,132114.08605322044,41963.40855130301,0.015658840566837518,0.2312339292870849,1.7317240827740341,9.042468804251827,0.026780889237002975,0.45681803535535204
425,4,first,43042504000,43042504999,443.0,441.0,1.0,37.0,0.0,22.491329479768794,6161.664187691479,136831.643431814,43546.31290097961,0.0161164484678688,0.2399563187472702,1.7612179735944833,9.274659006234133,0.022476688437750407,0.37692084343913546
425,4,second,43042504000,43042504999,461.0,459.0,0.0,21.0,0.0,25.1849710982659,6274.047206375321,138499.0093522088,45654.87896203673,0.018322075025796487,0.2515752990039274,1.9914631390595006,10.061710136810193,0.013052058316873503,0.1996755891718417
425,5,first,43042505000,43042505999,433.0,431.0,1.0,29.0,0.0,23.01156069364164,5944.838946665871,131723.06274520213,42609.20066533839,0.0163997447769211,0.2347924831125787,1.7967993917420337,9.266126857448489,0.01874922238430122,0.28505131081896296
425,5,second,43042505000,43042505999,461.0,459.0,0.0,34.0,0.0,23.104046242774583,6524.711059244199,147454.45326124624,47189.63915182994,0.017501443688647707,0.2600323963049106,1.8722686414398542,9.776185562889053,0.021428014410859512,0.3444456296250902
425,6,first,43042506000,43042506999,454.0,451.0,1.0,30.0,0.0,23.74566473988441,6205.6339439125795,136540.4829257111,44298.528147806726,0.01712561049232127,0.24410130346606007,1.8715802446188459,9.68924369296598,0.018865359299326416,0.27873173408561996
425,6,second,43042506000,43042506999,437.0,432.0,0.0,33.0,0.0,23.32369942196533,5969.528465862546,132474.691284095,42672.70289650897,0.01634347732941476,0.23514240393500485,1.790131591335249,9.202873436656326,0.020874377764499914,0.32583212961790947
425,7,first,43042507000,43042507999,440.0,435.0,2.0,33.0,0.0,23.693641618497107,5936.030156169605,130507.56992449409,42109.13984694807,0.016418767117779676,0.23203696272205743,1.8288459587733303,9.346402861246196,0.021437508941734143,0.3115296009124979
425,7,second,43042507000,43042507999,465.0,455.0,0.0,40.0,0.0,23.028901734104046,6437.679853720407,144630.59156497204,45509.27995593102,0.016737255707305977,0.25077299453333235,1.8253738131378276,9.555551884994154,0.02613949839562358,0.3619539336941037
425,8,first,43042508000,43042508999,474.0,472.0,2.0,29.0,0.0,25.052023121387297,6535.54299778279,145351.31185934602,47024.14441269479,0.018194627262272882,0.2591204589736098,1.9818844382250524,10.180009440224685,0.01867617255029928,0.27890644591462804
425,8,second,43042508000,43042508999,452.0,446.0,0.0,36.0,0.0,23.52601156069366,6145.481566918061,135349.37594899544,43381.99907320148,0.01643089540639372,0.2390508886750946,1.8195806761122486,9.477731189308095,0.021974622607229453,0.35474361518930325
425,9,first,43042509000,43042509999,433.0,428.0,1.0,31.0,0.0,21.647398843930667,6078.886626847071,137117.10175677136,43027.074707131906,0.01583986758265663,0.23709512391242846,1.7196584811569504,8.979187553850709,0.019311523260271756,0.2884180160707016
425,9,second,43042509000,43042509999,478.0,472.0,0.0,44.0,0.0,24.300578034682133,6597.344659834517,146988.80716652022,46561.924693176115,0.017356774580279222,0.25657345705865275,1.905783171929917,9.963296845286248,0.02735997795229938,0.4357208007007813
425,10,first,43042510000,43042510999,469.0,465.0,5.0,33.0,0.0,24.485549132947988,6431.129640047773,142581.41421000034,46337.50520506671,0.017823971003250574,0.2553368225278641,1.9359611950994933,10.012825235271448,0.019632547671480014,0.3453820603405364
425,10,second,43042510000,43042510999,466.0,459.0,0.0,41.0,0.0,22.745664739884415,6530.120040879125,147221.31452219468,46978.05972193622,0.01726733432133384,0.25886651525235393,1.8427274013909711,9.715322656130343,0.025646289482119514,0.41541280040738315
425,11,first,43042511000,43042511999,447.0,441.0,2.0,39.0,0.0,22.92485549132952,6221.814965800993,140308.1271961828,44750.038434408176,0.016793729247411807,0.24658929243761243,1.8087750612145848,9.359421099510607,0.02416106313178553,0.3760441112365109
425,11,second,43042511000,43042511999,463.0,458.0,0.0,36.0,0.0,24.76300578034684,6385.592017494003,143435.7374194406,45707.609729091026,0.017369112198822978,0.25186586506805886,1.9003510087199043,9.731388260255232,0.024411387659236696,0.31688650166189364
425,12,first,43042512000,43042512999,461.0,454.0,1.0,36.0,0.0,24.40462427745668,6276.771218892772,139684.5637625208,44520.63531157176,0.017078000337216622,0.24532519623295523,1.8846450232527725,9.674272590223913,0.023969872575739105,0.3297694821455155
425,12,second,43042512000,43042512999,447.0,442.0,0.0,39.0,0.0,22.676300578034684,6253.822031371907,141205.1184979234,44930.03566927835,0.016773328061647726,0.24758114389383917,1.808462346093489,9.383027341379963,0.026156401873638113,0.3540214537803789
425,13,first,43042513000,43042513999,432.0,426.0,2.0,36.0,0.0,23.45664739884397,5753.814828555213,124931.39861179584,40667.97779822993,0.015937119815615037,0.22409562585812953,1.7843367812204847,9.154933556244684,0.022465836443368834,0.35797014621252565
425,13,second,43042513000,43042513999,431.0,420.0,0.0,31.0,0.0,22.433526011560716,5838.609622520542,130195.06133510308,41932.13509209815,0.016101750302480407,0.231061600939508,1.7497437886473866,8.98737771576751,0.019018083037487664,0.3170033951976768
425,14,first,43042514000,43042514999,464.0,461.0,2.0,41.0,0.0,23.786127167630067,6484.674481529051,145323.98534559718,46460.45691476002,0.017486389224337193,0.2560143320040114,1.8880909645080517,9.812996380713697,0.025411338893108797,0.4109473777854032
425,14,second,43042514000,43042514999,455.0,447.0,0.0,40.0,0.0,22.930635838150348,6253.774388735135,139417.46038226527,44028.74499254811,0.01640573312004133,0.24261469832125537,1.800694856068959,9.418886590363952,0.025068216038377892,0.39742935187734096
425,15,first,43042515000,43042515999,423.0,422.0,1.0,28.0,0.0,22.82658959537575,5797.227001710938,128089.28022691565,41283.2300592373,0.01591733423935733,0.22748589377789505,1.75455872431197,9.027807457577195,0.01715430422910258,0.28821234097807397
425,15,second,43042515000,43042515999,462.0,458.0,0.0,29.0,0.0,24.341040462427777,6362.546763822413,142214.60329638876,46153.827170610006,0.017697338050233602,0.2543246885021158,1.921323765670183,9.869677716026413,0.018937768791290558,0.274740484349557
425,16,first,43042516000,43042516999,449.0,440.0,1.0,35.0,0.0,22.832369942196543,6125.981422609896,135955.15548166053,43691.04239891949,0.016541941177938214,0.240753831905704,1.8047566157142338,9.385431132635164,0.02266849028013043,0.34337129832736396
425,16,second,43042516000,43042516999,432.0,425.0,0.0,34.0,0.0,22.404624277456655,5920.127999844529,131985.7314155296,42546.193570058225,0.016269674653617762,0.23444529067236572,1.7696270630094166,9.11081074777552,0.022074139094515034,0.3293144491247754
425,17,first,43042517000,43042517999,437.0,432.0,1.0,26.0,0.0,21.878612716763033,6093.528270253014,136783.0018934491,43523.05020698375,0.016236732141935013,0.23982813268412242,1.749550664796911,9.155411724411492,0.01666974751719572,0.26850218990766206
425,17,second,43042517000,43042517999,468.0,461.0,0.0,37.0,0.0,24.543352601156094,6347.695171920045,139945.2424360348,45005.00939587141,0.017247300795679297,0.24799427690643083,1.90143582962174,9.835784513687717,0.023007071305648313,0.3889907291980828
425,18,first,43042518000,43042518999,439.0,438.0,3.0,31.0,0.0,23.50867052023126,6038.848393463151,133939.21749812402,42904.6329312786,0.0163413314308534,0.2364204243606792,1.805829182202445,9.320517403628324,0.01967477985196217,0.30448078954994223
425,18,second,43042518000,43042518999,458.0,452.0,0.0,38.0,0.0,24.231213872832402,6296.859375743755,140895.1310251486,45207.86315524617,0.017215953760884323,0.24911207628141552,1.8825602552660408,9.651990755092278,0.025821538024962686,0.3407835355819982
425,19,first,43042519000,43042519999,438.0,432.0,3.0,34.0,0.0,23.231213872832374,5942.766375386873,131195.2888954896,42174.06325150218,0.01632191656474814,0.23239471473639586,1.7998573175676345,9.245647192619458,0.021264399923092592,0.33168603307801037
425,19,second,43042519000,43042519999,480.0,473.0,0.0,35.0,0.0,25.705202312138777,6520.665550539759,144909.0661780282,46551.25670675779,0.01793564168902193,0.25651467250081444,1.9734190543355217,10.109749787291472,0.021859437454534017,0.3407561531972684
