partition,components,shared,activation16
01002321,4,1,0
01002322,4,0,0
01002323,4,0,0
01002324,5,0,0
01002330,4,1,0
01002331,4,1,0
01002332,4,0,0
01002333,4,0,0
01002334,5,0,0
01002340,5,1,0
01002341,5,1,0
01002342,5,0,0
01002343,5,0,0
01002344,5,0,0
01002345,6,0,0
01010000,2,1,0
01010001,2,2,0
01010002,3,1,0
01010010,2,2,0
01010011,2,2,2
01010012,3,2,-4
01010020,3,1,0
01010021,3,2,-4
01010022,3,1,0
01010023,4,1,0
01010100,2,2,0
01010101,2,2,4
01010102,3,2,-8
01010110,2,2,2
01010111,2,2,0
01010112,3,2,-4
01010120,3,2,-4
01010121,3,2,-8
01010122,3,2,-6
01010123,4,2,-4
01010200,3,1,0
01010201,3,2,-8
01010202,3,1,0
01010203,4,1,0
01010210,3,2,-4
01010211,3,2,-4
01010212,3,2,-12
01010213,4,2,0
01010220,3,1,0
01010221,3,2,-6
01010222,3,1,0
01010223,4,1,0
01010230,4,1,0
01010231,4,2,-4
01010232,4,1,0
01010233,4,1,0
01010234,5,1,0
01011000,2,2,0
01011001,2,2,2
01011002,3,2,-4
01011010,2,2,4
01011011,2,2,0
01011012,3,2,-8
01011020,3,2,-8
01011021,3,2,-4
01011022,3,2,-6
01011023,4,2,-4
01011100,2,2,2
01011101,2,2,0
01011102,3,2,-4
01011110,2,2,0
01011111,2,1,0
01011112,3,1,0
01011120,3,2,-4
01011121,3,1,0
01011122,3,1,0
01011123,4,1,0
01011200,3,2,-4
01011201,3,2,-4
01011202,3,2,-12
01011203,4,2,0
01011210,3,2,-8
01011211,3,1,0
01011212,3,1,0
01011213,4,1,0
01011220,3,2,-6
01011221,3,1,0
01011222,3,1,0
01011223,4,1,0
01011230,4,2,-4
01011231,4,1,0
01011232,4,1,0
01011233,4,1,0
01011234,5,1,0
01012000,3,1,0
01012001,3,2,-4
01012002,3,1,0
01012003,4,1,0
01012010,3,2,-8
01012011,3,2,-4
01012012,3,2,-6
01012013,4,2,-4
01012020,3,1,0
01012021,3,2,-12
01012022,3,1,0
01012023,4,1,0
01012030,4,1,0
01012031,4,2,0
01012032,4,1,0
01012033,4,1,0
01012034,5,1,0
01012100,3,2,-4
01012101,3,2,-8
01012102,3,2,-6
01012103,4,2,-4
01012110,3,2,-4
01012111,3,1,0
01012112,3,1,0
01012113,4,1,0
01012120,3,2,-12
01012121,3,1,0
01012122,3,1,0
01012123,4,1,0
01012130,4,2,0
01012131,4,1,0
01012132,4,1,0
01012133,4,1,0
01012134,5,1,0
01012200,3,1,0
01012201,3,2,-6
01012202,3,1,0
01012203,4,1,0
01012210,3,2,-6
01012211,3,1,0
01012212,3,1,0
01012213,4,1,0
01012220,3,1,0
01012221,3,1,0
01012222,3,0,0
01012223,4,0,0
01012230,4,1,0
01012231,4,1,0
01012232,4,0,0
01012233,4,0,0
01012234,5,0,0
01012300,4,1,0
01012301,4,2,-4
01012302,4,1,0
01012303,4,1,0
01012304,5,1,0
01012310,4,2,-4
01012311,4,1,0
01012312,4,1,0
01012313,4,1,0
01012314,5,1,0
01012320,4,1,0
01012321,4,1,0
01012322,4,0,0
01012323,4,0,0
01012324,5,0,0
01012330,4,1,0
