n,a,b,orientation,batch,samples,sum_q,sum_e,sum_s,sum_k,sum_kk,sum_edges,sum_chi,sum_e_s,sum_e_k,sum_e_kk,sum_e_edges,sum_e_chi
65,8,1,first,62,10000,-108,6242,44890,384685,14568122,454901,9370,29008,240013,9112162,283956,5960
65,7,4,second,62,10000,-65,6287,44620,384685,14568122,455659,9123,28943,241768,9177590,286352,5976
65,8,1,first,63,10000,2,6190,44584,385167,14604540,456644,8804,28612,238414,9065334,282464,5656
65,7,4,second,63,10000,-77,6225,44782,385167,14604540,456474,8827,28857,239652,9108206,283885,5558
65,8,1,first,64,10000,127,6175,44669,385691,14647480,457680,8600,28557,238228,9077226,282964,5362
65,7,4,second,64,10000,59,6267,44820,385691,14647480,457264,8509,29054,241897,9219450,286905,5421
65,8,1,first,65,10000,-32,6246,44692,385391,14621138,456927,8846,28751,240821,9165780,285795,5497
65,7,4,second,65,10000,-28,6276,44529,385391,14621138,456719,8847,28791,241803,9197010,286735,5605
65,8,1,first,66,10000,-67,6377,44909,385188,14610454,457000,8694,29419,245670,9346756,291797,5550
65,7,4,second,66,10000,-28,6268,44681,385188,14610454,456732,8649,28915,241467,9186614,286268,5545
65,8,1,first,67,10000,20,6238,44893,385201,14607218,456285,8709,29002,240552,9158160,285151,5462
65,7,4,second,67,10000,8,6190,44589,385201,14607218,456608,8803,28462,238429,9067318,282661,5536
65,8,1,first,68,10000,74,6230,44746,385575,14640686,457541,8832,28818,240318,9156092,285170,5526
65,7,4,second,68,10000,65,6235,44846,385575,14640686,457743,8583,28974,240556,9166924,285763,5297
65,8,1,first,69,10000,26,6266,44539,385099,14602440,456120,8867,28855,241083,9160104,285408,5787
65,7,4,second,69,10000,-38,6278,44815,385099,14602440,456145,8825,29053,241483,9172860,285763,5629
65,8,1,first,70,10000,66,6286,44412,386010,14669232,458246,8388,28790,242875,9265014,288925,5156
65,7,4,second,70,10000,71,6215,44617,386010,14669232,458480,8526,28588,240181,9164652,285938,5199
65,8,1,first,71,10000,1,6293,44527,385338,14615226,456981,8534,28820,242427,9217442,287532,5401
65,7,4,second,71,10000,-99,6235,44510,385338,14615226,456466,8901,28692,240106,9126284,284156,5807
65,8,1,first,72,10000,-12,6296,44851,384438,14554176,455367,9067,29141,241856,9176308,286433,5857
65,7,4,second,72,10000,-63,6267,44969,384438,14554176,454518,9346,29127,240790,9137988,284665,6062
65,8,1,first,73,10000,9,6243,44811,385564,14637012,457133,8912,28830,240681,9161886,285468,5643
65,7,4,second,73,10000,58,6224,44537,385564,14637012,457684,8521,28587,239824,9124662,284711,5339
65,8,1,first,74,10000,40,6270,45081,385499,14632988,457079,8617,29237,241652,9197996,286815,5297
65,7,4,second,74,10000,10,6160,44684,385499,14632988,456915,8766,28463,237418,9037722,281321,5575
65,8,1,first,75,10000,-27,6249,44728,385125,14605812,456719,8687,28836,240702,9156120,285498,5431
65,7,4,second,75,10000,11,6279,44887,385125,14605812,456492,8708,29215,241659,9186236,286342,5654
65,8,1,first,76,10000,44,6184,44697,384764,14576556,455814,8957,28621,237892,9038656,281983,5717
65,7,4,second,76,10000,-112,6224,44509,384764,14576556,455980,8917,28688,239337,9088384,283536,5760
65,8,1,first,77,10000,-14,6266,44819,385270,14613610,456475,8729,28887,241609,9198378,286758,5519
65,7,4,second,77,10000,38,6346,44723,385270,14613610,456768,8789,29330,244658,9311640,290264,5546
65,8,1,first,78,10000,8,6264,44697,385171,14609166,456542,8803,28975,241319,9181552,285988,5591
65,7,4,second,78,10000,-38,6268,44946,385171,14609166,456384,9040,29065,241391,9180826,286091,5731
65,8,1,first,79,10000,66,6260,44705,385223,14611858,457037,8657,28789,241314,9186370,286842,5249
65,7,4,second,79,10000,25,6327,44758,385223,14611858,456832,8999,29192,243643,9263614,288880,5783
65,8,1,first,80,10000,-1,6283,44665,385301,14618004,456776,8658,28974,242066,9208752,287054,5493
65,7,4,second,80,10000,-3,6299,44606,385301,14618004,456658,8671,29003,242746,9238760,287752,5464
65,8,1,first,81,10000,2,6322,44723,385343,14620530,456818,8745,29261,243708,9276238,288862,5603
65,7,4,second,81,10000,41,6221,44658,385343,14620530,456891,8611,28712,239684,9118590,284349,5295
65,8,1,first,82,10000,31,6161,44799,384673,14571656,455280,9300,28679,237013,9005636,280529,6004
65,7,4,second,82,10000,-9,6291,44755,384673,14571656,455628,9024,29017,242049,9196522,286938,5566
65,8,1,first,83,10000,85,6343,44656,385488,14632452,457272,8579,29121,244459,9303218,290111,5468
65,7,4,second,83,10000,9,6251,44668,385488,14632452,456944,8849,28880,240889,9167046,285556,5597
65,8,1,first,84,10000,116,6322,44582,385370,14624276,457140,8464,29061,243732,9280548,289544,5337
65,7,4,second,84,10000,2,6276,44546,385370,14624276,456798,8640,28933,242072,9221518,287109,5519
65,8,1,first,85,10000,-17,6229,44701,385556,14637920,457270,8770,28906,239975,9131530,284415,5751
65,7,4,second,85,10000,126,6312,44528,385556,14637920,457818,8208,29136,243566,9283270,289489,5032
