n,a,b,orientation,batch,samples,k,sum_q,sum_q2,sum_gate01,sum_gate12,sum_inactive_gate01,sum_inactive_gate12,sum_active_S,sum_active_D,sum_inactive_S,sum_inactive_D,sum_site_S,sum_site_D,sum_J_S_re,sum_J_S_im,sum_J_D_re,sum_J_D_im,sum_q_J_D_re,sum_q_J_D_im,sum_local_S,sum_local_D
145,12,1,first,0,500,123,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,124,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,125,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,126,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,127,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,128,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,129,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,130,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,131,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,132,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,133,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,134,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,135,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,136,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,137,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,138,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,139,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,140,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,141,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,142,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,143,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,12,1,first,0,500,144,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,9,8,second,0,500,0,-500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,9,8,second,0,500,1,-500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,9,8,second,0,500,2,-500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,9,8,second,0,500,3,-500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,9,8,second,0,500,4,-500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
