n,a,b,orientation,batch,samples,k,sum_q,sum_q2,sum_gate01,sum_gate12,sum_inactive_gate01,sum_inactive_gate12,sum_active_S,sum_active_D,sum_inactive_S,sum_inactive_D,sum_site_S,sum_site_D,sum_J_S_re,sum_J_S_im,sum_J_D_re,sum_J_D_im,sum_q_J_D_re,sum_q_J_D_im,sum_local_S,sum_local_D
65,7,4,second,0,1000,32,-809,819,69,8,8,69,2541,-2013,2541,2013,2541,-2013,-943.315739644970414201,1703.22177514792899408,815.408520710059171598,-1472.27644970414201183,-879.362130177514792899,1587.74911242603550296,297,-231
65,7,4,second,0,1000,33,-732,758,68,9,9,68,2464,-1888,2464,1888,2464,-1888,-759.69136094674556213,1371.67526627218934911,604.652307692307692308,-1091.74153846153846154,-682.171834319526627219,1231.70840236686390533,64,64
65,7,4,second,0,1000,34,-655,699,90,25,25,90,3565,-2015,3565,2015,3565,-2015,-1276.64970414201183432,2305.07928994082840237,765.989822485207100592,-1383.04757396449704142,-1021.31976331360946746,1844.06343195266272189,310,-186
65,7,4,second,0,1000,35,-540,634,99,34,34,99,3990,-1950,3990,1950,3990,-1950,-1206.39763313609467456,2178.23431952662721893,566.861538461538461538,-1023.50769230769230769,-886.629585798816568047,1600.87100591715976331,600,-240
65,7,4,second,0,1000,36,-407,569,94,53,53,94,4263,-1189,4263,1189,4263,-1189,-1587.69680473372781065,2866.69633136094674556,547.966153846153846154,-989.390769230769230769,-1067.8314792899408284,1928.04355029585798817,174,-174
65,7,4,second,0,1000,37,-260,528,109,66,66,109,4900,-1204,4900,1204,4900,-1204,-1315.89396449704142012,2375.93751479289940828,230.620591715976331361,-416.401420118343195266,-773.25727810650887574,1396.16946745562130178,0,392
65,7,4,second,0,1000,38,-85,485,82,79,79,82,4347,-81,4347,81,4347,-81,-1478.20047337278106509,2668.99313609467455621,300.872662721893491124,-543.246390532544378698,-889.536568047337278107,1606.11976331360946746,378,54
65,7,4,second,0,1000,39,76,482,77,84,84,77,4186,182,4186,-182,4186,182,-1347.87076923076923077,2433.67384615384615385,-138.566153846153846154,250.190769230769230769,-604.652307692307692308,1091.74153846153846154,-52,156
65,7,4,second,0,1000,40,237,489,46,108,108,46,3850,1550,3850,-1550,3850,1550,-1235.46745562130177515,2230.72189349112426036,-436.047337278106508876,787.313609467455621302,-399.710059171597633136,721.704142011834319527,225,-75
65,7,4,second,0,1000,41,391,551,35,106,106,35,3384,1704,3384,-1704,3384,1704,-1081.39739644970414201,1952.53775147928994083,-569.768520710059171598,1028.75644970414201183,-255.814437869822485207,461.890650887573964497,-24,72
