lineage,role,design,seed_block,batch,samples,rank0,l0,l1,l2,rank1_other,rank2,invariant_failure
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,133,10000,3085,1205,1246,1277,36,3151,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,134,10000,3139,1177,1284,1232,38,3130,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,135,10000,3152,1235,1204,1281,44,3084,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,136,10000,3203,1209,1271,1261,24,3032,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,137,10000,3169,1168,1298,1224,29,3112,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,138,10000,3107,1139,1298,1231,36,3189,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,139,10000,3148,1177,1252,1267,27,3129,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,140,10000,3100,1222,1247,1222,35,3174,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,141,10000,3121,1187,1211,1272,43,3166,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,142,10000,3214,1214,1236,1229,36,3071,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,143,10000,3177,1172,1299,1223,36,3093,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,144,10000,3086,1137,1279,1277,37,3184,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,145,10000,3083,1137,1206,1317,43,3214,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,146,10000,3094,1210,1276,1295,50,3075,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,147,10000,3097,1226,1243,1281,40,3113,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,148,10000,3131,1183,1250,1272,39,3125,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,149,10000,3143,1146,1265,1318,40,3088,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,150,10000,3154,1169,1234,1241,30,3172,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,151,10000,3088,1189,1274,1269,39,3141,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,152,10000,3066,1165,1230,1259,37,3243,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,153,10000,3123,1198,1239,1237,33,3170,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,154,10000,3157,1224,1219,1280,40,3080,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,155,10000,3093,1136,1344,1224,40,3163,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,156,10000,3133,1195,1237,1262,36,3137,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,157,10000,3101,1186,1254,1264,40,3155,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,158,10000,3118,1181,1305,1228,47,3121,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,159,10000,3180,1134,1227,1284,38,3137,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,160,10000,3117,1132,1269,1248,42,3192,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,161,10000,3040,1194,1264,1232,39,3231,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,162,10000,3148,1191,1259,1239,26,3137,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,163,10000,3121,1215,1255,1286,42,3081,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,164,10000,3153,1194,1267,1267,29,3090,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,165,10000,3171,1170,1231,1273,38,3117,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,166,10000,3086,1189,1265,1291,44,3125,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,167,10000,3151,1180,1239,1292,24,3114,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,168,10000,3092,1209,1293,1208,38,3160,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,169,10000,3140,1172,1310,1227,43,3108,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,170,10000,3128,1120,1275,1260,34,3183,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,171,10000,3156,1166,1242,1266,31,3139,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,172,10000,3062,1213,1253,1330,34,3108,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,173,10000,3134,1174,1247,1250,37,3158,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,174,10000,3166,1187,1280,1280,34,3053,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,175,10000,3154,1209,1266,1254,24,3093,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,176,10000,3096,1123,1319,1264,39,3159,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,177,10000,3120,1160,1210,1310,39,3161,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,178,10000,3144,1184,1287,1235,37,3113,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,179,10000,3160,1181,1223,1232,45,3159,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,180,10000,3224,1153,1296,1203,38,3086,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,181,10000,3195,1201,1248,1235,29,3092,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,182,10000,3121,1201,1235,1339,49,3055,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,183,10000,3124,1166,1310,1270,37,3093,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,184,10000,3149,1118,1267,1267,49,3150,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,185,10000,3157,1226,1252,1235,32,3098,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,186,10000,3112,1206,1286,1224,37,3135,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,187,10000,3101,1191,1248,1231,41,3188,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,188,10000,3230,1122,1239,1227,42,3140,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,189,10000,3064,1254,1240,1242,41,3159,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,190,10000,3073,1195,1299,1281,35,3117,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,191,10000,3134,1215,1247,1278,26,3100,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,192,10000,3195,1218,1265,1201,31,3090,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,193,10000,3151,1187,1266,1226,40,3130,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,194,10000,3145,1147,1212,1281,37,3178,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,195,10000,3089,1180,1315,1240,38,3138,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,196,10000,3117,1139,1285,1266,42,3151,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,197,10000,3115,1166,1257,1224,45,3193,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,198,10000,3145,1154,1270,1277,39,3115,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,199,10000,3099,1172,1235,1237,48,3209,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,0,10000,3159,1071,1259,1272,26,3213,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,1,10000,3214,1039,1269,1266,30,3182,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,2,10000,3197,1044,1292,1319,33,3115,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,3,10000,3101,1096,1262,1341,39,3161,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,4,10000,3157,1135,1285,1306,41,3076,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,5,10000,3246,1051,1301,1260,27,3115,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,6,10000,3144,1075,1277,1281,40,3183,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,7,10000,3148,1084,1240,1292,34,3202,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,8,10000,3196,1122,1262,1249,30,3141,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,9,10000,3197,1065,1335,1275,26,3102,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,10,10000,3231,1063,1301,1297,32,3076,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,11,10000,3052,1095,1343,1315,24,3171,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,12,10000,3249,1092,1252,1269,39,3099,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,13,10000,3105,1121,1331,1359,27,3057,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,14,10000,3224,1092,1313,1277,30,3064,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,15,10000,3077,1113,1323,1311,43,3133,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,16,10000,3147,1048,1378,1319,33,3075,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,17,10000,3131,1100,1266,1260,40,3203,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,18,10000,3193,1014,1287,1306,23,3177,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,19,10000,3221,1058,1297,1269,28,3127,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,20,10000,3161,1069,1244,1332,33,3161,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,21,10000,3152,1111,1258,1282,43,3154,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,22,10000,3162,1085,1272,1295,41,3145,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,23,10000,3105,1078,1311,1249,29,3228,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,24,10000,3137,1111,1225,1302,36,3189,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,25,10000,3162,1142,1284,1254,20,3138,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,26,10000,3131,1127,1309,1260,38,3135,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,27,10000,3159,1051,1248,1338,30,3174,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,28,10000,3193,1086,1266,1241,39,3175,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,29,10000,3114,1074,1280,1368,42,3122,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,30,10000,3150,1143,1305,1257,28,3117,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,31,10000,3174,1085,1318,1279,32,3112,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,32,10000,3193,1084,1294,1266,34,3129,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,33,10000,3091,1093,1267,1309,44,3196,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,34,10000,3127,1088,1253,1338,35,3159,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,35,10000,3150,1107,1267,1290,35,3151,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,36,10000,3090,1106,1325,1315,33,3131,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,37,10000,3151,1045,1299,1311,36,3158,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,38,10000,3171,1075,1307,1288,40,3119,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,39,10000,3234,1065,1272,1314,27,3088,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,40,10000,3144,1098,1322,1255,35,3146,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,41,10000,3153,1116,1270,1245,40,3176,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,42,10000,3101,1068,1328,1363,30,3110,0
pell_Dminus2,child,pell_Dminus2_N60_norm2,16291321729029300786,43,10000,3184,1099,1252,1347,30,3088,0
