batch,replica_first,samples,common_field_sha256,2omega_re,2omega_im,omega_over_2_re,omega_over_2_im,omega_plus_1_over_2_re,omega_plus_1_over_2_im,2omega_rank0,2omega_rank1,2omega_rank2,2omega_invalid,omega_over_2_rank0,omega_over_2_rank1,omega_over_2_rank2,omega_over_2_invalid,omega_plus_1_over_2_rank0,omega_plus_1_over_2_rank1,omega_plus_1_over_2_rank2,omega_plus_1_over_2_invalid
21,21000,1000,3fc7937250154aff828eed78ed1dd56984bbebbe43806f51b5123eb50e583b58,460.9228155652487,-2.361241412611258,-213.3445635636024,-383.4215567282114,-233.90853192834348,414.91948436565286,248,500,252,0,234,489,277,0,252,499,249,0
22,22000,1000,869c0b9e3f7032cb0302f7b243b34c989e7a3013ebbc67b3bf9f8093f73f3541,472.3410650887572,0.0,-219.13042764740382,-374.8825301883102,-204.2502348230316,387.06896872653664,260,505,235,0,261,479,260,0,258,472,270,0
23,23000,1000,5aa1181054c143629e6c33eae467be0fcdf03e9357494e7c2a88f583166a52f6,462.49609467455605,8.747928994082843,-212.6522753114702,-371.0905536815193,-210.72867022118703,381.5235804956001,233,510,257,0,274,464,262,0,258,480,262,0
24,24000,1000,a8f759a64101e7e39364db32fe9efd3dd80f15f43d8b6a7b470cb5b4c6eebbdd,487.46508875739625,3.4991715976331377,-197.06973530994406,-357.02937931216763,-212.27517909692654,380.64878759619177,228,532,240,0,277,461,262,0,272,474,254,0
25,25000,1000,863acb1f142e13905efa77bcd6d23ffbcb36993824c8fa18d84c0b81a019542b,475.50456604174013,-6.9983431952662745,-209.51955951361475,-400.1676218161748,-223.81607225705386,397.5486263766926,249,521,230,0,269,503,228,0,272,497,231,0
26,26000,1000,724370ff3277e780f4c0434040afddb49167f50ae22525ad49d5bed74995954b,470.89180964808895,-2.3612414126112578,-215.68288259992286,-383.24836855951696,-225.81810077781793,404.55944345596026,232,507,261,0,265,473,262,0,253,503,244,0
27,27000,1000,88fb9dc9060aacd2613c64f7d8f5d8f42beaafbd37a85aacea9be6a117ae0f53,439.896045331681,-3.847689925814232,-222.85692184103837,-412.0272485262725,-209.3842616099785,380.5882755758048,269,475,256,0,236,512,252,0,263,466,271,0
28,28000,1000,5e0075bd0d3a220f55dca8979440eec1ae5a3cdfce3a3f50fa4616f246abddcf,476.31853053878166,0.0,-214.76494052419747,-396.513119192591,-209.10528808128194,385.85489011499817,248,504,248,0,257,490,253,0,273,490,237,0
29,29000,1000,3b00eea74c27dafed877e291b508ec8c0406c55ae966d1ab88406c62cbb26b19,445.9580571660006,-4.373964497041422,-224.85716101826281,-408.5816483568705,-227.248720033945,414.7230557954722,245,487,268,0,247,501,252,0,252,506,242,0
30,30000,1000,5268be82cc6adb4de5951210f8dac536dbda7aefc05171dea0e76ed4816530ba,454.5003303581481,1.4864485132029737,-217.33695175402192,-385.8439735644106,-216.1144067708283,391.79589302498766,259,501,240,0,256,472,272,0,272,486,242,0
31,31000,1000,950d7512994e032130b91984b46d22623fb23260487d1c15d2fee9c215d48d4b,462.34106508875726,3.499171597633138,-204.1680174472741,-370.2693322103419,-201.26039739282234,380.62398986129205,256,495,249,0,280,462,258,0,254,480,266,0
32,32000,1000,88d99f2f602c889f7539b4b2aa64ae0ef6db4eb29ff9ef66a10696b6ac779af8,446.4073126066688,3.762308883246733,-204.74545251443223,-371.1262679670066,-210.342853945804,383.4805114151849,233,484,283,0,257,457,286,0,248,472,280,0
33,33000,1000,b05d0fca5b010f9786d24f1a04314fd6913a5f08d8487a16ff79261cbe0ac6e4,460.9495857988164,0.8747928994082845,-211.19272254394485,-383.0410234387487,-209.86301591109913,380.36307331229256,245,504,251,0,280,474,246,0,285,468,247,0
34,34000,1000,784c0859eade3c21ae26d51af743e853930b6ebd150b85afafda7ed193329848,429.40307692307675,5.248757396449706,-219.40382934548515,-383.24836855951713,-201.28601531339234,366.25960119343296,275,468,257,0,274,496,230,0,267,461,272,0
35,35000,1000,ddf10b236aa4af29cd1933b44dac583963a69a8e3143e62ce1a970473c9905de,465.4030769230767,3.4991715976331386,-216.9817427670915,-380.71327557501036,-222.10496917831668,396.2809763369233,227,504,269,0,283,476,241,0,244,489,267,0
36,36000,1000,d3e2145e60ee17da52121c77ff84fbecc482f28123f0889dd42a4b71c7a6eabc,444.34106508875726,-1.7495857988165686,-223.1896137035452,-402.6848576579379,-187.92622363153978,342.1400428794826,266,477,257,0,267,491,242,0,280,439,281,0
37,37000,1000,d65bb58d8130579e1cf29e90798b7bfafcdc49a66d103fc7ebca7f70d0ff9c3f,445.34953645594135,3.4991715976331377,-199.85520076503832,-376.39443983961337,-226.77948305107742,399.9835170968927,249,476,275,0,260,469,271,0,253,492,255,0
38,38000,1000,6f3a935f9c7633dd519e3a2ba8065575cc681458a0fa9aeea5180693976a7347,453.3763066895091,-0.2631372856135954,-218.29028714960248,-403.11860524749636,-226.95017876974217,398.08413356397085,253,488,259,0,239,502,259,0,250,490,260,0
39,39000,1000,d97ddf9c807034bfba57275e4d012fb33e59158d7c8cc82251bef6532545846b,437.4383185238286,5.511894682063302,-231.8180210520767,-409.79034370966633,-201.9148651756281,371.06177998818777,253,478,269,0,262,500,238,0,263,465,272,0
40,40000,1000,4991ea3ca3446e8c54a120e2daac25e0099a54bf0ae3fbd9f4a2cb4efadb3373,467.3100591715975,0.0,-210.99222423984776,-390.0859974700903,-182.8619799399758,353.23237667476917,253,497,250,0,253,475,272,0,266,446,288,0
41,41000,1000,357241345b5e7c34074b46943d67c7771e9549d50aa6140887c287efa91df85b,440.4693244409884,-7.26148048087987,-224.8595881677339,-394.68672156405717,-219.19774775257162,401.4761623051419,253,484,263,0,271,494,235,0,254,492,254,0
42,42000,1000,d106a8a7303bbce4ee872cac894a344fdd4ea8aac2af11aaa357036c0d31f345,457.9228155652487,1.1379301850218804,-203.43020868272518,-377.1496159985586,-219.48094178687447,399.0908670547409,237,497,266,0,265,468,267,0,254,483,263,0
43,43000,1000,29c86e2650322dcc21bff359885a19214574f709082485ebb0da7ab36c147817,438.43408284023656,-5.248757396449706,-215.8603056994065,-384.34992105585076,-214.3448824665682,381.74339950036955,269,480,251,0,293,476,231,0,277,476,247,0
44,44000,1000,b215ad9150043bea1cdfd3b78787c25f943ea7308ced58a6e083d6053fba566e,466.3763066895091,-1.4864485132029737,-210.7961856185815,-391.31793322437227,-200.85843663012517,373.87564666443734,257,501,242,0,283,482,235,0,262,477,261,0
45,45000,1000,cf7441b271adc5b9504b22bbaa4850756f29244801bec9948cff50706c1b135e,469.9538214824084,-1.13793018502188,-206.60528435847908,-372.91850864346657,-206.16769854430856,389.4433474263499,228,512,260,0,255,472,273,0,247,472,281,0
46,46000,1000,283fdeb5031a022774ceaec1abd7c0930a61612134e89c52626d3cfdc1ff8f45,444.85656804733713,-4.373964497041422,-218.60999066414027,-394.7813905365183,-213.65163750553884,386.693968728919,254,479,267,0,256,498,246,0,285,487,228,0
47,47000,1000,7e4af0bf186bca8e02a1ac2ea8a4813bb6c5d43d35385f672415c3eb9725469c,483.79455621301764,4.373964497041422,-211.27501964544362,-377.1139017130711,-211.5841221081443,396.1450597871297,229,512,259,0,256,481,263,0,246,487,267,0
48,48000,1000,3f044a14907c5c6246ddddfcbd24a532b93e67675a9c23b0ad4ac683d7bac819,460.3410650887573,-3.4991715976331377,-213.94502995037652,-378.5245589278928,-201.2444920827323,384.21938776479976,260,493,247,0,271,478,251,0,267,476,257,0
49,49000,1000,8a038bda378c15457004cc6df665dfed0b12a6b2f5746e004ba1d6da3fd38402,451.79455621301764,-0.8747928994082845,-216.52809219134838,-390.3002831830145,-215.31152912567867,379.9099112465769,257,480,263,0,269,478,253,0,267,482,251,0
50,50000,1000,18d22b3fde3c78a7e419ad58ae5cb1aa7068a04f9ba2072edd0a06df5b217d53,451.27905325443777,0.0,-222.9983138147357,-396.44324795502973,-217.00672288173035,381.9523019545512,260,478,262,0,254,492,254,0,240,481,279,0
51,51000,1000,38c70a7949ee1e0cee5d8fedc57622d18069dfcceccf69b778c30cc6aeace1b5,472.86927509811335,1.13793018502188,-197.29438853964282,-361.6053056712349,-211.22368457610713,371.43693001890796,244,504,252,0,281,453,266,0,257,469,274,0
52,52000,1000,f293dce971683c9aeaa5ba5e07017bdb93d8bf645494d28999a5952d522dd510,425.4340828402365,4.440892098500626e-16,-212.85229526111888,-384.9334663795148,-225.8263145525859,391.1215046541917,282,467,251,0,247,481,272,0,254,497,249,0
53,53000,1000,2c6d3a400e237127de26561dce5a670491a4b973af79e9d1de3927a34edb47ef,459.53133627530786,-4.985620110836111,-223.70284896413673,-392.99609045221416,-201.52298725698014,375.34645877151087,248,509,243,0,266,490,244,0,274,470,256,0
54,54000,1000,d1e735bb25632703ebc09bf1d7648443b587ee31e429279d41a8460b6fe6380a,422.5623421924676,-3.762308883246733,-211.07710794230061,-394.79386442051936,-236.2173154880784,423.38169907583705,251,475,274,0,284,469,247,0,249,515,236,0
55,55000,1000,aa963b8516ec99ce60e37f7769c6666ecc7f2bfd7063fbbe54f41d7f4bf97974,432.9185798816567,-0.874792899408285,-214.49708627418866,-385.05152578656464,-218.43523389135203,393.8351690661351,261,473,266,0,263,483,254,0,274,479,247,0
56,56000,1000,6fba791d510cb54bfdbe23b0674c514d7dc763b7c9b6534c9f66f91a752c1ed1,472.98906308316026,0.34851832818109374,-210.02987781208515,-375.57321836843624,-214.2601582155982,382.3200042318777,254,517,229,0,273,481,246,0,262,476,262,0
57,57000,1000,85433420656d553ab71da64def0e8774821a6b975986df1d9c1b834181fd63a5,445.49609467455605,3.4991715976331377,-217.76696904496168,-401.77435047304215,-219.12241720911607,389.462761902507,252,493,255,0,247,495,258,0,259,481,260,0
