N,p,prefixes,original_batches,mean_F1,mean_F2,mean_A,mean_E,pointwise_se_F1,pointwise_se_F2,pointwise_se_A,pointwise_se_E
325,0.075,20000,20,-2.044004175733872e-134,-4.505433828250124e-136,-2.089058514016373e-134,1.9989498374513713e-134,5.929299265774984e-135,4.015687719145186e-136,6.142078866875967e-135,5.736772761446026e-135
325,0.076,20000,20,-2.354512176403767e-133,-5.2102880994602056e-135,-2.4066150573983687e-133,2.302409295409165e-133,6.822060872010503e-134,4.624857635843975e-135,7.067146875288323e-134,6.600321983734758e-134
325,0.077,20000,20,-2.6217588708354958e-132,-5.824523298913499e-134,-2.6800041038246305e-132,2.563513637846361e-132,7.587510929011277e-133,5.148871527300837e-134,7.860396351660881e-133,7.340642407216175e-133
325,0.078,20000,20,-2.824460341454464e-131,-6.299569232347831e-133,-2.887456033777943e-131,2.761464649130987e-131,8.164561621950342e-132,5.545992574906823e-133,8.458525357435192e-132,7.898648137984947e-132
325,0.079,20000,20,-2.946408568744725e-130,-6.597463025999672e-132,-3.0123831990047213e-130,2.8804339384847277e-130,8.507070539524366e-131,5.784474094493125e-132,8.813706154264669e-131,8.229719616497345e-131
325,0.08,20000,20,-2.978621342079702e-129,-6.695897775096694e-131,-3.0455803198306693e-129,2.911662364328736e-129,8.589955248637997e-130,5.846769021233178e-131,8.899923303443464e-130,8.309616218561721e-130
325,0.081,20000,20,-2.9203809045958144e-128,-6.590880570324e-130,-2.986289710299054e-128,2.8544720988925746e-128,8.412062752805727e-129,5.731555375925151e-130,8.715950940968377e-129,8.137248506065259e-129
325,0.082,20000,20,-2.7790105831959617e-127,-6.296590857423239e-129,-2.8419764917701936e-127,2.716044674621729e-127,7.995386448456272e-128,5.453284722226668e-129,8.284546213673037e-128,7.73391681097395e-128
325,0.083,20000,20,-2.568503789239862e-126,-5.842621180501151e-128,-2.6269300010448734e-126,2.5100775774348503e-126,7.380989319518098e-127,5.039480796128197e-128,7.648229576554396e-127,7.139364001638376e-127
325,0.084,20000,20,-2.3073373570720984e-125,-5.269286073721654e-127,-2.3600302178093143e-125,2.2546444963348817e-125,6.622613625522575e-126,4.526441663294383e-127,6.862666792059256e-126,6.405591342702545e-126
