batch,replica_first,samples,z1_re,z1_im,z2_re,z2_im
27,1350000,50000,0.00092224662712186989,-0.0019091471606327293,-0.0028277533728781334,0.0019879671563956258
28,1400000,50000,0.0023322466271218784,0.00077553159109791658,-0.0018077533728781264,0.0025422234148174128
29,1450000,50000,-0.0017677533728781281,-0.003277467298611586,-0.0026877533728781322,-0.00067939108725934005
30,1500000,50000,0.0023522466271218706,-0.0020650317333138768,-0.0020077533728781322,0.00049840346188700924
31,1550000,50000,0.0012922466271218652,-0.0025153649432815839,0.00066224662712187354,0.0022131337613794655
32,1600000,50000,0.0012522466271218669,0.00070624955879516893,-0.002997753372878123,0.0014510314060494911
33,1650000,50000,-0.00084775337287812391,-0.0011297242972270749,-0.0032877533728781216,-9.0493812686165409e-05
34,1700000,50000,-0.0013477533728781244,-0.0030696212017033986,-0.0023377533728781291,-3.8912723077655365e-06
35,1750000,50000,-0.0016977533728781274,-0.0047497104850445226,-0.0027077533728781245,0.0026807874794228803
36,1800000,50000,-0.002097753372878125,-0.0023248393544491042,-0.0014977533728781217,0.0017281595352603984
37,1850000,50000,0.0047622466271218661,-0.0013202498860595546,-0.002207753372878124,0.0016761980110333585
38,1900000,50000,0.0047722466271218761,-0.00067939108725934005,-0.0018177533728781226,0.0028020310359526401
39,1950000,50000,0.0018222466271218679,-0.0015280959829677421,-0.0009577533728781229,6.5390759994954362e-05
40,2000000,50000,-0.00050775337287813083,0.00056768549418972913,-0.0013877533728781227,4.8070251919274387e-05
41,2050000,50000,-0.00033775337287812734,-0.00076599362763776768,0.00048224662712187394,0.0046033638758235379
42,2100000,50000,0.0012622466271218769,-0.0011470448053027549,-7.7753372878131e-05,0.0037373384720394559
43,2150000,50000,0.0061522466271218684,0.0011912237849142637,-0.00094775337287812678,0.0014337108979738111
44,2200000,50000,-0.0011577533728781286,-0.0017359420798759295,0.001382246627121872,0.0041876716820071769
45,2250000,50000,0.0015822466271218777,-0.0026712495159627314,-0.0027877533728781351,0.0017108390271847185
46,2300000,50000,0.0006322466271218713,-0.0014414934425893422,-0.0037577533728781337,0.0013817493737467712
47,2350000,50000,0.0005822466271218768,-0.003329428822838626,0.0010322466271218689,0.0021265312210010656
48,2400000,50000,0.00072224662712187804,-0.0033987108551413459,0.00022224662712187759,0.0041876716820071769
49,2450000,50000,0.00041224662712187332,-0.0034160313632170258,-0.00014775337287813162,0.0017454800433360784
50,2500000,50000,0.0036122466271218678,-0.0021343137656165967,-0.0010977533728781241,-0.00052350651457822028
51,2550000,50000,0.0015022466271218671,-0.0011816858214541148,0.00068224662712186579,0.0021784927452281055
52,2600000,50000,-0.0029577533728781247,-0.00090455769224320748,-0.00018775337287812999,0.0020226081725469858
53,2650000,50000,-0.0028477533728781257,-0.0037624415247306808,-0.00019775337287812611,0.0024209798582876529
54,2700000,50000,0.0052922466271218688,0.0011219417526115438,-0.0031777533728781227,0.00034251888920586171
55,2750000,50000,0.00080224662712187478,0.00023859584075178186,-0.0027977533728781312,0.0018320825837144783
56,2800000,50000,-0.0014377533728781311,-0.0032601467905359061,-0.0004877533728781247,0.0016069159787306109
57,2850000,50000,0.0048622466271218689,0.0015895954706549309,-0.0013577533728781344,0.0033216462782230949
58,2900000,50000,-0.00083775337287812779,-0.0016666600475732096,3.2246627121867988e-05,0.0020572491886983457
59,2950000,50000,0.0014322466271218665,0.00074089057494652888,-0.0015977533728781246,0.0011739032768385838
60,3000000,50000,0.0020722466271218681,0.00029055736497882179,-0.0011877533728781309,0.0020226081725469858
61,3050000,50000,0.0033322466271218654,4.8070251919274387e-05,-0.0033577533728781223,-0.00062742956303230013
