n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_k,sum_kk,sum_edges,sum_i0k,sum_i2k,sum_i0kk,sum_i2kk,sum_i0edges,sum_i2edges,sum_q,sum_e,sum_s,sum_chi,sum_cb,sum_cw,sum_faces,sum_i0s,sum_i2s,sum_q_q,sum_q_e,sum_q_k,sum_q_kk,sum_q_edges,sum_q_s,sum_q_chi,sum_q_cb,sum_q_cw,sum_e_e,sum_e_k,sum_e_kk,sum_e_edges,sum_e_s,sum_e_chi,sum_e_cb,sum_e_cw,sum_k_k,sum_k_kk,sum_k_edges,sum_k_s,sum_k_chi,sum_k_cb,sum_k_cw,sum_kk_kk,sum_kk_edges,sum_kk_s,sum_kk_chi,sum_kk_cb,sum_kk_cw,sum_edges_edges,sum_edges_s,sum_edges_chi,sum_edges_cb,sum_edges_cw,sum_s_s,sum_s_chi,sum_s_cb,sum_s_cw,sum_chi_chi,sum_chi_cb,sum_chi_cw,sum_cb_cb,sum_cb_cw,sum_cw_cw
130,11,3,first,19,200,14631,16436,62,75,63,15505,1192498,18508,4578,5141,334888,415602,5123,6519,1,125,1425,302,864,561,3305,474,413,125,1,563,80714,1396,-61,-422,-179,118,125,9719,750490,11642,887,154,521,366,1208003,93371540,1449431,109867,19990,65210,44657,7253134724,112614716,8407464,1272878,4880528,3526936,1751660,129901,18539,74918,54983,11035,2840,6907,4128,3614,3016,-176,4872,2035,2093
130,9,7,second,19,200,14568,16370,62,78,60,15505,1192498,18478,4560,4886,332164,394114,5063,6173,-2,122,1445,253,848,597,3226,480,407,122,-2,326,61950,1110,-73,-437,-194,121,122,9446,726278,11236,887,163,524,363,1208003,93371540,1446815,111647,16501,64237,47410,7253134724,112392782,8561038,1027520,4825254,3735784,1745054,132057,14859,74013,58044,11261,2388,6788,4473,3325,2638,-250,4616,2172,2301
130,11,3,first,20,200,14562,16268,58,69,73,15522,1195212,18578,4226,5918,304776,475228,4705,7453,15,131,1421,268,852,569,3324,445,498,131,15,1692,170452,2748,53,-402,-109,162,131,10144,780004,12158,943,180,569,374,1210734,93695568,1456388,109809,17457,64479,45330,7287002592,113267648,8423666,1087394,4840756,3582910,1763856,130195,15805,74374,55821,11057,2580,6845,4212,3438,2808,-228,4772,2073,2139
130,9,7,second,20,200,14844,16453,72,68,60,15522,1195212,18579,5303,4915,386600,398818,5948,6263,-12,132,1380,288,828,552,3345,527,389,132,-12,-388,12218,315,-138,-438,-222,84,132,10218,785418,12211,916,200,552,364,1210734,93695568,1456191,106534,19146,62646,43888,7287002592,113232482,8163938,1227284,4701720,3462218,1762551,126348,18461,72562,53786,10322,2532,6358,3964,2994,2544,-12,4340,2018,1946
130,11,3,first,21,200,14554,16389,55,82,63,15508,1192662,18511,3992,5171,286808,420214,4425,6574,8,118,1447,319,887,560,3322,442,445,118,8,1179,133406,2149,3,-379,-129,132,118,9163,707022,10999,887,171,533,354,1208170,93352536,1448871,111662,21647,67244,44418,7246829628,112474198,8550846,1430344,5057298,3493548,1748349,132304,21479,77966,54338,11439,3026,7234,4205,3259,2953,73,5029,2205,2000
130,9,7,second,21,200,14625,16289,55,70,75,15508,1192662,18510,4045,6062,294590,485410,4519,7593,20,130,1452,288,880,572,3290,457,512,130,20,2017,190820,3074,55,-427,-121,176,130,10107,780000,12112,969,173,581,388,1208170,93352536,1448729,111775,19026,66409,45366,7246829628,112458914,8539380,1211220,4970710,3568670,1747860,132032,17882,76494,55538,11730,3043,7414,4316,3734,3175,-132,5234,2180,2136
130,11,3,first,22,200,14743,16590,75,75,50,15328,1165876,18073,5484,4078,396836,330142,6091,5147,-25,125,1464,427,933,531,3172,594,354,125,-25,-1406,-66694,-944,-240,-455,-285,45,125,9562,726978,11238,948,271,597,351,1181204,90351980,1400842,111631,29145,69685,41946,6951190664,107797612,8450392,1932290,5157994,3292398,1674785,130236,28828,79060,51176,11862,3978,7800,4062,4147,3835,143,5675,2125,1937
130,9,7,second,22,200,14494,16286,61,79,60,15328,1165876,18108,4399,4886,313898,394336,4771,6192,-1,121,1472,349,910,562,3129,495,416,121,-1,487,80438,1421,-79,-444,-201,122,121,9285,708234,10963,911,220,565,346,1181204,90351980,1403866,112103,23266,67928,44175,6951190664,108050190,8475800,1500478,5028358,3447442,1683146,131141,21774,77168,53973,11886,3409,7608,4278,3917,3441,-32,5424,2184,2094
130,11,3,first,23,200,14551,16270,60,75,65,15356,1170474,18157,4343,5257,311556,421426,4823,6559,5,125,1441,364,905,536,3165,458,452,125,5,914,109870,1736,-6,-355,-118,112,125,9600,732982,11382,910,221,568,342,1185830,90907032,1410172,110036,24394,67672,42364,7009056756,108726486,8349306,1587032,5023104,3326202,1689155,129085,23947,77384,51701,11335,3199,7264,4071,3500,3172,27,5159,2105,1966
130,9,7,second,23,200,14716,16245,67,73,60,15356,1170474,18185,4854,4913,348314,398552,5379,6221,-7,127,1380,363,868,512,3192,491,412,127,-7,59,50238,842,-79,-428,-190,111,127,9767,746866,11600,903,204,550,353,1185830,90907032,1412365,105549,24566,65087,40462,7009056756,108896824,8019476,1617562,4843638,3175838,1694227,124303,24469,74807,49496,10388,3071,6690,3698,3429,3036,35,4768,1922,1776
130,11,3,first,24,200,14624,16477,66,77,57,15523,1195678,18495,4863,4708,354606,385578,5447,6005,-9,123,1460,373,912,548,3345,508,388,123,-9,-155,30972,558,-120,-451,-224,104,123,9571,740184,11452,896,205,546,350,1211201,93792986,1451168,112536,25403,68892,43644,7302271460,113006194,8613002,1679462,5161718,3451284,1751929,132479,24965,79001,53478,11752,3606,7619,4133,3903,3529,77,5462,2157,1976
