batch,first_replica,samples,p,axis_sum,diamond_sum,paired_difference_sum,axis_mean,diamond_mean,paired_difference_mean
18,180000,10000,0.59174605000000002,-266,-262,4,-0.026599999999999999,-0.026200000000000001,0.00040000000000000002
18,180000,10000,0.59274605000000002,18,33,15,0.0018,0.0033,0.0015
18,180000,10000,0.59374605000000003,297,331,34,0.029700000000000001,0.033099999999999997,0.0033999999999999998
19,190000,10000,0.59174605000000002,-198,-352,-154,-0.019800000000000002,-0.035200000000000002,-0.0154
19,190000,10000,0.59274605000000002,84,-94,-178,0.0083999999999999995,-0.0094000000000000004,-0.0178
19,190000,10000,0.59374605000000003,346,187,-159,0.034599999999999999,0.018700000000000001,-0.015900000000000001
20,200000,10000,0.59174605000000002,-288,-219,69,-0.028799999999999999,-0.021899999999999999,0.0068999999999999999
20,200000,10000,0.59274605000000002,9,60,51,0.00089999999999999998,0.0060000000000000001,0.0051000000000000004
20,200000,10000,0.59374605000000003,304,368,64,0.0304,0.036799999999999999,0.0064000000000000003
21,210000,10000,0.59174605000000002,-339,-245,94,-0.0339,-0.024500000000000001,0.0094000000000000004
21,210000,10000,0.59274605000000002,-67,28,95,-0.0067000000000000002,0.0028,0.0094999999999999998
21,210000,10000,0.59374605000000003,227,325,98,0.022700000000000001,0.032500000000000001,0.0097999999999999997
22,220000,10000,0.59174605000000002,-257,-336,-79,-0.025700000000000001,-0.033599999999999998,-0.0079000000000000008
22,220000,10000,0.59274605000000002,-2,-69,-67,-0.00020000000000000001,-0.0068999999999999999,-0.0067000000000000002
22,220000,10000,0.59374605000000003,274,216,-58,0.027400000000000001,0.021600000000000001,-0.0057999999999999996
23,230000,10000,0.59174605000000002,-345,-196,149,-0.034500000000000003,-0.019599999999999999,0.0149
23,230000,10000,0.59274605000000002,-79,89,168,-0.0079000000000000008,0.0088999999999999999,0.016799999999999999
23,230000,10000,0.59374605000000003,237,376,139,0.023699999999999999,0.037600000000000001,0.013899999999999999
24,240000,10000,0.59174605000000002,-367,-407,-40,-0.036700000000000003,-0.0407,-0.0040000000000000001
24,240000,10000,0.59274605000000002,-96,-127,-31,-0.0095999999999999992,-0.012699999999999999,-0.0030999999999999999
24,240000,10000,0.59374605000000003,197,183,-14,0.019699999999999999,0.0183,-0.0014
25,250000,10000,0.59174605000000002,-204,-323,-119,-0.020400000000000001,-0.032300000000000002,-0.011900000000000001
25,250000,10000,0.59274605000000002,73,-59,-132,0.0073000000000000001,-0.0058999999999999999,-0.0132
25,250000,10000,0.59374605000000003,368,224,-144,0.036799999999999999,0.0224,-0.0144
26,260000,10000,0.59174605000000002,-200,-281,-81,-0.02,-0.0281,-0.0080999999999999996
26,260000,10000,0.59274605000000002,113,-6,-119,0.011299999999999999,-0.00059999999999999995,-0.011900000000000001
26,260000,10000,0.59374605000000003,411,268,-143,0.041099999999999998,0.026800000000000001,-0.0143
27,270000,10000,0.59174605000000002,-199,-332,-133,-0.019900000000000001,-0.0332,-0.013299999999999999
27,270000,10000,0.59274605000000002,76,-56,-132,0.0076,-0.0055999999999999999,-0.0132
27,270000,10000,0.59374605000000003,374,285,-89,0.037400000000000003,0.028500000000000001,-0.0088999999999999999
28,280000,10000,0.59174605000000002,-320,-325,-5,-0.032000000000000001,-0.032500000000000001,-0.00050000000000000001
28,280000,10000,0.59274605000000002,-18,-42,-24,-0.0018,-0.0041999999999999997,-0.0023999999999999998
28,280000,10000,0.59374605000000003,255,246,-9,0.025499999999999998,0.0246,-0.00089999999999999998
29,290000,10000,0.59174605000000002,-224,-194,30,-0.0224,-0.019400000000000001,0.0030000000000000001
29,290000,10000,0.59274605000000002,87,95,8,0.0086999999999999994,0.0094999999999999998,0.00080000000000000004
29,290000,10000,0.59374605000000003,388,364,-24,0.038800000000000001,0.036400000000000002,-0.0023999999999999998
30,300000,10000,0.59174605000000002,-259,-332,-73,-0.025899999999999999,-0.0332,-0.0073000000000000001
30,300000,10000,0.59274605000000002,38,-39,-77,0.0038,-0.0038999999999999998,-0.0077000000000000002
30,300000,10000,0.59374605000000003,337,253,-84,0.033700000000000001,0.0253,-0.0083999999999999995
31,310000,10000,0.59174605000000002,-397,-419,-22,-0.039699999999999999,-0.0419,-0.0022000000000000001
31,310000,10000,0.59274605000000002,-112,-119,-7,-0.0112,-0.011900000000000001,-0.00069999999999999999
31,310000,10000,0.59374605000000003,193,138,-55,0.019300000000000001,0.0138,-0.0054999999999999997
32,320000,10000,0.59174605000000002,-349,-325,24,-0.0349,-0.032500000000000001,0.0023999999999999998
32,320000,10000,0.59274605000000002,-62,-38,24,-0.0061999999999999998,-0.0038,0.0023999999999999998
32,320000,10000,0.59374605000000003,226,237,11,0.022599999999999999,0.023699999999999999,0.0011000000000000001
33,330000,10000,0.59174605000000002,-244,-244,0,-0.024400000000000002,-0.024400000000000002,0
33,330000,10000,0.59274605000000002,44,60,16,0.0044000000000000003,0.0060000000000000001,0.0016000000000000001
33,330000,10000,0.59374605000000003,363,327,-36,0.036299999999999999,0.0327,-0.0035999999999999999
34,340000,10000,0.59174605000000002,-315,-293,22,-0.0315,-0.0293,0.0022000000000000001
34,340000,10000,0.59274605000000002,-8,-3,5,-0.00080000000000000004,-0.00029999999999999997,0.00050000000000000001
34,340000,10000,0.59374605000000003,285,279,-6,0.028500000000000001,0.027900000000000001,-0.00059999999999999995
35,350000,10000,0.59174605000000002,-441,-197,244,-0.0441,-0.019699999999999999,0.024400000000000002
35,350000,10000,0.59274605000000002,-162,73,235,-0.016199999999999999,0.0073000000000000001,0.0235
35,350000,10000,0.59374605000000003,146,352,206,0.0146,0.035200000000000002,0.0206
36,360000,10000,0.59174605000000002,-248,-146,102,-0.024799999999999999,-0.0146,0.010200000000000001
36,360000,10000,0.59274605000000002,14,109,95,0.0014,0.0109,0.0094999999999999998
36,360000,10000,0.59374605000000003,300,372,72,0.029999999999999999,0.037199999999999997,0.0071999999999999998
37,370000,10000,0.59174605000000002,-397,-231,166,-0.039699999999999999,-0.023099999999999999,0.0166
37,370000,10000,0.59274605000000002,-129,25,154,-0.0129,0.0025000000000000001,0.0154
37,370000,10000,0.59374605000000003,127,322,195,0.012699999999999999,0.032199999999999999,0.0195
38,380000,10000,0.59174605000000002,-216,-340,-124,-0.021600000000000001,-0.034000000000000002,-0.0124
38,380000,10000,0.59274605000000002,71,-20,-91,0.0071000000000000004,-0.002,-0.0091000000000000004
38,380000,10000,0.59374605000000003,343,237,-106,0.034299999999999997,0.023699999999999999,-0.0106
39,390000,10000,0.59174605000000002,-298,-250,48,-0.0298,-0.025000000000000001,0.0047999999999999996
39,390000,10000,0.59274605000000002,-15,30,45,-0.0015,0.0030000000000000001,0.0044999999999999997
39,390000,10000,0.59374605000000003,315,317,2,0.0315,0.031699999999999999,0.00020000000000000001
40,400000,10000,0.59174605000000002,-377,-305,72,-0.037699999999999997,-0.030499999999999999,0.0071999999999999998
40,400000,10000,0.59274605000000002,-126,-42,84,-0.0126,-0.0041999999999999997,0.0083999999999999995
40,400000,10000,0.59374605000000003,174,263,89,0.017399999999999999,0.0263,0.0088999999999999999
41,410000,10000,0.59174605000000002,-333,-272,61,-0.033300000000000003,-0.027199999999999998,0.0061000000000000004
41,410000,10000,0.59274605000000002,-12,2,14,-0.0011999999999999999,0.00020000000000000001,0.0014
41,410000,10000,0.59374605000000003,262,279,17,0.026200000000000001,0.027900000000000001,0.0016999999999999999
42,420000,10000,0.59174605000000002,-407,-358,49,-0.0407,-0.035799999999999998,0.0048999999999999998
42,420000,10000,0.59274605000000002,-131,-71,60,-0.013100000000000001,-0.0071000000000000004,0.0060000000000000001
42,420000,10000,0.59374605000000003,159,195,36,0.015900000000000001,0.0195,0.0035999999999999999
43,430000,10000,0.59174605000000002,-238,-306,-68,-0.023800000000000002,-0.030599999999999999,-0.0067999999999999996
43,430000,10000,0.59274605000000002,55,13,-42,0.0054999999999999997,0.0012999999999999999,-0.0041999999999999997
43,430000,10000,0.59374605000000003,340,319,-21,0.034000000000000002,0.031899999999999998,-0.0020999999999999999
44,440000,10000,0.59174605000000002,-130,-387,-257,-0.012999999999999999,-0.038699999999999998,-0.025700000000000001
44,440000,10000,0.59274605000000002,167,-96,-263,0.0167,-0.0095999999999999992,-0.0263
44,440000,10000,0.59374605000000003,477,175,-302,0.047699999999999999,0.017500000000000002,-0.030200000000000001
45,450000,10000,0.59174605000000002,-143,-315,-172,-0.0143,-0.0315,-0.0172
45,450000,10000,0.59274605000000002,109,-38,-147,0.0109,-0.0038,-0.0147
45,450000,10000,0.59374605000000003,399,265,-134,0.039899999999999998,0.026499999999999999,-0.0134
46,460000,10000,0.59174605000000002,-410,-495,-85,-0.041000000000000002,-0.049500000000000002,-0.0085000000000000006
46,460000,10000,0.59274605000000002,-114,-197,-83,-0.0114,-0.019699999999999999,-0.0083000000000000001
46,460000,10000,0.59374605000000003,166,90,-76,0.0166,0.0089999999999999993,-0.0076
47,470000,10000,0.59174605000000002,-264,-406,-142,-0.0264,-0.040599999999999997,-0.014200000000000001
47,470000,10000,0.59274605000000002,-1,-123,-122,-0.0001,-0.0123,-0.012200000000000001
47,470000,10000,0.59374605000000003,297,159,-138,0.029700000000000001,0.015900000000000001,-0.0138
48,480000,10000,0.59174605000000002,-151,-176,-25,-0.015100000000000001,-0.017600000000000001,-0.0025000000000000001
48,480000,10000,0.59274605000000002,155,114,-41,0.0155,0.0114,-0.0041000000000000003
48,480000,10000,0.59374605000000003,456,386,-70,0.045600000000000002,0.038600000000000002,-0.0070000000000000001
