n,modulus,batch,k,counter_first,counter_last_exclusive,samples,sum_q,sum_q2,sum_I01,sum_I12,sum_I02,sum_Re_J_S4,sum_Im_J_S4,sum_Re_J_D4,sum_Im_J_D4,sum_q_Re_J_S4,sum_q_Im_J_S4,sum_q_Re_J_D4,sum_q_Im_J_D4,sum_birth_mass,priority_field_digest
50,2i,1,24,9500200000,9500400000,200000,-136762,137532,792944,22184,1874,-652968.203776,419929.632768,625780.870912,-401826.134016,351507.808384,-226331.354112,-359455.20448,231398.38464,815128,63f61c762e257e95
50,2i,1,25,9500200000,9500400000,200000,-119066,121044,907075,53825,3550,-751515.616,481677.888,682816.8544,-435600.4992,366107.1248,-232309.2864,-384607.064,244844.352,960900,63f61c762e257e95
50,2i,1,26,9500200000,9500400000,200000,-98326,103402,992142,116978,6474,-842797.241344,536525.755392,689540.740096,-435958.422528,349694.224896,-220680.188928,-401901.000192,255564.205056,1109120,63f61c762e257e95
50,2i,1,27,9500200000,9500400000,200000,-74581,86049,1022275,216127,10957,-912417.515776,580594.848768,626744.152064,-397986.404352,289968.04896,-184456.28928,-403648.990656,258350.020608,1238402,63f61c762e257e95
50,2i,1,28,9500200000,9500400000,200000,-48612,71370,985576,366906,16452,-966946.373248,617150.628864,475515.26336,-307781.26848,194338.102528,-126757.499904,-403720.181504,259105.846272,1352482,63f61c762e257e95
50,2i,1,29,9500200000,9500400000,200000,-20187,61931,870622,561086,20141,-1004823.833344,642926.011392,240242.977664,-157332.145152,42462.6752,-29137.1136,-414254.579584,262482.995712,1431708,63f61c762e257e95
50,2i,1,30,9500200000,9500400000,200000,8736,60226,683300,758870,20790,-1009223.7344,645148.3392,-50273.25632,32997.74976,-127314.90816,82401.91488,-433812.16512,277952.34816,1442170,63f61c762e257e95
50,2i,1,31,9500200000,9500400000,200000,37460,66562,487291,929681,20090,-1001150.086912,639548.822016,-336825.539456,215004.139008,-291609.786432,185567.909376,-480863.5856,307009.4208,1416972,63f61c762e257e95
50,2i,1,32,9500200000,9500400000,200000,65172,79508,310974,1033262,16168,-974407.930368,625653.633024,-554463.519488,355982.813184,-425611.839616,272252.709888,-526813.009792,337390.457856,1344236,63f61c762e257e95
50,2i,1,33,9500200000,9500400000,200000,90586,96620,170099,1057268,9836,-920241.587648,591939.608064,-689905.889856,445118.366208,-506009.274176,327292.819968,-550809.493312,354694.857216,1227367,63f61c762e257e95
50,2i,1,34,9500200000,9500400000,200000,113451,115589,78008,1016426,5472,-851709.370752,543983.963136,-745430.878592,478874.336256,-544989.683072,349917.520896,-561667.73696,360223.07328,1094434,63f61c762e257e95
50,2i,1,35,9500200000,9500400000,200000,133265,133931,29600,915860,2230,-761034.4192,484359.7056,-719546.82496,458489.05728,-533963.41888,340371.36384,-538967.77024,343698.61632,945460,63f61c762e257e95
