# schema=matching-one/p537-aggregate-wedge-mc-combined/v1
# L=8
# N=64
# samples=100000000
# shard_index=0
# shard_count=1
# batches=100
# proposal_p=0.59260000000000002
batch	kind	transition	k	count	sum_q0	sum_q1	sum_source16_0	sum_source16_1	signed_count	signed_source_mid16	unsigned_count
0	landing	01	27	0	0	0	0	0	10	3520	24
0	landing	12	27	0	0	0	0	0	0	0	0
0	global	-	28	6044	-5701	-5549	1231296	1282240	0	0	0
0	landing	01	28	0	0	0	0	0	30	12888	68
0	landing	12	28	0	0	0	0	0	1	216	1
0	global	-	29	10825	-9939	-9558	2323712	2393856	0	0	0
0	landing	01	29	0	0	0	0	0	46	21244	164
0	landing	12	29	0	0	0	0	0	0	280	2
0	global	-	30	17641	-15665	-14770	3869312	3920192	0	0	0
0	landing	01	30	0	0	0	0	0	74	37202	338
0	landing	12	30	0	0	0	0	0	0	-104	24
0	global	-	31	27485	-23136	-21429	6120128	6206080	0	0	0
0	landing	01	31	0	0	0	0	0	154	80596	618
0	landing	12	31	0	0	0	0	0	18	5864	58
0	global	-	32	39697	-30776	-27476	8962752	8819200	0	0	0
0	landing	01	32	0	0	0	0	0	216	120364	1120
0	landing	12	32	0	0	0	0	0	52	22788	168
0	global	-	33	54727	-38155	-32497	12283584	11971328	0	0	0
0	landing	01	33	0	0	0	0	0	349	182776	1783
0	landing	12	33	0	0	0	0	0	98	38632	396
0	global	-	34	70174	-41803	-33126	15135360	14588864	0	0	0
0	landing	01	34	0	0	0	0	0	343	192828	2573
0	landing	12	34	0	0	0	0	0	215	89000	791
0	global	-	35	84356	-39745	-27631	17473600	16408832	0	0	0
0	landing	01	35	0	0	0	0	0	295	183492	3101
0	landing	12	35	0	0	0	0	0	278	115232	1388
0	global	-	36	95238	-31272	-16051	18657088	17118080	0	0	0
0	landing	01	36	0	0	0	0	0	158	121424	3496
0	landing	12	36	0	0	0	0	0	270	123374	2128
0	global	-	37	100932	-17175	-206	18026688	16224960	0	0	0
0	landing	01	37	0	0	0	0	0	51	69088	3419
0	landing	12	37	0	0	0	0	0	372	168024	2984
0	global	-	38	100686	-194	17009	16106560	14180864	0	0	0
0	landing	01	38	0	0	0	0	0	-179	-26506	2825
0	landing	12	38	0	0	0	0	0	255	117804	3417
0	global	-	39	94158	16108	31537	13445568	11653568	0	0	0
0	landing	01	39	0	0	0	0	0	-94	11256	2162
0	landing	12	39	0	0	0	0	0	201	108976	3559
0	global	-	40	82442	28003	40342	10143616	8940160	0	0	0
0	landing	01	40	0	0	0	0	0	-144	-20184	1244
0	landing	12	40	0	0	0	0	0	-89	24934	3339
0	global	-	41	66958	32670	41403	7234816	6209792	0	0	0
0	landing	01	41	0	0	0	0	0	-128	-13442	660
0	landing	12	41	0	0	0	0	0	-37	26888	2423
0	global	-	42	50949	31798	37164	4689152	3977280	0	0	0
0	landing	01	42	0	0	0	0	0	-84	-10668	304
0	landing	12	42	0	0	0	0	0	-116	5300	1676
0	global	-	43	36499	26534	29640	2790144	2316672	0	0	0
0	landing	01	43	0	0	0	0	0	-20	-1896	110
0	landing	12	43	0	0	0	0	0	-86	-664	980
0	global	-	44	24072	19481	21002	1605568	1329664	0	0	0
0	landing	01	44	0	0	0	0	0	-1	-80	29
0	landing	12	44	0	0	0	0	0	-77	-6692	477
0	global	-	45	14575	12802	13452	786880	632128	0	0	0
