sector,full_axis_tilted_rectangle,pooled_four_cell_rectangle,det_lower,det_upper,det_midpoint,det_excludes_zero,p4_01_absent,p4_01_present,p4_12_absent,p4_12_present
02b8a2cf9aefad6855f7,0,0,0,0,0.0,0,1.324996648522054e-09,0.0,-6.209197336567427e-10,0.0
02d840625be8abb5d159,0,0,0,0,0.0,0,-1.773663812973241e-09,0.0,1.002820574494215e-10,0.0
02e2d78042b729f3012e,0,0,0,0,0.0,0,2.2900144005156141e-10,1.887018289876073e-10,0.0,0.0
032fcee7fd5f350f2951,0,0,0,0,0.0,0,-2.055500172210956e-09,0.0,1.8461188731263328e-10,0.0
036f819b449200be670b,0,0,0,0,0.0,0,0.0,0.0,8.82160039285181e-10,0.0
0385c4ad11a1b00b0c83,0,0,0,0,0.0,0,-2.4627353015490475e-10,0.0,4.093701597555582e-12,0.0
03be36f3e04aaaf42ec6,0,0,0,0,0.0,0,6.295144228488113e-10,0.0,-1.2395468003492164e-09,0.0
03bfca8b0f34b973a1b0,0,0,0,0,0.0,0,4.23897576959331e-11,3.5529056904874195e-11,0.0,0.0
03c2186f1007e6bd7e97,0,0,0,0,0.0,0,-8.541625921617876e-11,0.0,4.666254020537956e-10,0.0
03e33e92680b424886c9,0,0,0,0,0.0,0,-3.122631236510716e-10,0.0,1.731384960138039e-11,0.0
03ec1b834fe054ff9f2c,0,0,0,0,0.0,0,-1.2687782883732282e-09,0.0,6.756633541866655e-10,0.0
0414f3d6b213c66deeb6,0,0,0,0,0.0,0,-3.503975393521784e-10,0.0,5.955657808328983e-11,0.0
0418d7078a883dfb8ced,0,0,0,0,0.0,0,5.015330500411628e-09,0.0,-2.4286689754668278e-09,0.0
0434c0a5acae6ae665e5,0,0,0,0,0.0,0,-1.872977044052213e-10,0.0,1.1348436037567291e-11,0.0
043a8fa63626a705a4d5,0,0,0,0,0.0,0,-1.0240964921098598e-10,-8.655014943817056e-11,0.0,0.0
04eef769e8b8878839b8,0,0,0,0,0.0,0,5.328408817071209e-11,0.0,0.0,0.0
05212ba09f3fb744016f,0,0,0,0,0.0,0,-7.686235452220895e-10,0.0,0.0,0.0
0532ba9ac081522155db,0,0,0,0,0.0,0,-3.689526456938597e-11,0.0,4.125894532441302e-12,0.0
0539ccc6d60c7d6d4084,0,0,0,0,0.0,0,1.1798052024338006e-10,0.0,0.0,0.0
05695eb1c16107c80f86,0,0,0,0,0.0,0,1.4708995685347046e-10,1.2257536494404623e-10,0.0,0.0
056e1dfae1d11e910b0e,0,0,0,0,0.0,0,-7.43875541378176e-11,0.0,0.0,0.0
0587ec221977955b4829,0,0,0,0,0.0,0,3.187060155236832e-09,0.0,0.0,0.0
05a113c103921ca2a70c,0,0,0,0,0.0,0,-5.754347905447793e-10,0.0,-6.471732942387588e-11,0.0
05dc7bf8e5d6857da203,0,0,0,0,0.0,0,-9.397096574720194e-10,0.0,5.0157125192153616e-11,0.0
060076b32f57b635657e,0,0,0,0,0.0,0,-1.1965465502433207e-09,0.0,-7.87622031069055e-11,0.0
06220acc0f027039b1c3,0,0,0,0,0.0,0,-1.063261202123227e-10,0.0,4.4210729352529665e-10,0.0
06548816d6822cc4e790,0,0,0,0,0.0,0,3.4816432191872647e-10,0.0,-3.3782999057062167e-10,0.0
0654bcbc07282e929dc8,0,0,0,0,0.0,0,-3.7279354353884504e-10,0.0,0.0,0.0
0671361da798ffe4dab6,0,0,0,0,0.0,0,-9.764644835408046e-10,0.0,1.0714015581872618e-10,0.0
067838816ba40666c64b,0,0,0,0,0.0,0,1.796538395621679e-10,0.0,0.0,0.0
0679820c28d3e969848f,0,0,0,0,0.0,0,-1.4998694240298217e-09,0.0,9.197413608291757e-11,0.0
06bf078cd69dbbcb3fb4,0,0,0,0,0.0,0,-7.512709123820853e-12,0.0,0.0,0.0
06e2665d497e1ccba161,0,0,0,0,0.0,0,0.0,0.0,4.093701597555582e-12,0.0
06ea068cb874cb432862,0,0,0,0,0.0,0,-2.503879853562127e-10,0.0,0.0,0.0
075728b036142f7e2a9e,1,1,-100138815227357659747831230667011/25000000000000000000000000000000000000000000000000,-400555260909430638991324922668043/100000000000000000000000000000000000000000000000000,-4.005552609094306e-18,1,9.762701542370701e-09,8.16268606640756e-09,-4.793709485142757e-09,-4.418356747122298e-09
07b9ee9f15dc7f56956f,0,0,0,0,0.0,0,2.5587575930562264e-11,2.1433713410476758e-11,0.0,0.0
07dcea5b6507c5618a21,0,0,0,0,0.0,0,-3.9197673991587706e-09,0.0,-4.277305733702473e-10,0.0
07ee27dffb751b4ae234,0,0,0,0,0.0,0,1.0176450531476726e-09,0.0,-3.772342110321142e-11,0.0
082d835575aec231d9e2,0,0,0,0,0.0,0,1.9250542132377607e-09,0.0,0.0,0.0
083f7547a65317814946,0,0,0,0,0.0,0,2.6636423304232746e-10,0.0,-4.972364315100446e-11,0.0
0869cff75452cae1c4d5,0,0,0,0,0.0,0,3.4755249904262284e-10,0.0,-1.693993955996955e-10,0.0
