geometry_id,lambda_num,lambda_den,level,span_L,nx,ny,vertices,edges,batch,seed,sample_begin,samples,sum_J,sum_J2,count_1234,sum_J_1234,sum_J2_1234,count_12_34,sum_J_12_34,sum_J2_12_34,count_14_23,sum_J_14_23,sum_J2_14_23
lambda_1_3,1,3,2,28,169,113,19097,37912,23,2026102632,115000,5000,114470528,2620715387128,41,938287,21472841933,14,320656,7344352652,2,45812,1049380040
lambda_1_3,1,3,2,28,169,113,19097,37912,24,2026102632,120000,5000,114477281,2621024795173,41,938917,21501708105,20,457546,10467473862,4,91634,2099206956
lambda_1_3,1,3,2,28,169,113,19097,37912,25,2026102632,125000,5000,114477125,2621017551781,40,915872,20970684856,22,504377,11563504575,4,91582,2096850654
lambda_1_3,1,3,2,28,169,113,19097,37912,26,2026102632,130000,5000,114471738,2620770811770,23,526685,12060813207,11,252010,5773576426,4,91443,2090457165
lambda_1_3,1,3,2,28,169,113,19097,37912,27,2026102632,135000,5000,114466913,2620550109501,48,1099016,25163419374,13,297652,6815164476,5,114394,2617201478
lambda_1_3,1,3,2,28,169,113,19097,37912,28,2026102632,140000,5000,114470529,2620715817591,35,801404,18350024166,10,228723,5231442593,4,91541,2094952147
lambda_1_3,1,3,2,28,169,113,19097,37912,29,2026102632,145000,5000,114473590,2620856257698,52,1190558,27258396472,24,549242,12569509636,1,22926,525601476
lambda_1_3,1,3,2,28,169,113,19097,37912,30,2026102632,150000,5000,114468570,2620626281254,44,1006818,23038408730,19,435263,9971302585,1,22851,522168201
lambda_1_3,1,3,2,28,169,113,19097,37912,31,2026102632,155000,5000,114469683,2620677108883,51,1167258,26715669020,11,251785,5763262065,0,0,0
lambda_1_3,1,3,2,28,169,113,19097,37912,32,2026102632,160000,5000,114464687,2620448638511,37,846920,19385872152,17,389150,8908156128,0,0,0
lambda_1_3,1,3,2,28,169,113,19097,37912,33,2026102632,165000,5000,114472106,2620787694028,53,1213763,27796768403,14,320573,7340537339,2,45797,1048682617
lambda_1_3,1,3,2,28,169,113,19097,37912,34,2026102632,170000,5000,114464033,2620418076667,37,847011,19390047627,9,205969,4713732311,5,114451,2619807819
lambda_1_3,1,3,2,28,169,113,19097,37912,35,2026102632,175000,5000,114474453,2620895310443,50,1144476,26196637566,9,206002,4715250322,7,160257,3668920399
lambda_1_3,1,3,2,28,169,113,19097,37912,36,2026102632,180000,5000,114471788,2620773467836,44,1007534,23071140220,19,434835,9951693591,1,22912,524959744
lambda_1_3,1,3,2,28,169,113,19097,37912,37,2026102632,185000,5000,114471391,2620755136215,39,892648,20431412764,19,434884,9953946510,2,45668,1042783994
lambda_1_3,1,3,2,28,169,113,19097,37912,38,2026102632,190000,5000,114467812,2620591109048,46,1052575,24085265441,19,434857,9952720463,4,91582,2096828806
lambda_1_3,1,3,2,28,169,113,19097,37912,39,2026102632,195000,5000,114470650,2620721235616,40,915272,20943194836,12,274382,6273823498,10,229040,5245944404
lambda_1_3,1,3,2,28,169,113,19097,37912,40,2026102632,200000,5000,114466744,2620542006906,45,1030659,23605828337,12,274997,6301965431,1,22942,526335364
lambda_1_3,1,3,2,28,169,113,19097,37912,41,2026102632,205000,5000,114469037,2620647620423,53,1212992,27761437798,17,389227,8911670877,5,114459,2620185175
lambda_1_3,1,3,2,28,169,113,19097,37912,42,2026102632,210000,5000,114469797,2620681899785,51,1167892,26744652924,15,343207,7852797409,3,68566,1567111426
lambda_1_3,1,3,2,28,169,113,19097,37912,43,2026102632,215000,5000,114467620,2620582365748,43,984367,22534492919,12,274672,6287095006,2,45747,1046394185
lambda_1_3,1,3,2,28,169,113,19097,37912,44,2026102632,220000,5000,114467494,2620576971404,43,983846,22510667684,18,411962,9428572518,4,91557,2095708365
