stage,mode,N,a1,b1,a2,b2,t,p,channel,observable,mean,batch_se,z_batch,samples,batches
pilot_n85,site,85,9,2,7,6,1,0.59274605079,both,primal_delta,0.0017099999999999893,0.001371647108214679,1.2466763424491207,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,both,matching_delta,-0.0016349999999999976,0.0013471075251109417,-1.2137115779717336,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,both,M_delta,0.003344999999999987,0.0019948812786202293,1.6767915142867924,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,both,S_delta,3.749999999999587e-05,0.0009236716991955196,0.04059884051081877,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,either,o1_primal,0.687825,0.0009343130040161514,736.1826251410171,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,either,o1_matching,0.685675,0.0011330414355780825,605.1632168687333,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,either,o2_primal,0.686235,0.001291332950665198,531.416006728941,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,either,o2_matching,0.68743,0.0009759502791476732,704.3698994587647,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,either,o1_M,0.0021499999999999853,0.0016455921986356535,1.3065205351499187,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,either,o2_M,-0.001194999999999946,0.0019809151925309666,-0.603256517242984,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,either,o1_S,0.68675,0.0006335364401931705,1083.9944736100804,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,either,o2_S,0.6868325,0.0005735883701933397,1197.4310074810076,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,either,primal_delta,0.0015899999999999803,0.0013316965831125693,1.1939656676776023,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,either,matching_delta,-0.001754999999999951,0.0013313324350557926,-1.3182282304467432,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,either,M_delta,0.0033449999999999314,0.001994881278620232,1.6767915142867624,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,either,S_delta,-8.249999999998536e-05,0.0008820675099476606,-0.09353025598333248,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,direction_0,o1_primal,0.519345,0.0011239609236511493,462.0667756961916,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,direction_0,o1_matching,0.517195,0.0010110045811755224,511.5654366260569,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,direction_0,o2_primal,0.518605,0.0012242177953805118,423.6215173124542,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,direction_0,o2_matching,0.5198,0.0012478402394368814,416.5597354310136,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,direction_0,o1_M,0.0021499999999999853,0.0016455921986356574,1.3065205351499156,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,direction_0,o2_M,-0.0011950000000000571,0.00198091519253097,-0.603256517243039,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,direction_0,o1_S,0.51827,0.0006824337253343261,759.4437097112956,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,direction_0,o2_S,0.5192025,0.0007395275429908657,702.0732424653086,200000,20
pilot_n85,site,85,9,2,7,6,1,0.59274605079,direction_0,primal_delta,0.0007399999999999629,0.0013162426587989434,0.562206364497565,200000,20
