design,batch,samples,point,category,count
pell_Dminus2_N30,9,5000,plus,"rank1:1,-2",6
pell_Dminus2_N30,9,5000,plus,"rank1:1,-1",628
pell_Dminus2_N30,9,5000,plus,"rank1:1,0",579
pell_Dminus2_N30,9,5000,plus,"rank1:1,1",5
pell_Dminus2_N30,9,5000,plus,rank2,1797
pell_Dminus2_N30,10,5000,minus,rank0,1870
pell_Dminus2_N30,10,5000,minus,"rank1:0,1",641
pell_Dminus2_N30,10,5000,minus,"rank1:1,-2",13
pell_Dminus2_N30,10,5000,minus,"rank1:1,-1",589
pell_Dminus2_N30,10,5000,minus,"rank1:1,0",610
pell_Dminus2_N30,10,5000,minus,"rank1:1,1",5
pell_Dminus2_N30,10,5000,minus,rank2,1272
pell_Dminus2_N30,10,5000,center,rank0,1643
pell_Dminus2_N30,10,5000,center,"rank1:0,1",654
pell_Dminus2_N30,10,5000,center,"rank1:1,-2",14
pell_Dminus2_N30,10,5000,center,"rank1:1,-1",609
pell_Dminus2_N30,10,5000,center,"rank1:1,0",607
pell_Dminus2_N30,10,5000,center,"rank1:1,1",3
pell_Dminus2_N30,10,5000,center,"rank1:2,-1",2
pell_Dminus2_N30,10,5000,center,rank2,1468
pell_Dminus2_N30,10,5000,plus,rank0,1431
pell_Dminus2_N30,10,5000,plus,"rank1:0,1",651
pell_Dminus2_N30,10,5000,plus,"rank1:1,-2",14
pell_Dminus2_N30,10,5000,plus,"rank1:1,-1",610
pell_Dminus2_N30,10,5000,plus,"rank1:1,0",602
pell_Dminus2_N30,10,5000,plus,"rank1:1,1",1
pell_Dminus2_N30,10,5000,plus,"rank1:2,-1",2
pell_Dminus2_N30,10,5000,plus,rank2,1689
pell_Dminus2_N30,11,5000,minus,rank0,1829
pell_Dminus2_N30,11,5000,minus,"rank1:0,1",615
pell_Dminus2_N30,11,5000,minus,"rank1:1,-2",10
pell_Dminus2_N30,11,5000,minus,"rank1:1,-1",612
pell_Dminus2_N30,11,5000,minus,"rank1:1,0",551
pell_Dminus2_N30,11,5000,minus,"rank1:1,1",2
pell_Dminus2_N30,11,5000,minus,"rank1:2,-1",3
pell_Dminus2_N30,11,5000,minus,rank2,1378
pell_Dminus2_N30,11,5000,center,rank0,1638
pell_Dminus2_N30,11,5000,center,"rank1:0,1",609
pell_Dminus2_N30,11,5000,center,"rank1:1,-2",12
pell_Dminus2_N30,11,5000,center,"rank1:1,-1",614
pell_Dminus2_N30,11,5000,center,"rank1:1,0",548
pell_Dminus2_N30,11,5000,center,"rank1:1,1",2
pell_Dminus2_N30,11,5000,center,"rank1:2,-1",4
pell_Dminus2_N30,11,5000,center,rank2,1573
pell_Dminus2_N30,11,5000,plus,rank0,1447
pell_Dminus2_N30,11,5000,plus,"rank1:0,1",615
pell_Dminus2_N30,11,5000,plus,"rank1:1,-2",12
pell_Dminus2_N30,11,5000,plus,"rank1:1,-1",610
pell_Dminus2_N30,11,5000,plus,"rank1:1,0",551
pell_Dminus2_N30,11,5000,plus,"rank1:1,1",4
pell_Dminus2_N30,11,5000,plus,"rank1:2,-1",3
pell_Dminus2_N30,11,5000,plus,rank2,1758
pell_Dminus2_N30,12,5000,minus,rank0,1732
pell_Dminus2_N30,12,5000,minus,"rank1:0,1",601
pell_Dminus2_N30,12,5000,minus,"rank1:1,-2",5
pell_Dminus2_N30,12,5000,minus,"rank1:1,-1",653
pell_Dminus2_N30,12,5000,minus,"rank1:1,0",626
pell_Dminus2_N30,12,5000,minus,"rank1:1,1",8
pell_Dminus2_N30,12,5000,minus,"rank1:2,-1",5
pell_Dminus2_N30,12,5000,minus,rank2,1370
pell_Dminus2_N30,12,5000,center,rank0,1553
pell_Dminus2_N30,12,5000,center,"rank1:0,1",607
pell_Dminus2_N30,12,5000,center,"rank1:1,-2",5
pell_Dminus2_N30,12,5000,center,"rank1:1,-1",648
pell_Dminus2_N30,12,5000,center,"rank1:1,0",623
pell_Dminus2_N30,12,5000,center,"rank1:1,1",9
pell_Dminus2_N30,12,5000,center,"rank1:2,-1",6
pell_Dminus2_N30,12,5000,center,rank2,1549
pell_Dminus2_N30,12,5000,plus,rank0,1355
pell_Dminus2_N30,12,5000,plus,"rank1:0,1",603
pell_Dminus2_N30,12,5000,plus,"rank1:1,-2",8
pell_Dminus2_N30,12,5000,plus,"rank1:1,-1",659
pell_Dminus2_N30,12,5000,plus,"rank1:1,0",621
pell_Dminus2_N30,12,5000,plus,"rank1:1,1",9
pell_Dminus2_N30,12,5000,plus,"rank1:2,-1",5
pell_Dminus2_N30,12,5000,plus,rank2,1740
pell_Dminus2_N30,13,5000,minus,rank0,1773
pell_Dminus2_N30,13,5000,minus,"rank1:0,1",625
pell_Dminus2_N30,13,5000,minus,"rank1:1,-2",14
pell_Dminus2_N30,13,5000,minus,"rank1:1,-1",591
pell_Dminus2_N30,13,5000,minus,"rank1:1,0",557
pell_Dminus2_N30,13,5000,minus,"rank1:1,1",3
pell_Dminus2_N30,13,5000,minus,"rank1:2,-1",8
pell_Dminus2_N30,13,5000,minus,rank2,1429
pell_Dminus2_N30,13,5000,center,rank0,1567
pell_Dminus2_N30,13,5000,center,"rank1:0,1",622
pell_Dminus2_N30,13,5000,center,"rank1:1,-2",14
pell_Dminus2_N30,13,5000,center,"rank1:1,-1",597
pell_Dminus2_N30,13,5000,center,"rank1:1,0",576
pell_Dminus2_N30,13,5000,center,"rank1:1,1",3
pell_Dminus2_N30,13,5000,center,"rank1:2,-1",6
pell_Dminus2_N30,13,5000,center,rank2,1615
pell_Dminus2_N30,13,5000,plus,rank0,1373
pell_Dminus2_N30,13,5000,plus,"rank1:0,1",623
pell_Dminus2_N30,13,5000,plus,"rank1:1,-2",12
pell_Dminus2_N30,13,5000,plus,"rank1:1,-1",602
pell_Dminus2_N30,13,5000,plus,"rank1:1,0",569
pell_Dminus2_N30,13,5000,plus,"rank1:1,1",3
pell_Dminus2_N30,13,5000,plus,"rank1:2,-1",5
pell_Dminus2_N30,13,5000,plus,rank2,1813
pell_Dminus2_N30,14,5000,minus,rank0,1743
pell_Dminus2_N30,14,5000,minus,"rank1:0,1",605
pell_Dminus2_N30,14,5000,minus,"rank1:1,-2",9
pell_Dminus2_N30,14,5000,minus,"rank1:1,-1",630
