batch,start_replica,samples,plus_re,plus_im,minus_re,minus_im,mirror_plus_re,mirror_plus_im,reflection_null_re,reflection_null_im
29,58000,2000,9277.152615859322,11839.8065195759,137.72267559398574,5195.555672130274,9277.152615859322,-11839.8065195759,0.0,0.0
30,60000,2000,5721.333139031144,-6706.572145071527,10512.693019561748,2931.064119777121,5721.333139031144,6706.572145071527,0.0,0.0
31,62000,2000,673.7084304844436,-798.5711940185915,-2254.089970132642,-4408.886786846722,673.7084304844436,798.5711940185915,0.0,0.0
32,64000,2000,-453.0062481949644,1950.075310273064,3862.0472348039502,5079.525668388127,-453.0062481949644,-1950.075310273064,0.0,0.0
33,66000,2000,12828.852466522532,-6354.415819727582,-4878.867294538668,-8559.099194788385,12828.852466522532,6354.415819727582,0.0,0.0
34,68000,2000,4872.609880530619,3740.2810623640316,1727.1600298673509,-859.6359314777449,4872.609880530619,-3740.2810623640316,0.0,0.0
35,70000,2000,-331.2574140080658,-2672.389740872061,1189.4447682814257,-6678.7012134840315,-331.2574140080658,2672.389740872061,0.0,0.0
36,72000,2000,8682.304065905457,12739.215691376183,6784.2488341869,2166.943291796906,8682.304065905457,-12739.215691376183,0.0,0.0
37,74000,2000,12520.895201851248,8903.419525514637,6848.047817710533,-8555.809477562914,12520.895201851248,-8903.419525514637,0.0,0.0
38,76000,2000,-2531.264828016132,-5171.7510546601825,14168.943019561753,12829.407920589576,-2531.264828016132,5171.7510546601825,0.0,0.0
39,78000,2000,159.04098660901494,-2955.645334139183,4827.583139031133,1066.6347613252549,159.04098660901494,2955.645334139183,0.0,0.0
40,80000,2000,7831.034738414051,-6586.47582721195,13102.568311015024,-3979.697101191231,7831.034738414051,6586.47582721195,0.0,0.0
41,82000,2000,-388.13837074973674,4959.429350528536,7526.284155507558,1606.5315764387683,-388.13837074973674,-4959.429350528536,0.0,0.0
42,84000,2000,-7054.097384140721,778.0562937739542,2254.0899701326553,1970.5902105177083,-7054.097384140721,-778.0562937739542,0.0,0.0
43,86000,2000,-2961.223258500546,163.15927540754006,2098.9162780622987,-6459.800074901474,-2961.223258500546,-163.15927540754006,0.0,0.0
44,88000,2000,-782.5341555075263,-2196.070783551175,4848.901450046181,726.3807447163841,-782.5341555075263,2196.070783551175,0.0,0.0
45,90000,2000,4756.457847577853,-1837.3350237563516,-890.9515993829166,-9243.673542123515,4756.457847577853,1837.3350237563516,0.0,0.0
46,92000,2000,-5105.166278062309,-4073.955644522013,6120.2568311015,1220.404848331262,-5105.166278062309,4073.955644522013,0.0,0.0
47,94000,2000,-13855.797234803948,328.3517078738113,4603.013662202988,-2556.3597371298665,-13855.797234803948,-328.3517078738113,0.0,0.0
48,96000,2000,-10650.415695155707,1274.89015133952,-2595.4720926874356,18125.801570501542,-10650.415695155707,-1274.89015133952,0.0,0.0
