batch,M_pref,M_p0,M_p1,M_p2,M_p3,M_p4,M_p5,M_p6,M_p7,M_p8,M_p9,M_p10,M_p11,M_p12,M_p13,M_p14,Mp,Mpp,meanKminus,meanKplus,gap,varKminus
39,-3.7379373609924826e-05,-5.468207715819684e-05,1.4236156998692628e-05,0.00014099530853284303,0.00030609780893509075,0.0004618467220841582,0.0005486208371172641,0.0005236932838761366,0.00038723140453145177,0.00018799900560761973,1.8968100631289175e-06,-0.00010541164117827684,-0.00010840216526730728,-2.5781866995200353e-05,9.994084144060444e-05,0.0002286679776126732,-0.01678471391342562,-0.6277051957914779,0.0021600000000034925,-0.050700000000006185,0.05286000000000968,0.002653209594427608
40,0.0012116019898101849,0.0011840878931084209,0.0014926817503789769,0.0017807517040141496,0.0019949790342332907,0.0020970034541193394,0.0020778349216241665,0.0019548768099600933,0.0017585279109928464,0.0015215947392528406,0.0012762572803322048,0.0010536210102768395,0.000880363314254784,0.0007716530174731728,0.0007233369833599124,0.0007094414733411769,-0.021664103535368184,-0.4058427277264798,-0.1391399999999976,-0.0925600000000486,-0.046579999999948996,4.6315020251931855
41,-0.00021508890976196238,0.0003575733932232872,0.00043312576866139096,0.0004970884083908,0.000541411048545104,0.0005651691750960808,0.0005692929368931177,0.0005416582465456177,0.0004469674465270579,0.00023940264070465567,-0.00010160815655935185,-0.0005369567428094024,-0.0009661715070011789,-0.001269050457377463,-0.0013669014630348642,-0.001260557723123501,-0.015112780292037442,-1.1287400580406484,-0.04885999999999058,0.06881000000004178,-0.11767000000003236,1.4589688651903998
42,-0.0002953367721008071,-0.000225790255927949,-0.00016940592693936996,-0.00011614516637104,-9.400408600335197e-05,-0.00012314889960551856,-0.0002032836608992783,-0.0003074850638983273,-0.0003892149198436723,-0.0004030483484409597,-0.00032932219568715393,-0.00018647855472175845,-2.178164745658684e-05,0.00011202055581438497,0.0001773125353276006,0.00016070987446603624,-0.004778164227137616,0.6789642734816823,0.03819000000001438,-0.0011499999999955435,0.03934000000000992,-0.6572460047100321
43,0.0016222549880456905,0.000550992727531896,0.0006851100947534716,0.0008481448364635602,0.0010366380198216785,0.0012451781768763048,0.0014621953028490786,0.0016594503211749823,0.0017886138282354747,0.0017998433499903932,0.0016761736117832937,0.0014541241819601147,0.0012065010270180254,0.000997899961962978,0.0008500959698366506,0.0007435620427933554,0.007019651440759667,-1.17933985305352,-0.131290000000007,-0.060259999999971114,-0.0710300000000359,2.3534318637102842
44,-5.934342110491819e-06,0.0007972462386623969,0.0009294096119000228,0.0010012755551256358,0.0009746857320207525,0.0008321383218232725,0.0005958483747099397,0.000329253933958773,0.00011097073620003339,-5.460861934869499e-06,-1.667801577875938e-05,3.856405308266808e-05,0.00011094367084663048,0.0001701174168130537,0.00021366328277516722,0.00025443290172466604,-0.016735739794682125,1.0185159962383636,-0.0715799999999831,-0.029920000000004165,-0.041659999999978936,3.0529255815854413
45,0.0008450023651462857,0.0004938204967165349,0.0006351768998315022,0.0007712793412846253,0.0008816677895587821,0.0009536906447648041,0.0009843091905887835,0.00097808812812461,0.00094550868822596,0.000901138101071064,0.0008568926313653469,0.0008111153063489196,0.0007450586812822735,0.0006372846831157464,0.00048781283521304175,0.00032851987371962377,-0.003847501352677085,-0.11791147256245438,-0.03839999999999577,-0.08701999999999543,0.048619999999999663,3.0199626559915487
46,0.0017184181866650716,0.0007199994048894265,0.0008926244049293208,0.0010518695698464864,0.001189790587883044,0.0013124025145124785,0.0014348374057161495,0.0015659662753692016,0.0016913512533440755,0.0017689339680307947,0.0017468559742056522,0.0015954265886326535,0.0013285319889381197,0.0009953372708814134,0.0006515735342398354,0.000339065345692835,0.01014838463307921,-0.4780226328815331,-0.08353999999999928,-0.08814000000000988,0.004600000000010596,2.5526950244020554
47,0.00019444334789431306,0.0008655466633794573,0.0009824981574946268,0.0010500249499796332,0.0010545950751911226,0.000989310246302555,0.0008581739312941705,0.0006809947010932849,0.0004925195486599199,0.0003307135211767509,0.00021742778922073658,0.0001441600884293237,7.721721147357918e-05,-1.6174799287060893e-05,-0.00013961893427349992,-0.00026256685617831454,-0.01751405899583247,0.26669124950306866,-0.07291999999998211,0.004579999999975826,-0.07749999999995794,4.126735349593218
48,-0.002088764645144403,3.7334124979415684e-05,-0.00010617431591863902,-0.00032950591375568994,-0.0006383867786409203,-0.0010158237479479526,-0.0014182276608059041,-0.0017827574064022134,-0.0020445627114794585,-0.002159126402441758,-0.0021214398614888275,-0.0019708434048338885,-0.0017745231582817489,-0.001595960234635263,-0.0014667314641320095,-0.001378429501322831,-0.018818449801977444,1.472416141149452,0.07283999999998514,0.14048000000002503,-0.06764000000003989,2.684849957608094
49,-0.0009117172179432531,0.00014504788356128895,-3.5906542572794464e-05,-0.00026766929162269637,-0.0005077664621251365,-0.0007030922994070155,-0.000816276261776161,-0.0008488350492287244,-0.000841057127781597,-0.0008449534025757321,-0.0008912359749371213,-0.0009779247243203448,-0.0010858235933834948,-0.001197911358761794,-0.001299802303751485,-0.0013671569200610634,0.00019408233264961439,-0.11674196241261825,0.06204000000002452,0.07699999999999818,-0.014959999999973661,2.895874660789559
50,2.9278137733124154e-05,-0.00010277411327941355,-0.0002599290079698946,-0.00041699065490341525,-0.0005288563770493582,-0.0005575856111358357,-0.0004940718562064239,-0.00036437703452141257,-0.00021456118670981628,-8.452492027699599e-05,9.464332819897336e-06,7.153327491971062e-05,0.00010942353781162595,0.0001228825093830821,0.00010677717973273104,6.083447307259071e-05,0.013992605712209283,-0.19779581378554667,-0.0007400000000075124,0.021459999999990487,-0.022199999999998,0.004097306402400136
51,0.0004220435924060517,-6.80640771762997e-05,-1.0578647891446025e-05,8.039563305584085e-05,0.00019850036987334452,0.0003291131299300032,0.00045139901715263164,0.0005419659808061361,0.0005796151501736846,0.000551202010626417,0.00045739801211097664,0.0003146086271929027,0.00014961928257994916,-1.0807689323488745e-05,-0.00014769427873395635,-0.0002501500533519385,0.0004618014910198198,-0.6606230891492686,-0.020690000000001874,0.009839999999996962,-0.030529999999998836,0.06876499010104453
52,1.4079649003351236e-05,0.0003228693086562151,0.00027936083498414366,0.00019485121607598632,6.414219111705588e-05,-9.944665838379496e-05,-0.00025674131691366675,-0.0003548314243868589,-0.0003535420278352186,-0.0002447496144740713,-4.989373710806433e-05,0.0001953213940724119,0.00044991738890431954,0.0006676567627376118,0.0008034141371825454,0.0008324127622663102,0.005504090495639602,1.0750301680950685,-0.02499000000000251,-0.035219999999981155,0.010229999999978645,1.9691092145003495
53,-0.00044884464576810945,-6.036246646234922e-05,-0.00012338778989917643,-0.00020262448994001758,-0.0002830720290626365,-0.0003511942527901768,-0.0004029150557021133,-0.0004440781404849714,-0.0004801198916881688,-0.0005002763531519738,-0.0004711274432649404,-0.00035272585139811685,-0.0001314928179543262,0.00015696899310979617,0.0004392161182550369,0.0006439863206815222,-0.0028099106333607793,0.1588528973961445,0.08512000000001763,-0.09671000000003005,0.18183000000004768,0.08287692158774007
54,0.0018207723463493641,0.0005447153725000042,0.0007960831865414519,0.0010916622802258358,0.0013990688705534104,0.0016760271032365548,0.0018835331343436401,0.0019988848499868928,0.0020213999379307124,0.001967502019656453,0.0018582958931467886,0.0017079771961376888,0.0015211116728679475,0.0012992539771157219,0.0010488205547809493,0.0007826457311085333,-0.001569141516516659,-0.7641300621819056,-0.1353600000000199,-0.05498000000000047,-0.08038000000001944,2.4427188096015016
