n,batch,samples,p_ref,channel,a1,b1,a2,b2,first_primal_sum,first_matching_sum,second_primal_sum,second_matching_sum
85,46,10000,0.59274605078999998,direction_1,9,2,7,6,5127,5235,5139,5233
85,47,10000,0.59274605078999998,cross,9,2,7,6,3104,3128,3104,3217
85,47,10000,0.59274605078999998,both,9,2,7,6,3497,3521,3519,3632
85,47,10000,0.59274605078999998,either,9,2,7,6,6872,6896,6783,6896
85,47,10000,0.59274605078999998,direction_0,9,2,7,6,5168,5192,5166,5279
85,47,10000,0.59274605078999998,direction_1,9,2,7,6,5201,5225,5136,5249
85,48,10000,0.59274605078999998,cross,9,2,7,6,3114,3095,3192,3144
85,48,10000,0.59274605078999998,both,9,2,7,6,3486,3467,3571,3523
85,48,10000,0.59274605078999998,either,9,2,7,6,6905,6886,6856,6808
85,48,10000,0.59274605078999998,direction_0,9,2,7,6,5197,5178,5202,5154
85,48,10000,0.59274605078999998,direction_1,9,2,7,6,5194,5175,5225,5177
85,49,10000,0.59274605078999998,cross,9,2,7,6,3150,3113,3116,3167
85,49,10000,0.59274605078999998,both,9,2,7,6,3506,3469,3490,3541
85,49,10000,0.59274605078999998,either,9,2,7,6,6887,6850,6833,6884
85,49,10000,0.59274605078999998,direction_0,9,2,7,6,5195,5158,5183,5234
85,49,10000,0.59274605078999998,direction_1,9,2,7,6,5198,5161,5140,5191
85,50,10000,0.59274605078999998,cross,9,2,7,6,3233,3062,3228,3075
85,50,10000,0.59274605078999998,both,9,2,7,6,3577,3406,3583,3430
85,50,10000,0.59274605078999998,either,9,2,7,6,6938,6767,6925,6772
85,50,10000,0.59274605078999998,direction_0,9,2,7,6,5271,5100,5254,5101
85,50,10000,0.59274605078999998,direction_1,9,2,7,6,5244,5073,5254,5101
85,51,10000,0.59274605078999998,cross,9,2,7,6,3054,3164,3105,3147
85,51,10000,0.59274605078999998,both,9,2,7,6,3456,3566,3461,3503
85,51,10000,0.59274605078999998,either,9,2,7,6,6836,6946,6853,6895
85,51,10000,0.59274605078999998,direction_0,9,2,7,6,5144,5254,5141,5183
85,51,10000,0.59274605078999998,direction_1,9,2,7,6,5148,5258,5173,5215
85,52,10000,0.59274605078999998,cross,9,2,7,6,3099,3118,3094,3157
85,52,10000,0.59274605078999998,both,9,2,7,6,3464,3483,3481,3544
85,52,10000,0.59274605078999998,either,9,2,7,6,6882,6901,6843,6906
85,52,10000,0.59274605078999998,direction_0,9,2,7,6,5155,5174,5187,5250
85,52,10000,0.59274605078999998,direction_1,9,2,7,6,5191,5210,5137,5200
85,53,10000,0.59274605078999998,cross,9,2,7,6,3110,3084,3211,3126
85,53,10000,0.59274605078999998,both,9,2,7,6,3510,3484,3577,3492
85,53,10000,0.59274605078999998,either,9,2,7,6,6916,6890,6874,6789
85,53,10000,0.59274605078999998,direction_0,9,2,7,6,5173,5147,5204,5119
85,53,10000,0.59274605078999998,direction_1,9,2,7,6,5253,5227,5247,5162
85,54,10000,0.59274605078999998,cross,9,2,7,6,3183,3133,3123,3059
85,54,10000,0.59274605078999998,both,9,2,7,6,3551,3501,3480,3416
85,54,10000,0.59274605078999998,either,9,2,7,6,6867,6817,6941,6877
85,54,10000,0.59274605078999998,direction_0,9,2,7,6,5168,5118,5178,5114
85,54,10000,0.59274605078999998,direction_1,9,2,7,6,5250,5200,5243,5179
85,55,10000,0.59274605078999998,cross,9,2,7,6,3060,3100,3060,3177
85,55,10000,0.59274605078999998,both,9,2,7,6,3472,3512,3432,3549
85,55,10000,0.59274605078999998,either,9,2,7,6,6900,6940,6823,6940
85,55,10000,0.59274605078999998,direction_0,9,2,7,6,5218,5258,5051,5168
85,55,10000,0.59274605078999998,direction_1,9,2,7,6,5154,5194,5204,5321
85,56,10000,0.59274605078999998,cross,9,2,7,6,3141,3106,3175,3063
85,56,10000,0.59274605078999998,both,9,2,7,6,3538,3503,3559,3447
85,56,10000,0.59274605078999998,either,9,2,7,6,6894,6859,6937,6825
85,56,10000,0.59274605078999998,direction_0,9,2,7,6,5210,5175,5268,5156
85,56,10000,0.59274605078999998,direction_1,9,2,7,6,5222,5187,5228,5116
85,57,10000,0.59274605078999998,cross,9,2,7,6,3122,3174,3091,3210
85,57,10000,0.59274605078999998,both,9,2,7,6,3502,3554,3458,3577
85,57,10000,0.59274605078999998,either,9,2,7,6,6826,6878,6790,6909
85,57,10000,0.59274605078999998,direction_0,9,2,7,6,5163,5215,5095,5214
85,57,10000,0.59274605078999998,direction_1,9,2,7,6,5165,5217,5153,5272
85,58,10000,0.59274605078999998,cross,9,2,7,6,3125,3150,3145,3138
85,58,10000,0.59274605078999998,both,9,2,7,6,3481,3506,3542,3535
85,58,10000,0.59274605078999998,either,9,2,7,6,6850,6875,6862,6855
85,58,10000,0.59274605078999998,direction_0,9,2,7,6,5139,5164,5226,5219
85,58,10000,0.59274605078999998,direction_1,9,2,7,6,5192,5217,5178,5171
85,59,10000,0.59274605078999998,cross,9,2,7,6,3018,3202,3132,3161
85,59,10000,0.59274605078999998,both,9,2,7,6,3383,3567,3464,3493
85,59,10000,0.59274605078999998,either,9,2,7,6,6798,6982,6839,6868
85,59,10000,0.59274605078999998,direction_0,9,2,7,6,5052,5236,5123,5152
85,59,10000,0.59274605078999998,direction_1,9,2,7,6,5129,5313,5180,5209
85,60,10000,0.59274605078999998,cross,9,2,7,6,3195,3112,3147,3100
85,60,10000,0.59274605078999998,both,9,2,7,6,3582,3499,3542,3495
85,60,10000,0.59274605078999998,either,9,2,7,6,6888,6805,6900,6853
85,60,10000,0.59274605078999998,direction_0,9,2,7,6,5253,5170,5237,5190
85,60,10000,0.59274605078999998,direction_1,9,2,7,6,5217,5134,5205,5158
85,61,10000,0.59274605078999998,cross,9,2,7,6,3119,3147,3184,3079
85,61,10000,0.59274605078999998,both,9,2,7,6,3487,3515,3558,3453
85,61,10000,0.59274605078999998,either,9,2,7,6,6853,6881,6921,6816
85,61,10000,0.59274605078999998,direction_0,9,2,7,6,5178,5206,5276,5171
85,61,10000,0.59274605078999998,direction_1,9,2,7,6,5162,5190,5203,5098
85,62,10000,0.59274605078999998,cross,9,2,7,6,3100,3089,3153,3092
85,62,10000,0.59274605078999998,both,9,2,7,6,3503,3492,3527,3466
85,62,10000,0.59274605078999998,either,9,2,7,6,6911,6900,6908,6847
85,62,10000,0.59274605078999998,direction_0,9,2,7,6,5202,5191,5240,5179
85,62,10000,0.59274605078999998,direction_1,9,2,7,6,5212,5201,5195,5134
85,63,10000,0.59274605078999998,cross,9,2,7,6,3096,3113,3149,3152
85,63,10000,0.59274605078999998,both,9,2,7,6,3498,3515,3504,3507
85,63,10000,0.59274605078999998,either,9,2,7,6,6887,6904,6848,6851
85,63,10000,0.59274605078999998,direction_0,9,2,7,6,5156,5173,5195,5198
85,63,10000,0.59274605078999998,direction_1,9,2,7,6,5229,5246,5157,5160
85,64,10000,0.59274605078999998,cross,9,2,7,6,3095,3139,3092,3119
85,64,10000,0.59274605078999998,both,9,2,7,6,3484,3528,3476,3503
85,64,10000,0.59274605078999998,either,9,2,7,6,6861,6905,6881,6908
85,64,10000,0.59274605078999998,direction_0,9,2,7,6,5169,5213,5221,5248
85,64,10000,0.59274605078999998,direction_1,9,2,7,6,5176,5220,5136,5163
85,65,10000,0.59274605078999998,cross,9,2,7,6,3148,2979,3171,3074
85,65,10000,0.59274605078999998,both,9,2,7,6,3532,3363,3575,3478
85,65,10000,0.59274605078999998,either,9,2,7,6,7021,6852,6926,6829
85,65,10000,0.59274605078999998,direction_0,9,2,7,6,5229,5060,5273,5176
85,65,10000,0.59274605078999998,direction_1,9,2,7,6,5324,5155,5228,5131
85,66,10000,0.59274605078999998,cross,9,2,7,6,3120,3130,3145,3070
85,66,10000,0.59274605078999998,both,9,2,7,6,3516,3526,3527,3452
85,66,10000,0.59274605078999998,either,9,2,7,6,6870,6880,6930,6855
85,66,10000,0.59274605078999998,direction_0,9,2,7,6,5159,5169,5262,5187
85,66,10000,0.59274605078999998,direction_1,9,2,7,6,5227,5237,5195,5120
85,67,10000,0.59274605078999998,cross,9,2,7,6,3201,3051,3189,3043
85,67,10000,0.59274605078999998,both,9,2,7,6,3550,3400,3608,3462
85,67,10000,0.59274605078999998,either,9,2,7,6,6949,6799,6957,6811
85,67,10000,0.59274605078999998,direction_0,9,2,7,6,5213,5063,5257,5111
85,67,10000,0.59274605078999998,direction_1,9,2,7,6,5286,5136,5308,5162
85,68,10000,0.59274605078999998,cross,9,2,7,6,3115,3106,3072,3083
85,68,10000,0.59274605078999998,both,9,2,7,6,3480,3471,3472,3483
85,68,10000,0.59274605078999998,either,9,2,7,6,6894,6885,6917,6928
85,68,10000,0.59274605078999998,direction_0,9,2,7,6,5180,5171,5124,5135
