n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_k,sum_kk,sum_edges,sum_i0k,sum_i2k,sum_i0kk,sum_i2kk,sum_i0edges,sum_i2edges
130,9,7,second,77,200,14606,16434,61,79,60,15313,1162974,17990,4404,4821,314738,383772,4853,5960
130,11,3,first,78,200,14689,16479,64,78,58,15504,1193452,18522,4620,4738,330142,383670,5083,6004
130,9,7,second,78,200,14479,16428,53,88,59,15504,1193452,18533,3830,4876,274060,399498,4199,6277
130,11,3,first,79,200,14588,16262,66,72,62,15464,1187006,18386,4806,5102,346458,415788,5317,6448
130,9,7,second,79,200,14670,16362,66,70,64,15464,1187006,18328,4785,5248,343364,426214,5262,6639
130,11,3,first,80,200,14679,16282,54,73,73,15535,1197462,18605,3953,5967,286872,483034,4421,7547
130,9,7,second,80,200,14892,16429,67,74,59,15535,1197462,18532,4904,4858,355406,396174,5433,6171
130,11,3,first,81,200,14535,16171,64,60,76,15413,1179898,18241,4618,6207,329864,502780,5018,7833
130,9,7,second,81,200,14620,16442,70,70,60,15413,1179898,18277,5057,4946,361552,404296,5551,6302
130,11,3,first,82,200,14560,16224,50,87,63,15403,1177370,18275,3602,5076,256996,405638,3970,6360
130,9,7,second,82,200,14701,16206,66,67,67,15403,1177370,18304,4768,5442,340848,437872,5247,6797
130,11,3,first,83,200,14660,16342,70,70,60,15266,1156724,17914,5069,4810,363534,382308,5576,5985
130,9,7,second,83,200,14677,16405,73,66,61,15266,1156724,17871,5324,4904,384728,390824,5861,6126
130,11,3,first,84,200,14535,16252,59,73,68,15206,1146790,17843,4191,5424,294762,428178,4530,6705
130,9,7,second,84,200,14724,16337,69,73,58,15206,1146790,17802,5034,4650,364120,369144,5641,5766
130,11,3,first,85,200,14758,16554,72,82,46,15356,1169472,18179,5292,3753,385136,303134,5924,4739
130,9,7,second,85,200,14957,16473,77,71,52,15356,1169472,18081,5638,4216,408816,338536,6256,5279
130,11,3,first,86,200,14605,16367,54,77,69,15553,1200762,18645,3974,5668,289988,461392,4442,7192
130,9,7,second,86,200,14667,16287,52,77,71,15553,1200762,18626,3799,5773,275254,465646,4190,7327
130,11,3,first,87,200,14552,16354,68,74,58,15382,1175040,18190,4934,4782,354686,390668,5460,6080
130,9,7,second,87,200,14602,16475,64,80,56,15382,1175040,18198,4658,4601,336084,374760,5169,5839
130,11,3,first,88,200,14638,16460,64,87,49,15389,1174166,18201,4671,3953,337440,315718,5159,4939
130,9,7,second,88,200,14579,16354,56,86,58,15389,1174166,18204,4080,4708,294108,378304,4547,5899
