mask,k,clusters_G,clusters_Gstar,H_G,V_G,E_G,B_G,H_Gstar,V_Gstar,E_Gstar,B_Gstar
392,3,2,1,0,0,0,0,1,1,1,1
393,4,2,1,0,0,0,0,1,1,1,1
394,4,2,1,0,0,0,0,1,1,1,1
395,5,1,1,0,0,0,0,1,1,1,1
396,4,2,1,0,0,0,0,1,1,1,1
397,5,1,1,0,0,0,0,1,1,1,1
398,5,2,1,0,0,0,0,1,1,1,1
399,6,1,1,1,0,1,0,1,0,1,0
400,3,1,1,0,0,0,0,1,1,1,1
401,4,2,1,0,0,0,0,1,1,1,1
402,4,1,1,0,1,1,0,0,1,1,0
403,5,1,1,0,1,1,0,0,1,1,0
404,4,1,1,0,0,0,0,1,1,1,1
405,5,1,1,0,0,0,0,1,1,1,1
406,5,1,1,0,1,1,0,0,1,1,0
407,6,1,1,1,1,1,1,0,0,0,0
408,4,1,1,0,0,0,0,1,1,1,1
409,5,1,1,0,0,0,0,1,1,1,1
410,5,1,1,0,1,1,0,0,1,1,0
411,6,1,1,0,1,1,0,0,1,1,0
412,5,1,1,0,0,0,0,1,1,1,1
413,6,1,1,1,1,1,1,1,1,1,1
414,6,1,1,0,1,1,0,0,1,1,0
415,7,1,1,1,1,1,1,0,0,0,0
416,3,1,1,0,0,0,0,1,1,1,1
417,4,2,1,0,0,0,0,1,1,1,1
418,4,1,1,0,0,0,0,1,1,1,1
419,5,1,1,0,0,0,0,1,1,1,1
420,4,1,1,0,1,1,0,0,1,1,0
421,5,1,1,0,1,1,0,0,1,1,0
422,5,1,1,0,1,1,0,0,1,1,0
423,6,1,1,1,1,1,1,0,0,0,0
424,4,1,1,0,0,0,0,1,1,1,1
425,5,1,1,0,0,0,0,1,1,1,1
426,5,1,1,0,0,0,0,1,1,1,1
427,6,1,1,1,1,1,1,1,1,1,1
428,5,1,1,0,1,1,0,0,1,1,0
429,6,1,1,0,1,1,0,0,1,1,0
430,6,1,1,0,1,1,0,0,1,1,0
431,7,1,1,1,1,1,1,0,0,0,0
432,4,1,1,0,0,0,0,1,1,1,1
433,5,2,1,0,0,0,0,1,1,1,1
434,5,1,1,0,1,1,0,0,1,1,0
435,6,1,1,0,1,1,0,0,1,1,0
436,5,1,1,0,1,1,0,0,1,1,0
437,6,1,1,0,1,1,0,0,1,1,0
438,6,1,1,0,1,1,0,0,1,1,0
439,7,1,1,1,1,1,1,0,0,0,0
440,5,1,1,1,0,1,0,1,0,1,0
441,6,1,1,1,0,1,0,1,0,1,0
442,6,1,1,1,1,1,1,0,0,0,0
443,7,1,1,1,1,1,1,0,0,0,0
444,6,1,1,1,1,1,1,0,0,0,0
445,7,1,1,1,1,1,1,0,0,0,0
446,7,1,1,1,1,1,1,0,0,0,0
447,8,1,1,1,1,1,1,0,0,0,0
448,3,1,1,1,0,1,0,1,0,1,0
449,4,1,1,1,0,1,0,1,0,1,0
450,4,1,1,1,0,1,0,1,0,1,0
451,5,1,1,1,0,1,0,1,0,1,0
452,4,1,1,1,0,1,0,1,0,1,0
453,5,1,1,1,0,1,0,1,0,1,0
454,5,1,1,1,0,1,0,1,0,1,0
455,6,1,1,1,0,1,0,1,0,1,0
456,4,1,1,1,0,1,0,1,0,1,0
