key	g16
4498056	-4
4498440	-6
4498496	-3
4498504	-2
4498568	-2
4499080	-2
4501640	6
4502152	8
4502536	12
4502592	6
4502600	4
4502664	4
4503176	10
4507272	4
4522056	-6
4522120	-18
4522504	-12
4522560	-6
4522632	-36
4523016	-36
4523072	-18
4523080	-18
4523144	-16
4523656	20
4526216	-6
4526728	-8
4527112	-12
4527168	-6
4527176	-4
4527240	-4
4527752	-4
4534408	12
4534920	16
4535304	24
4535360	12
4535368	8
4535432	8
4535944	16
4540040	8
4554888	10
4555400	20
4555784	20
4555840	10
4555848	10
4555912	8
4556424	43
4558984	12
4559496	16
4559880	24
4559936	12
4559944	8
4560008	8
4560520	20
4563080	6
4563592	8
4563976	12
4564032	6
4564040	4
4564104	4
4564616	8
4567176	9
4567688	12
4568072	18
4568128	9
4568136	6
4568200	6
4568712	10
4572808	4
4589192	4
4593288	8
4597384	4
4599944	6
4600456	8
4600840	12
4600896	6
4600904	4
4600968	4
4601480	8
4605576	6
4638344	4
4718728	-2
4719240	-6
4719624	-4
4719680	-2
4719688	-3
4719752	-2
4722760	-3
4722824	-9
4723208	-6
4723264	-3
4723336	-18
4723720	-18
4723776	-9
4723784	-9
4723848	-8
4724360	10
4731016	4
4731528	12
4731912	8
4731968	4
4731976	6
4732040	4
4732552	10
4751432	-3
4751496	-9
4751880	-6
4751936	-3
4752008	-18
4752392	-18
4752448	-9
4752456	-9
4752520	-8
4753032	10
4755592	-3
4756104	-4
4756488	-6
4756544	-3
4756552	-2
4756616	-2
4757128	-2
4763784	6
4764296	8
4764680	12
4764736	6
4764744	4
4764808	4
4765320	8
4769416	4
4817032	4
4817544	12
4817928	8
4817984	4
4817992	6
4818056	4
4818568	10
4821128	6
4821640	8
4822024	12
4822080	6
4822088	4
4822152	4
4822664	8
4830856	-2
4834952	4
4855432	4
4863624	4
4980872	4
4981384	12
4981768	8
4981824	4
4981832	6
4981896	4
4982408	10
4984968	10
4985480	16
4985864	20
4985920	10
4985928	8
4985992	10
4986504	26
4989064	4
4989576	12
4989960	8
4990016	4
4990024	6
4990088	4
4990600	10
4993160	12
4993672	36
4994056	24
4994112	12
4994120	18
4994184	12
4994696	16
4998792	8
5013640	8
5014152	20
5014536	16
5014592	8
5014600	10
5014664	10
5015176	43
5017736	6
5018248	8
5018632	12
5018688	6
5018696	4
5018760	4
5019272	10
5021832	6
5022344	8
5022728	12
5022784	6
5022792	4
5022856	4
5023368	8
5025928	18
5026440	24
5026824	36
5026880	18
5026888	12
5026952	12
5027464	20
5031560	4
5046408	8
5046920	24
5047304	16
5047360	8
5047368	12
5047432	8
5047944	20
5050504	12
5051016	16
5051400	24
5051456	12
5051464	8
5051528	8
5052040	16
5060232	-4
5064328	8
5079176	6
5079688	18
5080072	12
5080128	6
5080136	9
5080200	6
5080712	8
5083272	9
5083784	12
5084168	18
5084224	9
5084232	6
5084296	6
5084808	10
5088904	-2
5097096	4
5113480	4
5117576	8
5121672	4
5125768	8
5129864	6
5162632	4
5248648	8
5256840	8
5277320	4
5281416	4
5285512	4
5289608	4
5293704	12
5314184	8
5322376	8
5341320	4
5341832	12
5342216	8
5342272	4
5342280	6
5342344	4
5342856	4
5345416	6
5345928	8
5346312	12
5346368	6
5346376	4
5346440	4
5346952	4
5351048	4
5355144	4
5359240	12
5379720	6
5387912	6
5641864	4
5650056	4
6295688	4
6296200	8
6296584	8
6296640	4
6296648	4
6296712	6
6297224	8
6299784	4
6300296	12
6300680	8
6300736	4
6300744	6
6300808	4
6301320	10
6305416	-2
6309512	4
6324360	8
6324872	16
6325256	16
6325312	8
6325320	8
6325384	12
6325896	16
6328456	4
6328968	8
6329352	8
6329408	4
6329416	4
6329480	6
6329992	10
6332488	-2
6332552	10
6332936	-4
6332992	-2
6333064	16
6333448	20
6333504	10
6333512	8
6333576	10
6334088	26
6336648	6
6337160	12
6337544	12
6337600	6
6337608	6
6337672	9
6338184	10
6342280	8
6357128	8
6357640	24
6358024	16
6358080	8
6358088	12
6358152	8
6358664	20
6361224	10
6361736	20
6362120	20
6362176	10
6362184	10
6362248	8
6362760	43
6365320	4
6365832	12
6366216	8
6366272	4
6366280	6
6366344	4
6366856	10
