n,batch,samples,p_ref,channel,a1,b1,a2,b2,first_primal_sum,first_matching_sum,second_primal_sum,second_matching_sum
290,25,10000,0.59274605078999998,both,13,11,17,1,3595,3528,3553,3479
290,25,10000,0.59274605078999998,either,13,11,17,1,6908,6841,6903,6829
290,25,10000,0.59274605078999998,direction_0,13,11,17,1,5286,5219,5222,5148
290,25,10000,0.59274605078999998,direction_1,13,11,17,1,5217,5150,5234,5160
290,26,10000,0.59274605078999998,cross,13,11,17,1,3094,3153,3051,3096
290,26,10000,0.59274605078999998,both,13,11,17,1,3520,3579,3484,3529
290,26,10000,0.59274605078999998,either,13,11,17,1,6847,6906,6904,6949
290,26,10000,0.59274605078999998,direction_0,13,11,17,1,5160,5219,5152,5197
290,26,10000,0.59274605078999998,direction_1,13,11,17,1,5207,5266,5236,5281
290,27,10000,0.59274605078999998,cross,13,11,17,1,3053,3149,3000,3177
290,27,10000,0.59274605078999998,both,13,11,17,1,3463,3559,3403,3580
290,27,10000,0.59274605078999998,either,13,11,17,1,6851,6947,6823,7000
290,27,10000,0.59274605078999998,direction_0,13,11,17,1,5082,5178,5100,5277
290,27,10000,0.59274605078999998,direction_1,13,11,17,1,5232,5328,5126,5303
290,28,10000,0.59274605078999998,cross,13,11,17,1,3096,3096,3026,3187
290,28,10000,0.59274605078999998,both,13,11,17,1,3529,3529,3444,3605
290,28,10000,0.59274605078999998,either,13,11,17,1,6904,6904,6813,6974
290,28,10000,0.59274605078999998,direction_0,13,11,17,1,5188,5188,5147,5308
290,28,10000,0.59274605078999998,direction_1,13,11,17,1,5245,5245,5110,5271
290,29,10000,0.59274605078999998,cross,13,11,17,1,3097,3046,3140,3042
290,29,10000,0.59274605078999998,both,13,11,17,1,3524,3473,3566,3468
290,29,10000,0.59274605078999998,either,13,11,17,1,6954,6903,6958,6860
290,29,10000,0.59274605078999998,direction_0,13,11,17,1,5216,5165,5280,5182
290,29,10000,0.59274605078999998,direction_1,13,11,17,1,5262,5211,5244,5146
290,30,10000,0.59274605078999998,cross,13,11,17,1,3031,3121,3105,3199
290,30,10000,0.59274605078999998,both,13,11,17,1,3463,3553,3529,3623
290,30,10000,0.59274605078999998,either,13,11,17,1,6879,6969,6801,6895
290,30,10000,0.59274605078999998,direction_0,13,11,17,1,5166,5256,5146,5240
290,30,10000,0.59274605078999998,direction_1,13,11,17,1,5176,5266,5184,5278
290,31,10000,0.59274605078999998,cross,13,11,17,1,3139,3111,3144,3096
290,31,10000,0.59274605078999998,both,13,11,17,1,3520,3492,3551,3503
290,31,10000,0.59274605078999998,either,13,11,17,1,6889,6861,6904,6856
290,31,10000,0.59274605078999998,direction_0,13,11,17,1,5240,5212,5280,5232
290,31,10000,0.59274605078999998,direction_1,13,11,17,1,5169,5141,5175,5127
290,32,10000,0.59274605078999998,cross,13,11,17,1,3140,3149,3113,3081
290,32,10000,0.59274605078999998,both,13,11,17,1,3531,3540,3478,3446
290,32,10000,0.59274605078999998,either,13,11,17,1,6851,6860,6919,6887
290,32,10000,0.59274605078999998,direction_0,13,11,17,1,5130,5139,5227,5195
290,32,10000,0.59274605078999998,direction_1,13,11,17,1,5252,5261,5170,5138
