observable,mode,L1,L2,w1,w2,sum_abs_weights,l2_norm,condition_number,combined_pooled,combined_batch_mean,batch_sd,batch_se,n_batches,noise_amp_l1,noise_amp_l2,noise_amp_empirical,ref_L,ref_batch_sd,withheld_L,withheld_true,signed_error,abs_error,standardized_error,status
H,independent,64,128,-0.0666666666666666666666667,1.06666666666666666666667,1.13333333333333333,1.06874796945875982,35791394.1333,0.592637519154934826,0.592630176428861507,0.000885509747980877233,0.000198005999122394864,20,1.13333333333333333,1.06874796945875982,1.05677739958315067,128,0.000837934032588291038,256,0.592801130743031646,-0.000163611588096819733,0.000163611588096819733,-0.889953155865286214,ok
H,independent,128,256,-0.0666666666666666666666667,1.06666666666666666666667,1.13333333333333333,1.06874796945875982,572662306.133,0.592811154246843009,0.592826830835675761,0.000864445887843919458,0.000193295976808916302,20,1.13333333333333333,1.06874796945875982,1.05141919700308823,256,0.000822170538932418221,,,,,,ok
V,independent,32,64,-0.0666666666666666666666667,1.06666666666666666666667,1.13333333333333333,1.06874796945875982,2236962.13333,0.592736571368252093,0.592741604011360737,0.000495702689497741400,0.000110842491034642086,20,1.13333333333333333,1.06874796945875982,1.07366713601932022,64,0.000461691219622858441,128,0.592815894140544586,-0.0000793227722924932000,0.0000793227722924932000,-0.660755872306353426,ok
V,independent,64,128,-0.0666666666666666666666667,1.06666666666666666666667,1.13333333333333333,1.06874796945875982,35791394.1333,0.592820815891794621,0.592820461160543945,0.000565418166719817531,0.000126431345649882129,20,1.13333333333333333,1.06874796945875982,1.05316861309018908,128,0.000536873355027907024,256,0.592725114517967500,0.0000957013738271207333,0.0000957013738271207333,0.618131403366393299,ok
V,independent,128,256,-0.0666666666666666666666667,1.06666666666666666666667,1.13333333333333333,1.06874796945875982,572662306.133,0.592719062543129028,0.592741947983688375,0.000723567456994244160,0.000161794602014578560,20,1.13333333333333333,1.06874796945875982,1.04502496046756514,256,0.000692392511534370967,,,,,,ok
either,independent,32,64,-0.0666666666666666666666667,1.06666666666666666666667,1.13333333333333333,1.06874796945875982,2236962.13333,0.592770374543641129,0.592768578732514632,0.000369519502432869412,0.0000826270726451794925,20,1.13333333333333333,1.06874796945875982,1.05820410266480151,64,0.000349194925158893496,128,0.592698187266500920,0.0000721872771402086000,0.0000721872771402086000,0.503466477951579225,ok
either,independent,64,128,-0.0666666666666666666666667,1.06666666666666666666667,1.13333333333333333,1.06874796945875982,35791394.1333,0.592693622528190911,0.592699343575504290,0.000682032388156297077,0.000152507078277400273,20,1.13333333333333333,1.06874796945875982,1.06365282920805043,128,0.000641217105269309244,256,0.592873235774904916,-0.000179613246714004933,0.000179613246714004933,-1.01288140238006965,ok
either,independent,128,256,-0.0666666666666666666666667,1.06666666666666666666667,1.13333333333333333,1.06874796945875982,572662306.133,0.592884905675465182,0.592884274153714436,0.000829081595010803218,0.000185388280533810648,20,1.13333333333333333,1.06874796945875982,1.04544817827890446,256,0.000793039399021862367,,,,,,ok
both,independent,32,64,-0.0666666666666666666666667,1.06666666666666666666667,1.13333333333333333,1.06874796945875982,2236962.13333,0.592830890376969144,0.592832507936123346,0.000449399291794252421,0.000100488736549221185,20,1.13333333333333333,1.06874796945875982,1.02924249633117021,64,0.000436631108214223214,128,0.592769088196906768,0.0000618021800623756000,0.0000618021800623756000,0.474669741754634331,ok
both,independent,64,128,-0.0666666666666666666666667,1.06666666666666666666667,1.13333333333333333,1.06874796945875982,35791394.1333,0.592765318960637903,0.592769494166643374,0.000629766159083281774,0.000140819994163916469,20,1.13333333333333333,1.06874796945875982,1.08156363086564512,128,0.000582273794265104221,256,0.592651561041179109,0.000113757919458793667,0.000113757919458793667,0.653924097421999842,ok
both,independent,128,256,-0.0666666666666666666666667,1.06666666666666666666667,1.13333333333333333,1.06874796945875982,572662306.133,0.592643725897463932,0.592652140318092992,0.000830474538375641522,0.000185699752139069222,20,1.13333333333333333,1.06874796945875982,1.06747330987374974,256,0.000777981548291696297,,,,,,ok
M,independent,32,64,-0.0666666666666666666666667,1.06666666666666666666667,1.13333333333333333,1.06874796945875982,2236962.13333,0.591514671374547556,0.593524273970204340,0.00715858542058632221,0.00164229212773891516,19,1.13333333333333333,1.06874796945875982,1.06684568557396202,64,0.00671004768298332638,128,0.592144416348833413,-0.000629744974285857400,0.000629744974285857400,-0.187175152033431514,ok
M,independent,64,128,-0.0666666666666666666666667,1.06666666666666666666667,1.13333333333333333,1.06874796945875982,35791394.1333,0.592180421309246973,0.596425691465149088,0.0102836299861215262,0.00388684678832630934,7,1.13333333333333333,1.06874796945875982,1.08064968883752786,128,0.00951615504297585214,256,0.589363465204302495,0.00281695610494447833,0.00281695610494447833,0.857987777492259809,ok
M,independent,128,256,-0.0666666666666666666666667,1.06666666666666666666667,1.13333333333333333,1.06874796945875982,572662306.133,0.589178068461333767,0.593889606293104300,0.00719585493699733312,0.00359792746849866656,4,1.13333333333333333,1.06874796945875982,0.774887094072530165,256,0.00928632699143108233,,,,,,ok
