observable,mode,topology,model,powers,L_min,train_max,n_train,train_sizes,pc,a4,a6,a8,condition_number,training_rmse,training_max_abs,withheld_L,withheld_true,predicted,signed_error,abs_error,withheld_batch_se,standardized_error,status
H,shared,torus_shared:wrapping_H,B,"4,6",16,128,7,16 24 32 48 64 96 128,0.592735279185615795,74.5468015153430943,-19655.2069474088422,nan,442091964.390,0.0000696422988613783781,0.000136792544501449459,192,0.592760921825630005,0.592735333649264226,-0.0000255881763657793692,0.0000255881763657793692,0.000203534641205724293,-0.125719023622695814,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",16,128,7,16 24 32 48 64 96 128,0.592772105012835183,-385.807364808498682,367058.537125351246,-68997341.0144715767,1.44263136092e+12,0.0000506212949021869506,0.000104902339762313463,192,0.592760921825630005,0.592771828402368673,0.0000109065767386677905,0.0000109065767386677905,0.000203534641205724293,0.0535858499273540339,ok
H,shared,torus_shared:wrapping_H,A,4,24,128,6,24 32 48 64 96 128,0.592735809353007833,45.2684055716218184,nan,nan,922565.396666,0.0000716721834741576069,0.000136581983625453721,192,0.592760921825630005,0.592735842664208249,-0.0000250791614217562457,0.0000250791614217562457,0.000203534641205724293,-0.123218147403258394,ok
H,shared,torus_shared:wrapping_H,B,"4,6",24,128,6,24 32 48 64 96 128,0.592768583212940834,-266.464869075770937,179238.103988618639,nan,3886239980.19,0.0000548609980886877281,0.000107249412671778433,192,0.592760921825630005,0.592768390710009280,7.46888437927531210e-6,7.46888437927531210e-6,0.000203534641205724293,0.0366958879089583404,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",24,128,6,24 32 48 64 96 128,0.592773999963321247,-452.512804637359349,473107.806999219847,-108186551.660906333,2.24707443176e+13,0.0000546493278628983121,0.000103662713786390712,192,0.592760921825630005,0.592773676362681612,0.0000127545370516067089,0.0000127545370516067089,0.000203534641205724293,0.0626651904366242840,ok
H,shared,torus_shared:wrapping_H,A,4,32,128,5,32 48 64 96 128,0.592761375944979259,-84.9484688365073862,nan,nan,2768411.35017,0.0000610426207622288802,0.000112548533489654596,192,0.592760921825630005,0.592761313434814948,3.91609184942545485e-7,3.91609184942545485e-7,0.000203534641205724293,0.00192404193518450414,ok
H,shared,torus_shared:wrapping_H,B,"4,6",32,128,5,32 48 64 96 128,0.592773616741567044,-406.313715028703187,320605.382489037544,nan,26830931890.2,0.0000598616781376271755,0.000103681828812783342,192,0.592760921825630005,0.592773324151389380,0.0000124023257593749917,0.0000124023257593749917,0.000203534641205724293,0.0609347169892285811,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",32,128,5,32 48 64 96 128,0.592772747853763873,-310.366109909041795,9919.95094002035783,218512890.262661465,3.67866007634e+14,0.0000598587309519996066,0.000103787673601703378,192,0.592760921825630005,0.592772519784155895,0.0000115979585258898526,0.0000115979585258898526,0.000203534641205724293,0.0569827251871445398,ok
H,shared,torus_shared:wrapping_H,A,4,48,128,4,48 64 96 128,0.592771774589702133,-259.066051452724807,nan,nan,13534429.8665,0.0000669814730341406963,0.000104199906872654602,192,0.592760921825630005,0.592771583953406205,0.0000106621277761998302,0.0000106621277761998302,0.000203534641205724293,0.0523848309704832892,ok
H,shared,torus_shared:wrapping_H,B,"4,6",48,128,4,48 64 96 128,0.592776000706820106,-622.932608818405460,807291.592665249144,nan,238641797406.,0.0000668959938362184500,0.000103226523401708653,192,0.592760921825630005,0.592775558430478560,0.0000146366048485546621,0.0000146366048485546621,0.000203534641205724293,0.0719121067639812469,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",48,128,4,48 64 96 128,0.592534661924428744,63532.6073452616239,-379645997.219450057,542887001983.406961,8.11539083525e+15,0.0,0.0,192,0.592760921825630005,0.592574128690570036,-0.000186793135059969027,0.000186793135059969027,0.000203534641205724293,-0.917746158361152625,ok
H,shared,torus_shared:wrapping_H,A,4,64,128,3,64 96 128,0.592780824184494965,-683.724256441971688,nan,nan,40543969.0832,0.0000765657466722534073,0.000100150134590309671,192,0.592760921825630005,0.592780321059292131,0.0000193992336621260713,0.0000193992336621260713,0.000203534641205724293,0.0953117049127678378,ok
H,shared,torus_shared:wrapping_H,B,"4,6",64,128,3,64 96 128,0.592564220883478391,45028.7027637295728,-173344508.283642131,nan,2.26399560959e+12,0.0,0.0,192,0.592760921825630005,0.592593895484173195,-0.000167026341456810252,0.000167026341456810252,0.000203534641205724293,-0.820628569502264827,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",64,128,3,64 96 128,,,,,,,,192,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,96,128,2,96 128,0.592609065231742328,22410.7805403051302,nan,nan,248494536.411,0.0,0.0,192,0.592760921825630005,0.592625556424498429,-0.000135365401131576457,0.000135365401131576457,0.000203534641205724293,-0.665073032922954760,ok
H,shared,torus_shared:wrapping_H,B,"4,6",96,128,2,96 128,,,,,,,,192,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,C,"4,6,8",96,128,2,96 128,,,,,,,,192,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,128,128,1,128,,,,,,,,192,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,B,"4,6",128,128,1,128,,,,,,,,192,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,C,"4,6,8",128,128,1,128,,,,,,,,192,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,16,192,8,16 24 32 48 64 96 128 192,0.592765098781060058,-2.80213798933053368,nan,nan,202351.956151,0.0000773043950990895569,0.000146260688172216292,256,0.592777028564663633,0.592765098128636466,-0.0000119304360271666363,0.0000119304360271666363,0.000200693361194349411,-0.0594460920688518606,ok
H,shared,torus_shared:wrapping_H,B,"4,6",16,192,8,16 24 32 48 64 96 128 192,0.592740420979360795,70.7521231611648583,-18768.3383196707141,nan,459717959.464,0.0000656445020333103618,0.000131694295372079962,256,0.592777028564663633,0.592740437385944639,-0.0000365911787189943630,0.0000365911787189943630,0.000200693361194349411,-0.182323812313651160,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",16,192,8,16 24 32 48 64 96 128 192,0.592769364048254439,-375.715784784590575,359500.809576372973,-67712135.2133080555,1.49340225086e+12,0.0000474693937091769892,0.000107533965632115290,256,0.592777028564663633,0.592769277843639198,-7.75072102443527673e-6,7.75072102443527673e-6,0.000200693361194349411,-0.0386197180530030451,ok
H,shared,torus_shared:wrapping_H,A,4,24,192,7,24 32 48 64 96 128 192,0.592740616907640179,43.2424674590148010,nan,nan,967715.062638,0.0000669006124153532199,0.000131798281896128288,256,0.592777028564663633,0.592740626975811711,-0.0000364015888519224934,0.0000364015888519224934,0.000200693361194349411,-0.181379137980909916,ok
H,shared,torus_shared:wrapping_H,B,"4,6",24,192,7,24 32 48 64 96 128 192,0.592766768602241247,-261.401523761028460,176651.915388276704,nan,4063507403.30,0.0000508508087123752473,0.000109007712718951151,256,0.592777028564663633,0.592766708367549893,-0.0000103201971137396111,0.0000103201971137396111,0.000200693361194349411,-0.0514227130001855771,ok
