observable,mode,L1,L2,L3,w1,w2,w3,sum_abs_weights,l2_norm,condition_number,combined_pooled,combined_batch_mean,batch_sd,batch_se,n_batches,noise_amp_l1,noise_amp_l2,noise_amp_empirical,ref_L,ref_batch_sd,withheld_L,withheld_true,signed_error,abs_error,standardized_error,status
V,shared,48,64,96,0.0632318501170960187353630,-0.479625292740046838407494,1.41639344262295081967213,1.95925058548009368,1.49673279933677567,257443771103.,0.592934380889792272,0.592937462969884832,0.000885730903753347279,0.000198055451056480814,20,1.95925058548009368,1.49673279933677567,1.25600249853885436,96,0.000705198361296052192,128,0.592692551895070086,0.000241828994722185763,0.000241828994722185763,1.53574587238786247,ok
V,shared,64,96,128,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,2.26399560959e+12,0.592564220883478391,0.592543636987246046,0.00142232046591722821,0.000318040524758009505,20,2.43645320197044335,1.82878637285847411,2.01973061050968166,128,0.000704212957171701124,192,0.592760921825630005,-0.000196700942151614458,0.000196700942151614458,-0.966424884660266205,ok
V,shared,96,128,192,0.0632318501170960187353630,-0.479625292740046838407494,1.41639344262295081967213,1.95925058548009368,1.49673279933677567,1.64763996481e+13,0.592800795898263119,0.592882037157128342,0.00133567326147353344,0.000298665620838367168,20,1.95925058548009368,1.49673279933677567,1.46739453819304809,192,0.000910234587024075724,256,0.592777028564663633,0.0000237673335994855063,0.0000237673335994855063,0.118426107660182505,ok
V,shared,128,192,256,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,1.44895714291e+14,0.592785489665245593,0.592753800237396263,0.00128608693272537302,0.000287577780654813294,20,2.43645320197044335,1.82878637285847411,1.43292124335060020,256,0.000897527996526951847,,,,,,ok
either,shared,16,24,32,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,552738203.994,0.592528401953879575,0.592528422506006189,0.00107878882742888231,0.000241224515149827052,20,2.43645320197044335,1.82878637285847411,1.75390134337432677,32,0.000615079537685627722,48,0.592727716312626995,-0.000199314358747419674,0.000199314358747419674,-1.22141982591405299,ok
either,shared,24,32,48,0.0632318501170960187353630,-0.479625292740046838407494,1.41639344262295081967213,1.95925058548009368,1.49673279933677567,4022565574.01,0.592759452281111805,0.592760794070942570,0.00107004428890158002,0.000239269176891935670,20,1.95925058548009368,1.49673279933677567,1.46626724849410896,48,0.000729774391401390664,64,0.592725646126560646,0.0000338061545511587981,0.0000338061545511587981,0.338520389086368849,ok
either,shared,32,48,64,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,35374949850.2,0.592722651189544575,0.592723994459917812,0.000779297662256681058,0.000174256254751261101,20,2.43645320197044335,1.82878637285847411,1.74492768971584480,64,0.000446607424966467739,96,0.592872924315839933,-0.000150273126295357951,0.000150273126295357951,-0.952982718139815982,ok
either,shared,48,64,96,0.0632318501170960187353630,-0.479625292740046838407494,1.41639344262295081967213,1.95925058548009368,1.49673279933677567,257443771103.,0.592934380889792272,0.592937462969884871,0.000885730903753378468,0.000198055451056487788,20,1.95925058548009368,1.49673279933677567,1.25600249853888507,96,0.000705198361296059781,128,0.592692551895070086,0.000241828994722185763,0.000241828994722185763,1.53574587238796636,ok
either,shared,64,96,128,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,2.26399560959e+12,0.592564220883478391,0.592543636987246098,0.00142232046591716289,0.000318040524757994899,20,2.43645320197044335,1.82878637285847411,2.01973061050972572,128,0.000704212957171653419,192,0.592760921825630005,-0.000196700942151614458,0.000196700942151614458,-0.966424884660263370,ok
either,shared,96,128,192,0.0632318501170960187353630,-0.479625292740046838407494,1.41639344262295081967213,1.95925058548009368,1.49673279933677567,1.64763996481e+13,0.592800795898263119,0.592882037157128340,0.00133567326147352503,0.000298665620838365289,20,1.95925058548009368,1.49673279933677567,1.46739453819303465,192,0.000910234587024078327,256,0.592777028564663633,0.0000237673335994855063,0.0000237673335994855063,0.118426107660181498,ok
