n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_black_axis_pairs,sum_white_matching_axis_pairs,sum_even_numerator_squared,sum_i0_even_numerator,sum_i2_even_numerator
130,11,3,first,82,200,14560,16224,50,87,63,15845,7976,2865125,5518,7906
130,9,7,second,82,200,14701,16206,66,67,67,16036,7854,2878020,7325,8407
130,11,3,first,83,200,14660,16342,70,70,60,15536,8246,2855988,7821,7491
130,9,7,second,83,200,14677,16405,73,66,61,15431,8188,2816773,8199,7673
130,11,3,first,84,200,14535,16252,59,73,68,15331,8252,2804913,6471,8426
130,9,7,second,84,200,14724,16337,69,73,58,15366,8319,2830061,7717,7341
130,11,3,first,85,200,14758,16554,72,82,46,15689,8065,2850690,8010,5828
130,9,7,second,85,200,14957,16473,77,71,52,15660,8130,2859282,8635,6566
130,11,3,first,86,200,14605,16367,54,77,69,16297,7585,2879002,6006,8708
130,9,7,second,86,200,14667,16287,52,77,71,16277,7594,2878863,5749,8992
130,11,3,first,87,200,14552,16354,68,74,58,15750,7898,2824880,7528,7380
130,9,7,second,87,200,14602,16475,64,80,56,15797,7961,2852268,7256,7080
130,11,3,first,88,200,14638,16460,64,87,49,15867,7851,2837576,7161,6082
130,9,7,second,88,200,14579,16354,56,86,58,15791,7912,2837375,6316,7182
130,11,3,first,89,200,14474,16355,55,87,58,15982,7850,2867652,6037,7386
130,9,7,second,89,200,14702,16402,60,81,59,15980,7837,2862699,6656,7399
130,11,3,first,90,200,14738,16467,65,83,52,15867,7894,2852237,7232,6604
130,9,7,second,90,200,14631,16376,61,81,58,15982,7942,2890474,6891,7344
130,11,3,first,91,200,14719,16301,67,64,69,16045,7761,2861498,7442,8689
130,9,7,second,91,200,14561,16430,63,67,70,16273,7822,2928855,7097,8957
130,11,3,first,92,200,14643,16399,69,66,65,15817,7819,2829964,7510,8217
130,9,7,second,92,200,14536,16246,52,84,64,16011,7843,2875260,5771,7979
130,11,3,first,93,200,14643,16342,60,71,69,16124,7645,2851613,6708,8661
130,9,7,second,93,200,14588,16278,57,74,69,16204,7708,2884698,6357,8668
130,11,3,first,94,200,14552,16353,70,68,62,15886,7992,2872814,7932,7739
130,9,7,second,94,200,14590,16343,64,75,61,15839,7910,2848397,7091,7768
130,11,3,first,95,200,14667,16239,61,69,70,16018,7949,2901377,6805,8821
130,9,7,second,95,200,14685,16462,62,83,55,16054,7940,2905902,6968,6999
130,11,3,first,96,200,14566,16387,59,81,60,15688,8018,2834490,6603,7434
130,9,7,second,96,200,14610,16281,62,74,64,15706,8006,2834248,6921,7969
130,11,3,first,97,200,14646,16406,59,77,64,16350,7858,2955560,6688,8087
130,9,7,second,97,200,14582,16394,53,82,65,16324,7676,2906126,5940,8155
130,11,3,first,98,200,14471,16210,48,80,72,16411,7797,2954896,5507,9117
130,9,7,second,98,200,14744,16484,67,70,63,16105,7792,2878607,7754,7871
130,11,3,first,99,200,14648,16251,61,72,67,15834,7976,2859294,6808,8384
130,9,7,second,99,200,14514,16262,54,76,70,15795,8052,2871275,6013,8727
