N,batch,samples,a1,b1,a2,b2,delta_cos4,delta_M,mean_M_prime,root_gap_jackknife_pseudovalue,A_M,B,A_p_jackknife_pseudovalue
130,78,100000,11,3,9,7,1.3633136094674556,0.0018412067265615917,10.829788408989671,-0.00016988592254380767,3.6784489244960756,1.7453849000247041,2.1059513167420536
145,78,100000,12,1,9,8,1.9177170035671818,0.0009992387537937914,11.305574438913766,-8.830362954188615e-05,1.6947582383981021,1.748959017585758,0.9681218905942272
170,78,100000,13,1,11,7,1.5944636678200692,0.0036878411629199595,11.989057710478924,-0.0003077547730656787,9.741752173640098,1.7472968951839574,5.578122048875553
65,79,100000,8,1,7,4,1.3633136094674556,0.0010092971965223012,8.386010073721863,-0.00012023531474430679,0.6537436769055587,1.7527213264482229,0.3726172769544429
85,79,100000,9,2,7,6,1.5944636678200692,0.0005309344718258745,9.251961674181256,-5.7361389676635274e-05,0.45470742945717635,1.7486453120169092,0.25992190902681506
130,79,100000,11,3,9,7,1.3633136094674556,0.0037502224440901697,10.82380999544312,-0.0003459692694482456,7.492369823048798,1.7444213878732024,4.2887275628087425
145,79,100000,12,1,9,8,1.9177170035671818,0.0017926980521041486,11.277039226288375,-0.0001588096891680874,3.040504365176687,1.7445446538831826,1.7411191059724398
170,79,100000,13,1,11,7,1.5944636678200692,0.0002484150846666495,11.990353635879018,-2.067687724353201e-05,0.656209984136143,1.7474857646082818,0.3747728872085584
65,80,100000,8,1,7,4,1.3633136094674556,0.00020674447199517965,8.38209488214292,-2.4696065002941664e-05,0.13391287696798893,1.7519030302957959,0.07653475613596103
85,80,100000,9,2,7,6,1.5944636678200692,0.0010780197475434919,9.248554463253255,-0.00011653425776426453,0.9232468681565212,1.7480013401084513,0.5280521778824402
130,80,100000,11,3,9,7,1.3633136094674556,-0.0009782580359391187,10.834706693306618,9.02200002924269e-05,-1.9544096641988449,1.746177556248135,-1.1183912449444464
145,80,100000,12,1,9,8,1.9177170035671818,0.0015709774433647359,11.286024915556439,-0.0001391491658596332,2.6644552709465943,1.7459347294038488,1.5255698347341151
170,80,100000,13,1,11,7,1.5944636678200692,0.003373920829521785,11.979676634157578,-0.0002816326970103457,8.912504395568734,1.7459296880250954,5.104653751519333
65,81,100000,8,1,7,4,1.3633136094674556,0.003921581631286473,8.382662888504905,-0.00046801397628897824,2.540093446961111,1.7520217466883896,1.4504065947037226
85,81,100000,9,2,7,6,1.5944636678200692,0.0034929835932235535,9.251613314762631,-0.00037737748289942,2.991490805538933,1.7485794711622096,1.710012193426783
130,81,100000,11,3,9,7,1.3633136094674556,-0.0006680872335985209,10.83076722898566,6.157184660788087e-05,-1.3347359264157181,1.7455426517347397,-0.7632610724686135
145,81,100000,12,1,9,8,1.9177170035671818,0.0023571939506306576,11.28766620910973,-0.00020878572150440783,3.997917266685476,1.7461886355787224,2.2890341935044503
170,81,100000,13,1,11,7,1.5944636678200692,0.002594814170684973,11.979421252527368,-0.00021657882774556159,6.854426606445222,1.7458924684586936,3.925538253501964
65,82,100000,8,1,7,4,1.3633136094674556,-0.003118530672723871,8.389538113023074,0.0003722912105872788,-2.0199399300364766,1.7534587056869095,-1.1537553456579068
85,82,100000,9,2,7,6,1.5944636678200692,-0.0012910344307349706,9.284049619868268,0.00013972850460211746,-1.105678720240893,1.7547100189162503,-0.6331523672348879
130,82,100000,11,3,9,7,1.3633136094674556,-0.0016632681335753247,10.839681003152693,0.00015340531654404067,-3.3229548799902684,1.746979241836579,-1.9016533184958098
145,82,100000,12,1,9,8,1.9177170035671818,-0.0008628780849269502,11.290884353373041,7.628853610260142e-05,-1.4634838146648872,1.7466864786967014,-0.8363937267978677
170,82,100000,13,1,11,7,1.5944636678200692,0.0022389251660436525,11.99118317261847,-0.00018682585832963117,5.914314944533485,1.7476066620969994,3.3862592260306257
65,83,100000,8,1,7,4,1.3633136094674556,-0.00041467910466841753,8.37407449242798,4.950575561921307e-05,-0.26859664681120143,1.750226725595918,-0.1534216456423985
85,83,100000,9,2,7,6,1.5944636678200692,-0.004569816716636388,9.253740864877447,0.0004935163188987627,-3.9137214149350705,1.7489815837806326,-2.236272594983917
130,83,100000,11,3,9,7,1.3633136094674556,0.003148276090407682,10.86238626739573,-0.00029031613410319913,6.2897732404028615,1.750638540048534,3.598836417587444
145,83,100000,12,1,9,8,1.9177170035671818,0.00019126144438263128,11.288092580845023,-1.691167779147105e-05,0.3243888483355165,1.7462545947827695,0.18541214626781738
170,83,100000,13,1,11,7,1.5944636678200692,0.0016137413068920685,11.981009337759419,-0.00013468138993880888,4.262837576133921,1.7461239175402028,2.4411294203731027
65,84,100000,8,1,7,4,1.3633136094674556,0.0076054129460483835,8.386211771334594,-0.0009076461609214652,4.926190859210365,1.7527634823369256,2.8128561200171407
85,84,100000,9,2,7,6,1.5944636678200692,0.0018864122587957733,9.254985956801049,-0.00020383278756593189,1.6155772785739273,1.749216909458787,0.9236283772946071
130,84,100000,11,3,9,7,1.3633136094674556,-0.0023413707652945558,10.850582983306678,0.00021599691802848871,-4.67770003726206,1.7487362615328588,-2.677555545057147
145,84,100000,12,1,9,8,1.9177170035671818,0.00360504788681234,11.277220569810709,-0.0003192899896876551,6.114339123456084,1.7445727075119812,3.500554055001774
170,84,100000,13,1,11,7,1.5944636678200692,-0.0003642185200913084,11.989123979543466,3.0409905483522702e-05,-0.9621147991553265,1.7473065533016774,-0.5511861362606987
65,85,100000,8,1,7,4,1.3633136094674556,0.0007147121484342688,8.38579789220886,-8.520845040686092e-05,0.4629345543180317,1.7526769793678296,0.2640666831673562
85,85,100000,9,2,7,6,1.5944636678200692,-3.7518390322232606e-05,9.270220418714526,4.1864767844623785e-06,-0.03213181988753663,1.7520962631941626,-0.018970200060497086
130,85,100000,11,3,9,7,1.3633136094674556,0.0005353691469335438,10.84020396750163,-4.937889139489289e-05,1.0695855247192951,1.7470635254849214,0.6121139397263611
145,85,100000,12,1,9,8,1.9177170035671818,6.857991539250264e-05,11.293257591732873,-5.990207190129625e-06,0.1163149208923434,1.747053615868964,0.06567397897510652
170,85,100000,13,1,11,7,1.5944636678200692,-0.00029011432347345354,11.98225318484967,2.4218476443355584e-05,-0.766362138835691,1.7463051970211563,-0.4389651412815759
65,86,100000,8,1,7,4,1.3633136094674556,0.0006337912974705911,8.382010553634784,-7.558410345609272e-05,0.41052036469221864,1.751885405182859,0.23424018867290192
85,86,100000,9,2,7,6,1.5944636678200692,2.7310641854349318e-05,9.254702318832093,-2.9081186982866936e-06,0.02338961286825143,1.7491633011298522,0.013177570627148597
130,86,100000,11,3,9,7,1.3633136094674556,-0.0021607493568879693,10.84843009707024,0.00019932844927511746,-4.316846138615417,1.748389291214821,-2.4709287498900303
145,86,100000,12,1,9,8,1.9177170035671818,0.003939857827650534,11.296103415223476,-0.0003488218442253277,6.682193305831206,1.7474938614029913,3.8243282304925286
170,86,100000,13,1,11,7,1.5944636678200692,-0.0023071328815055477,11.982283136151839,0.00019259789067380736,-6.094491538645212,1.7463095621529747,-3.490878564880005
65,87,100000,8,1,7,4,1.3633136094674556,-0.0017334472706409696,8.38576095428581,0.0002070105358349377,-1.1227913803144038,1.7526692591427269,-0.6415394871941901
85,87,100000,9,2,7,6,1.5944636678200692,0.0016654780272023551,9.251601558188526,-0.0001799774842840959,1.426362899290062,1.7485772491385005,0.8155327400657537
130,87,100000,11,3,9,7,1.3633136094674556,0.0022450339809420776,10.848623748724853,-0.00020705359719416783,4.4852339031346,1.7484205011204126,2.5666917488987098
145,87,100000,12,1,9,8,1.9177170035671818,0.0012132583489566342,11.300868103295137,-0.00010745839691104781,2.057746033560924,1.7482309530221694,1.1781262776792352
170,87,100000,13,1,11,7,1.5944636678200692,0.0014365804150395269,11.986748597584983,-0.00011986967931104566,3.794851720169881,1.7469603628319037,2.1726639508979697
65,88,100000,8,1,7,4,1.3633136094674556,0.00015530538831324447,8.3652020133237,-1.8582110373459998e-05,0.10059466720900839,1.7483723296188287,0.057587202080771595
85,88,100000,9,2,7,6,1.5944636678200692,0.0010496506883248661,9.2481716315128,-0.00011358544436491144,0.8989507964604075,1.747928983893433,0.5146902071832556
130,88,100000,11,3,9,7,1.3633136094674556,0.0005761219847632575,10.83669038119671,-5.315406511247067e-05,1.1510034504319724,1.7464972576826392,0.658912002464095
145,88,100000,12,1,9,8,1.9177170035671818,0.000840265118950968,11.308555243240486,-7.426168727472579e-05,1.4251311084303564,1.7494201444957653,0.8141722538032511
170,88,100000,13,1,11,7,1.5944636678200692,0.0019085483098316034,11.970391663539004,-0.0001593253940710788,5.041595834642157,1.744576487404539,2.8878073433616698
65,89,100000,8,1,7,4,1.3633136094674556,0.000914967495496275,8.385655001315365,-0.00010909919525321256,0.5926442843751507,1.7526471144005589,0.33810569831022175
85,89,100000,9,2,7,6,1.5944636678200692,0.0005574555322074025,9.256726306383856,-6.027752972907231e-05,0.47742082222500953,1.749545840148993,0.2731358268501437
130,89,100000,11,3,9,7,1.3633136094674556,0.001838165372668053,10.836494103857957,-0.00016957113874625437,3.6723727654220797,1.7464656246081653,2.102049172626637
145,89,100000,12,1,9,8,1.9177170035671818,0.003389986707880464,11.28497208444765,-0.0003002045494311621,5.749584750819312,1.7457718576743617,3.291309739679777
170,89,100000,13,1,11,7,1.5944636678200692,0.0003130222073435169,11.98514783141546,-2.611432060089635e-05,0.8268753002290057,1.746727065618272,0.47332772806151563
65,90,100000,8,1,7,4,1.3633136094674556,0.0012719096713712651,8.377356022420278,-0.00015202679604995814,0.8238434706041701,1.7509125830597554,0.47114120247209795
85,90,100000,9,2,7,6,1.5944636678200692,0.0015691368263405462,9.266529267959013,-0.00016940910362950572,1.3438535462167178,1.7513986259047012,0.7676441918532958
130,90,100000,11,3,9,7,1.3633136094674556,0.002389341506493983,10.837264687164513,-0.00022040426977978662,4.773538227958791,1.74658981581271,2.7321902557206967
145,90,100000,12,1,9,8,1.9177170035671818,-0.00044360773101274,11.300781064251488,3.930192831473785e-05,-0.7523806036310693,1.7482174881848809,-0.43088893787785376
170,90,100000,13,1,11,7,1.5944636678200692,0.0018723608325707508,11.974414000508313,-0.00015628308393616976,4.946003475944871,1.7451627066944597,2.8326648119428897
65,91,100000,8,1,7,4,1.3633136094674556,0.0006782400517256895,8.376864371130804,-8.111780291432565e-05,0.43931078652309663,1.7508098252890565,0.2513894931679747
85,91,100000,9,2,7,6,1.5944636678200692,0.0012509590550156416,9.258631542071752,-0.00013491361284809992,1.0713570251074063,1.7499059347506842,0.6113346277498998
130,91,100000,11,3,9,7,1.3633136094674556,0.0014439739099302367,10.824638745288954,-0.0001332615085481801,2.884838622060938,1.744554953499066,1.6519452889082344
145,91,100000,12,1,9,8,1.9177170035671818,-0.00022076296703261623,11.296064398327466,1.954588846737968e-05,-0.3744248866361968,1.7474878255352446,-0.21429246560479864
170,91,100000,13,1,11,7,1.5944636678200692,0.00023013585283631434,11.9728208086143,-1.9270225206177542e-05,0.6079238084173804,1.744930513363085,0.3492770137684797
65,92,100000,8,1,7,4,1.3633136094674556,0.002674318103896615,8.376276003701363,-0.000319282890410234,1.7322138181703002,1.7506868533235682,0.9894790183383998
