batch,replica_first,samples,field_sha256,translation_sha256,conjugacy_max_abs,C113_plus_re,C113_plus_im,C113_minus_re,C113_minus_im,C122_plus_re,C122_plus_im,C122_minus_re,C122_minus_im,C244_plus_re,C244_plus_im,C244_minus_re,C244_minus_im,C334_plus_re,C334_plus_im,C334_minus_re,C334_minus_im,C111_plus_re,C111_plus_im,C111_minus_re,C111_minus_im,C112_plus_re,C112_plus_im,C112_minus_re,C112_minus_im
10,2000,200,bd0119a5ed510ab8f91a4a96fd1bb17b38fc5c8430cb0adfc260a0c926283b8b,7b6c415ab6853f979b5ce321e0ee7ec532db9ee2d3d422ae67e418da7a066077,7.13097831136072e-18,0.0,0.0,0.008,-2.0614622111096262e-18,0.0,0.0,0.0024721359549995754,-0.007608452130361229,0.0,0.0,0.008,-5.069516100251093e-18,0.0,0.0,0.0024721359549995815,0.007608452130361227,0.0,0.0,0.0024721359549995823,0.007608452130361227,0.0,0.0,-0.0064721359549995815,-0.004702282018339782
11,2200,200,6645757db6421f93dbc7f4fe8a7888046e2f9b95527c9a794b9e4bc2eec5119c,9770246ca6ae550803262f9df8d5dc8fb9d8c56a7c1a2b37f3e7571be957bed4,7.13097831136072e-18,0.008,-3.3813182637479634e-18,0.0,0.0,0.008,-5.069516100251093e-18,0.0,0.0,0.007999999999999998,-3.523412890287788e-18,0.0,0.0,0.008,-2.0614622111096262e-18,0.0,0.0,0.0024721359549995836,0.007608452130361226,0.0,0.0,-0.006472135954999582,-0.0047022820183397806,0.0,0.0
12,2400,200,9feea2d50f9c4250c679ac2c92997a1ebc5c5bba2ab8a53ff5ab136083128c3a,e9369ba33243dea93762f95f2a78ef7bcbf9ac66b85f7be0dd39cbe87afc5527,5.076104428597243e-18,-0.0024721359549995806,-0.007608452130361227,0.00247213595499958,0.0076084521303612295,-0.002472135954999578,0.0076084521303612295,0.0024721359549995784,-0.007608452130361231,-0.0024721359549995763,0.0076084521303612295,0.0024721359549995784,-0.007608452130361231,-0.0024721359549995828,-0.007608452130361228,0.00247213595499958,0.0076084521303612295,-0.0024721359549995806,-0.007608452130361227,-0.00647213595499958,0.0047022820183397875,-0.0024721359549995806,-0.007608452130361227,0.0024721359549995784,-0.007608452130361231
13,2600,200,12f10bba95fd729d1aecd9ec3a656c349107d4011b706944b3c359426f731e05,89422081b13a299aac66498c785ec2bcbfa68fab3f172365eec881e3509ceeba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2800,200,f5c78f0a3bcdc9634edbe8af454a2f4a30734161e05cdb0f26c9550b15f238cf,79c0a6a4178b537447952ca1f9f4bbfcca89d0e46afef662e21b4e661423fd29,4.336808689942018e-18,0.006472135954999583,0.004702282018339783,0.006472135954999583,0.004702282018339783,-0.002472135954999579,0.007608452130361229,-0.002472135954999579,0.007608452130361229,0.00647213595499958,-0.004702282018339786,0.00647213595499958,-0.004702282018339786,-0.0024721359549995828,-0.007608452130361229,-0.0024721359549995828,-0.007608452130361229,0.006472135954999579,-0.0047022820183397875,0.006472135954999579,-0.0047022820183397875,-0.008000000000000002,2.1651790669442437e-18,-0.008000000000000002,2.1651790669442437e-18
15,3000,200,4566f93eb74cf2744bb72dd39f43f6992a4197e0203c169fa781b9bebc102ac9,60f227e8a8fe62a011d341b7497ef5d5182e8d68e7536e6ea147424e3a584f6f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,3200,200,7e1d5dd658d82ae1eba9bbd9000de5f61b13384b7dc50ff8f9e44595915add1a,26ed32c02e4d484e2672cfd0d3724c92bc6ebb6a037128bad8c23d38b1808c71,1.179739509965479e-17,0.0,0.0,0.010472135954999585,0.007608452130361223,0.0,0.0,0.010472135954999576,-0.007608452130361234,0.0,0.0,0.010472135954999578,-0.007608452130361232,0.0,0.0,0.010472135954999582,0.0076084521303612235,0.0,0.0,-0.004000000000000001,-0.0029061701120214403,0.0,0.0,0.010472135954999585,0.007608452130361223
17,3400,200,4e3c594c703f7219e0db09e7839bc95ce22827f2eb1144914312629fdf07ceee,1d4c1cf8541bfae2499172d2c290226028a9e3946ac6a99368d408017bd535e7,7.330938211459557e-18,0.0,0.0,0.008,-3.7163555829354544e-18,0.0,0.0,-0.006472135954999576,0.0047022820183397875,0.0,0.0,0.008,-3.614582628524102e-18,0.0,0.0,-0.00647213595499958,-0.004702282018339781,0.0,0.0,-0.006472135954999577,0.004702282018339788,0.0,0.0,0.002472135954999582,0.007608452130361227
18,3600,200,9c7047de818462b73cf9fbfcb486642a939d5f51a98febb4269da33be8bc6013,6805b2f17fdafeed6a61afa8261b41f878a9066e66ff26367cc2b42f20b9b038,1.0971354589302191e-17,0.0,0.0,-0.010472135954999578,0.007608452130361229,0.0,0.0,-0.010472135954999575,0.007608452130361233,0.0,0.0,-0.010472135954999583,-0.007608452130361223,0.0,0.0,-0.010472135954999578,-0.007608452130361223,0.0,0.0,0.01294427190999916,-1.1185009407136786e-18,0.0,0.0,0.004000000000000003,0.012310734148701012
19,3800,200,eede50604f03739490a257b16cf134493b911447d527fb2ef0fc431f60a338be,b9d69558b949ed293cf4bcb09ffef10bc8947c45ecf7b030b27a917c6b48e781,4.7704895589362195e-18,0.0,0.0,-0.002472135954999583,-0.007608452130361229,0.0,0.0,-0.00247213595499958,-0.007608452130361227,0.0,0.0,-0.0024721359549995784,0.007608452130361229,0.0,0.0,-0.0024721359549995767,0.0076084521303612295,0.0,0.0,0.006472135954999583,0.004702282018339783,0.0,0.0,0.006472135954999579,-0.0047022820183397875
