dps,min_train,holdout,model,folds,median_rmse,worst_rmse,median_max_abs,intercept_median,intercept_range,full_fit_intercept,score,source
60,7,4,"4,6,8,10",5,5.14422571008455466265992121284e-10,8.03050353592413304356964694492e-10,7.16850137510697063746341927350e-10,0.592746050862055623818334681251,6.36278697336725440193946480731e-10,0.592746051451243624187397567680,-18.4850326011246,audit_dps060_nmin07_h04.json
60,7,4,"4,6,8,10,12",4,1.13930168588232525826880746185e-10,1.79931847542344164439340697335e-10,1.64840544677617709307115084962e-10,0.592746050820816422875007240035,1.42163387084646300231126977717e-10,0.592746050758013337940072648878,-19.7905734978577,audit_dps060_nmin07_h04.json
60,8,2,4,9,0.000000161009249582943267564105193112,0.000000210568275243961721654471230226,0.000000172038477152676269113237180948,0.592746068353032917481796044625,0.000000139474218540816927968095592102,0.592746195641691671030297139559,-13.6486552373247,audit_dps060_nmin08_h02.json
60,8,2,"4,6",8,0.00000000224671577277305796560974821216,0.00000000391295398816632322442984303550,0.00000000246154657355146154616353768747,0.592746051139031294321231149256,0.00000000194505236909764704115985822869,0.592746049501568461679083656558,-17.3595205668986,audit_dps060_nmin08_h02.json
60,8,2,"4,6,8",7,8.13763548277674795788817005325e-10,9.30607724392885300756796165024e-10,9.58261141826522038505681761634e-10,0.592746050978276818554637772400,0.00000000171065607880526133909969151804,0.592746052559226703672106027284,-17.8563390628451,audit_dps060_nmin08_h02.json
60,8,2,"4,6,8,10",6,2.23187149787359196519354579520e-11,2.77201552680478791801115496296e-11,2.79229417804232140390869784468e-11,0.592746050852661176823234871153,1.60513293599243706984168447466e-10,0.592746050975478220449915834470,-20.4458198077358,audit_dps060_nmin08_h02.json
60,8,2,"4,6,8,10,12",5,9.32034738575640447528858712194e-12,1.03875072534249654122545750799e-11,1.19124246675676679038382940996e-11,0.592746050826078971589531446625,9.54952411024743892590166980115e-11,0.592746050900176725024718949109,-21.0505861708766,audit_dps060_nmin08_h02.json
60,8,3,4,8,0.000000178445925323787701523726662288,0.000000246311976439368579666670632789,0.000000200134670074463151733357185568,0.592746068353032917481796044625,0.000000139474218540816927968095592102,0.592746195641691671030297139559,-13.6039994275939,audit_dps060_nmin08_h03.json
60,8,3,"4,6",7,0.00000000265146011592180249788762039694,0.00000000479636660354651086766532885478,0.00000000307982161959661640464393763961,0.592746051139031294321231149256,0.00000000194505236909764704115985822869,0.592746049501568461679083656558,-17.2875836024103,audit_dps060_nmin08_h03.json
60,8,3,"4,6,8",6,0.00000000102536558958716570687563453014,0.00000000128565237537713790306747934926,0.00000000133053407195992872111777883090,0.592746050978276818554637772400,0.00000000171065607880526133909969151804,0.592746052559226703672106027284,-17.7559585562233,audit_dps060_nmin08_h03.json
60,8,3,"4,6,8,10",5,2.97772072076051452929032165038e-11,3.34198791207401323983032968527e-11,4.21124117801844966575538058202e-11,0.592746050852661176823234871153,1.60513293599243706984168447466e-10,0.592746050975478220449915834470,-20.3206050307831,audit_dps060_nmin08_h03.json
60,8,3,"4,6,8,10,12",4,1.37012380572377671091890395499e-11,1.40536544492378601812717082526e-11,1.97741167603112799823164518425e-11,0.592746050826078971589531446625,9.54952411024743892590166980115e-11,0.592746050900176725024718949109,-20.8832584582496,audit_dps060_nmin08_h03.json
60,8,4,4,7,0.000000197341465716345440852140690318,0.000000276496274505747355939126474453,0.000000228841574259778637139045920326,0.592746068353032917481796044625,0.000000139474218540816927968095592102,0.592746195641691671030297139559,-13.5602877136982,audit_dps060_nmin08_h04.json
60,8,4,"4,6",6,0.00000000317031455266525829336518698769,0.00000000555652537052239031824506323314,0.00000000384269985780226605064588633531,0.592746051139031294321231149256,0.00000000194505236909764704115985822869,0.592746049501568461679083656558,-17.2099663468832,audit_dps060_nmin08_h04.json
60,8,4,"4,6,8",5,0.00000000127173943595123872858301139546,0.00000000163407695278367461171430677078,0.00000000175051320877582495955355749373,0.592746050978276818554637772400,0.00000000171065607880526133909969151804,0.592746052559226703672106027284,-17.6624391562787,audit_dps060_nmin08_h04.json
60,8,4,"4,6,8,10",4,3.81487267775011193584465045534e-11,4.03905539308066266476669909892e-11,5.81671112157084183987590958189e-11,0.592746050852661176823234871153,1.60513293599243706984168447466e-10,0.592746050975478220449915834470,-20.2130089459480,audit_dps060_nmin08_h04.json
