dps,min_train,holdout,model,n_min,train_max,test_min,test_max,intercept,rmse,max_abs,source
160,8,3,"4,6",8,14,15,17,0.592746044736984056807485893259,0.00000000317159935070798002304218352822,0.00000000379981068382294698242405758066,audit_dps160_nmin08_h03.json
160,8,3,"4,6",8,15,16,18,0.592746046242137993802859465309,0.00000000265146011592180249788762039694,0.00000000307982161959661640464393763961,audit_dps160_nmin08_h03.json
160,8,3,"4,6",8,16,17,19,0.592746047280886820149037918868,0.00000000224751653570335978570851365036,0.00000000254230106428122941888959069877,audit_dps160_nmin08_h03.json
160,8,3,"4,6",8,17,18,20,0.592746048019206927288364739227,0.00000000192713800268525477620031111061,0.00000000213150528408976143878803744270,audit_dps160_nmin08_h03.json
160,8,3,"4,6",8,18,19,21,0.592746048557641205514835166858,0.00000000166864012889738608911518072608,0.00000000181111701746836000217636187746,audit_dps160_nmin08_h03.json
160,8,3,"4,6,8",8,13,14,16,0.592746057609658657498067936820,0.00000000128565237537713790306747934926,0.00000000179628634063147699082464088714,audit_dps160_nmin08_h03.json
160,8,3,"4,6,8",8,14,15,17,0.592746056190108763018050520058,0.00000000116314664222132046871682226871,0.00000000157523413950990241230545178820,audit_dps160_nmin08_h03.json
160,8,3,"4,6,8",8,15,16,18,0.592746055173491051267203339583,0.00000000106536195378466943313857318660,0.00000000140073671686421018535617478137,audit_dps160_nmin08_h03.json
160,8,3,"4,6,8",8,16,17,19,0.592746054423040315613681332487,9.85369225389661980612695873682e-10,0.00000000126033142705564725687938288043,audit_dps160_nmin08_h03.json
160,8,3,"4,6,8",8,17,18,20,0.592746053854560810711418628620,9.18428219215248850176617135934e-10,0.00000000114536048949171846198656840892,audit_dps160_nmin08_h03.json
160,8,3,"4,6,8",8,18,19,21,0.592746053414210115083915994325,8.61249318889422414437721176844e-10,0.00000000104968423020813660572866267908,audit_dps160_nmin08_h03.json
160,8,3,"4,6,8,10",8,14,15,17,0.592746051156870837997947935410,2.37513844932943019259700335780e-11,3.55226570196990704887227419134e-11,audit_dps160_nmin08_h03.json
160,8,3,"4,6,8,10",8,15,16,18,0.592746051122623258079845881108,2.72168177098224807339257190221e-11,3.95426965009578303422827826869e-11,audit_dps160_nmin08_h03.json
160,8,3,"4,6,8,10",8,16,17,19,0.592746051090194524217082728415,2.97772072076051452929032165038e-11,4.21124117801844966575538058202e-11,audit_dps160_nmin08_h03.json
160,8,3,"4,6,8,10",8,17,18,20,0.592746051061053293332396170751,3.17948899410755236071012858915e-11,4.38228683982119443297050935583e-11,audit_dps160_nmin08_h03.json
