N,batch,geometry,a,b,K,count,sum_q,sum_E,occupation_seed,anchor_seed,anchors_per_configuration,window_displacements,source_denominator,sum_B16_total,sum_qB16_total,sum_EB16_total,eligible_pair_count_total,nonzero_pair_count_total,sum_B16_s2,sum_qB16_s2,sum_EB16_s2,eligible_pair_count_s2,nonzero_pair_count_s2,sum_B16_sge3,sum_qB16_sge3,sum_EB16_sge3,eligible_pair_count_sge3,nonzero_pair_count_sge3,s_le1_pair_count,s_le1_nonzero_g16_count,total_minus_s2_minus_sge3_B16
100,0,axis,10,0,41,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,42,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,43,1,-1,1,2026090101001001,2026090101001002,16,28,25600,0,0,0,177,0,0,0,0,1,0,0,0,0,0,0,176,0,0
100,0,axis,10,0,44,1,-1,1,2026090101001001,2026090101001002,16,28,25600,4,-4,4,116,1,4,-4,4,1,1,0,0,0,0,0,115,0,0
100,0,axis,10,0,45,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,46,2,-2,2,2026090101001001,2026090101001002,16,28,25600,4,-4,4,254,1,4,-4,4,2,1,0,0,0,0,0,252,0,0
100,0,axis,10,0,47,5,-5,5,2026090101001001,2026090101001002,16,28,25600,4,-4,4,671,1,4,-4,4,2,1,0,0,0,0,0,669,0,0
100,0,axis,10,0,48,4,-4,4,2026090101001001,2026090101001002,16,28,25600,0,0,0,454,0,0,0,0,4,0,0,0,0,0,0,450,0,0
100,0,axis,10,0,49,3,-2,2,2026090101001001,2026090101001002,16,28,25600,4,0,0,343,1,4,0,0,4,1,0,0,0,0,0,339,0,0
100,0,axis,10,0,50,5,-4,4,2026090101001001,2026090101001002,16,28,25600,0,0,0,508,0,0,0,0,3,0,0,0,0,0,0,505,0,0
100,0,axis,10,0,51,14,-10,10,2026090101001001,2026090101001002,16,28,25600,60,-44,44,1408,14,60,-44,44,30,14,0,0,0,0,0,1378,0,0
100,0,axis,10,0,52,9,-5,7,2026090101001001,2026090101001002,16,28,25600,12,-4,12,930,3,12,-4,12,7,3,0,0,0,0,0,923,0,0
100,0,axis,10,0,53,21,-12,16,2026090101001001,2026090101001002,16,28,25600,36,-24,24,2101,11,36,-24,24,20,11,0,0,0,0,0,2081,0,0
100,0,axis,10,0,54,16,-3,5,2026090101001001,2026090101001002,16,28,25600,80,-40,40,1567,19,80,-40,40,36,19,0,0,0,0,0,1531,0,0
100,0,axis,10,0,55,29,-16,22,2026090101001001,2026090101001002,16,28,25600,128,-84,100,2575,36,128,-84,100,78,36,0,0,0,0,0,2497,0,0
100,0,axis,10,0,56,34,-16,22,2026090101001001,2026090101001002,16,28,25600,174,-96,104,3222,46,166,-88,96,114,45,8,-8,8,1,1,3107,0,0
100,0,axis,10,0,57,40,-14,20,2026090101001001,2026090101001002,16,28,25600,120,-34,42,3439,35,120,-34,42,82,35,0,0,0,0,0,3357,0,0
100,0,axis,10,0,58,30,-6,12,2026090101001001,2026090101001002,16,28,25600,94,-46,62,2173,22,86,-38,54,56,21,8,-8,8,1,1,2116,0,0
100,0,axis,10,0,59,42,-1,27,2026090101001001,2026090101001002,16,28,25600,110,-58,94,3413,39,110,-58,94,78,39,0,0,0,0,0,3335,0,0
100,0,axis,10,0,60,45,7,29,2026090101001001,2026090101001002,16,28,25600,122,-32,56,3273,29,122,-32,56,57,29,0,0,0,0,0,3216,0,0
100,0,axis,10,0,61,35,12,18,2026090101001001,2026090101001002,16,28,25600,49,-3,27,2236,30,49,-3,27,42,30,0,0,0,0,0,2194,0,0
100,0,axis,10,0,62,33,11,23,2026090101001001,2026090101001002,16,28,25600,88,40,56,2201,21,88,40,56,41,21,0,0,0,0,0,2160,0,0
100,0,axis,10,0,63,35,17,23,2026090101001001,2026090101001002,16,28,25600,80,14,30,2052,18,80,14,30,44,18,0,0,0,0,0,2008,0,0
100,0,axis,10,0,64,30,16,20,2026090101001001,2026090101001002,16,28,25600,26,2,26,1811,17,26,2,26,41,17,0,0,0,0,0,1770,0,0
100,0,axis,10,0,65,28,18,20,2026090101001001,2026090101001002,16,28,25600,46,36,36,1457,12,46,36,36,18,12,0,0,0,0,0,1439,0,0
100,0,axis,10,0,66,12,9,11,2026090101001001,2026090101001002,16,28,25600,4,4,4,629,1,4,4,4,5,1,0,0,0,0,0,624,0,0
100,0,axis,10,0,67,9,9,9,2026090101001001,2026090101001002,16,28,25600,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,360,0,0
100,0,axis,10,0,68,9,6,6,2026090101001001,2026090101001002,16,28,25600,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,438,0,0
100,0,axis,10,0,69,3,3,3,2026090101001001,2026090101001002,16,28,25600,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,134,0,0
100,0,axis,10,0,70,2,2,2,2026090101001001,2026090101001002,16,28,25600,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,66,0,0
100,0,axis,10,0,71,1,1,1,2026090101001001,2026090101001002,16,28,25600,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,41,0,0
100,0,axis,10,0,72,1,1,1,2026090101001001,2026090101001002,16,28,25600,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,34,0,0
100,0,axis,10,0,73,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,74,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,75,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,76,1,1,1,2026090101001001,2026090101001002,16,28,25600,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0
100,0,axis,10,0,77,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,78,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,79,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,80,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,81,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,82,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,83,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,84,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,85,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,86,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,87,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,88,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,89,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,90,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,91,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,92,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,93,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,94,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,95,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,96,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,97,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,98,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,99,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,axis,10,0,100,0,0,0,2026090101001001,2026090101001002,16,28,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
