k,replicas,sum_clusters_G,sum_clusters_Gstar,sum_wrap_H_G,sum_wrap_V_G,sum_wrap_E_G,sum_wrap_B_G,sum_wrap_H_Gstar,sum_wrap_V_Gstar,sum_wrap_E_Gstar,sum_wrap_B_Gstar,sum_clusters_G_sq,sum_clusters_Gstar_sq,sum_clusters_G_Gstar,sum_H_G_H_Gstar,sum_V_G_V_Gstar,sum_E_G_E_Gstar,sum_B_G_B_Gstar
206,2000,250330,2005,0,0,0,0,2000,2000,2000,2000,31430162,2015,250941,0,0,0,0
207,2000,250726,2005,0,0,0,0,2000,2000,2000,2000,31529810,2015,251339,0,0,0,0
208,2000,251169,2005,0,0,0,0,2000,2000,2000,2000,31641785,2015,251785,0,0,0,0
209,2000,251641,2005,0,0,0,0,2000,2000,2000,2000,31761529,2015,252260,0,0,0,0
210,2000,252061,2005,0,0,0,0,2000,2000,2000,2000,31868319,2015,252685,0,0,0,0
211,2000,252421,2006,0,0,0,0,2000,2000,2000,2000,31958761,2018,253159,0,0,0,0
212,2000,252824,2006,0,0,0,0,2000,2000,2000,2000,32061114,2018,253563,0,0,0,0
213,2000,253270,2007,0,0,0,0,2000,2000,2000,2000,32173946,2021,254150,0,0,0,0
214,2000,253762,2007,0,0,0,0,2000,2000,2000,2000,32299376,2021,254641,0,0,0,0
215,2000,254164,2008,0,0,0,0,2000,2000,2000,2000,32401858,2024,255157,0,0,0,0
216,2000,254508,2009,0,0,0,0,2000,2000,2000,2000,32489742,2027,255632,0,0,0,0
217,2000,254878,2009,0,0,0,0,2000,2000,2000,2000,32585362,2027,256002,0,0,0,0
218,2000,255222,2009,0,0,0,0,2000,2000,2000,2000,32672890,2027,256346,0,0,0,0
219,2000,255639,2009,0,0,0,0,2000,2000,2000,2000,32779373,2027,256768,0,0,0,0
220,2000,256046,2011,0,0,0,0,2000,2000,2000,2000,32883866,2033,257409,0,0,0,0
221,2000,256414,2011,0,0,0,0,2000,2000,2000,2000,32978304,2033,257784,0,0,0,0
222,2000,256763,2012,0,0,0,0,2000,2000,2000,2000,33068243,2036,258263,0,0,0,0
223,2000,257123,2012,0,0,0,0,2000,2000,2000,2000,33161269,2036,258624,0,0,0,0
224,2000,257416,2012,0,0,0,0,2000,2000,2000,2000,33237158,2036,258919,0,0,0,0
225,2000,257740,2012,0,0,0,0,2000,2000,2000,2000,33320392,2036,259246,0,0,0,0
226,2000,258055,2012,0,0,0,0,2000,2000,2000,2000,33401581,2036,259564,0,0,0,0
227,2000,258427,2013,0,0,0,0,2000,2000,2000,2000,33498973,2039,260066,0,0,0,0
228,2000,258710,2015,0,0,0,0,2000,2000,2000,2000,33573424,2045,260599,0,0,0,0
229,2000,259017,2015,0,0,0,0,2000,2000,2000,2000,33653463,2045,260911,0,0,0,0
230,2000,259262,2015,0,0,0,0,2000,2000,2000,2000,33717116,2045,261164,0,0,0,0
231,2000,259536,2015,0,0,0,0,2000,2000,2000,2000,33788916,2045,261438,0,0,0,0
232,2000,259870,2015,0,0,0,0,2000,2000,2000,2000,33876258,2045,261775,0,0,0,0
233,2000,260097,2015,0,0,0,0,2000,2000,2000,2000,33934895,2045,262001,0,0,0,0
234,2000,260332,2016,0,0,0,0,2000,2000,2000,2000,33997144,2048,262366,0,0,0,0
235,2000,260595,2017,0,0,0,0,2000,2000,2000,2000,34065533,2051,262756,0,0,0,0
236,2000,260817,2017,0,0,0,0,2000,2000,2000,2000,34124071,2051,262979,0,0,0,0
237,2000,261053,2017,0,0,0,0,2000,2000,2000,2000,34186827,2051,263217,0,0,0,0
238,2000,261294,2017,0,0,0,0,2000,2000,2000,2000,34249978,2051,263456,0,0,0,0
239,2000,261501,2018,0,0,0,0,2000,2000,2000,2000,34304999,2054,263787,0,0,0,0
240,2000,261736,2019,0,0,0,0,2000,2000,2000,2000,34366926,2057,264154,0,0,0,0
241,2000,261998,2020,0,0,0,0,2000,2000,2000,2000,34435932,2060,264547,0,0,0,0
242,2000,262193,2020,0,0,0,0,2000,2000,2000,2000,34488123,2060,264745,0,0,0,0
243,2000,262410,2021,0,0,0,0,2000,2000,2000,2000,34545884,2063,265089,0,0,0,0
244,2000,262661,2021,0,0,0,0,2000,2000,2000,2000,34612773,2063,265342,0,0,0,0
245,2000,262903,2021,0,0,0,0,2000,2000,2000,2000,34677915,2063,265586,0,0,0,0
246,2000,263145,2021,0,0,0,0,2000,2000,2000,2000,34742065,2063,265841,0,0,0,0
247,2000,263295,2022,0,0,0,0,2000,2000,2000,2000,34782161,2066,266110,0,0,0,0
248,2000,263527,2023,0,0,0,0,2000,2000,2000,2000,34842787,2069,266473,0,0,0,0
249,2000,263727,2026,0,0,0,0,2000,2000,2000,2000,34895831,2078,267096,0,0,0,0
250,2000,263860,2026,0,0,0,0,2000,2000,2000,2000,34930940,2078,267232,0,0,0,0
251,2000,264078,2026,0,0,0,0,2000,2000,2000,2000,34988548,2078,267447,0,0,0,0
252,2000,264236,2026,0,0,0,0,2000,2000,2000,2000,35030774,2078,267610,0,0,0,0
253,2000,264370,2026,0,0,0,0,2000,2000,2000,2000,35067036,2078,267744,0,0,0,0
254,2000,264540,2027,0,0,0,0,2000,2000,2000,2000,35112774,2081,268043,0,0,0,0
255,2000,264680,2028,0,0,0,0,2000,2000,2000,2000,35150496,2084,268313,0,0,0,0
256,2000,264825,2029,0,0,0,0,2000,2000,2000,2000,35189595,2087,268606,0,0,0,0
257,2000,264950,2031,0,0,0,0,2000,2000,2000,2000,35223528,2093,268993,0,0,0,0
258,2000,265068,2031,0,0,0,0,2000,2000,2000,2000,35254648,2093,269112,0,0,0,0
259,2000,265110,2031,0,0,0,0,2000,2000,2000,2000,35266586,2093,269155,0,0,0,0
260,2000,265230,2033,0,0,0,0,2000,2000,2000,2000,35298496,2099,269531,0,0,0,0
261,2000,265305,2033,0,0,0,0,2000,2000,2000,2000,35317749,2099,269609,0,0,0,0
262,2000,265379,2033,0,0,0,0,2000,2000,2000,2000,35338517,2099,269689,0,0,0,0
263,2000,265395,2035,0,0,0,0,2000,2000,2000,2000,35342657,2105,269955,0,0,0,0
264,2000,265515,2037,0,0,0,0,2000,2000,2000,2000,35375395,2111,270312,0,0,0,0
265,2000,265613,2039,0,0,0,0,2000,2000,2000,2000,35402265,2117,270695,0,0,0,0
266,2000,265676,2039,0,0,0,0,2000,2000,2000,2000,35419306,2117,270758,0,0,0,0
