N,channel,p,mean_F1,mean_F2,mean_A,mean_E,pointwise_se_F1,pointwise_se_F2,pointwise_se_A,pointwise_se_E
325,plus_S,0.11900000000000001,-1.069180305728921e-98,1.7947339835895387e-99,-8.897069073699668e-99,1.2486537040878748e-98,2.9125280014251054e-99,1.2718603948497652e-99,3.1040734026955874e-99,3.2504806962699034e-99
325,plus_S,0.12,-4.725295997387745e-98,7.917738674155852e-99,-3.93352212997216e-98,5.517069864803331e-98,1.2858195573210936e-98,5.614588323760292e-99,1.3705060444238782e-98,1.4348690153050724e-98
325,plus_S,0.121,-2.0599416609268106e-97,3.445464296777059e-98,-1.715395231249105e-97,2.4044880906045163e-97,5.599341106714613e-98,2.4448011250330586e-98,5.968665055845593e-98,6.247750330458286e-98
325,plus_S,0.122,-8.859828465907859e-97,1.4792326927491286e-97,-7.380595773158733e-97,1.033906115865699e-96,2.4056777731426876e-97,1.0502990057190832e-97,2.564586757400491e-97,2.6839750116162675e-97
325,plus_S,0.123,-3.760403775073356e-96,6.267028357824562e-97,-3.1337009392909e-96,4.387106610855812e-96,1.0199429941989998e-96,4.4526694337445305e-97,1.0874162013426933e-96,1.1378131347513642e-96
325,plus_S,0.124,-1.5753403940106385e-95,2.6206873756817763e-96,-1.3132716564424607e-95,1.8374091315788162e-95,4.2681948926701836e-96,1.8631937778642348e-96,4.550974556875455e-96,4.760944021310054e-96
325,plus_S,0.125,-6.515306768017347e-95,1.0818994971898335e-95,-5.4334072708275144e-95,7.59720626520718e-95,1.763324526376913e-95,7.696892743767112e-96,1.880325288607943e-95,1.9666841988095805e-95
325,plus_S,0.126,-2.660746364038783e-94,4.410261777424795e-95,-2.2197201862963036e-94,3.1017725417812625e-94,7.193289399969469e-95,3.13964322962987e-95,7.671303305026123e-95,8.022010321885837e-95
325,plus_S,0.127,-1.073163195265277e-93,1.7755507255538394e-94,-8.956081227098931e-94,1.2507182678206608e-93,2.898115095097226e-94,1.264847471716189e-94,3.0909960003717306e-94,3.2316503814553394e-94
325,plus_S,0.128,-4.275680697169351e-93,7.061168386945998e-94,-3.569563858474751e-93,4.98179753586395e-93,1.1534002760235033e-93,5.033528398825135e-94,1.2302811541512461e-93,1.2860018810398561e-93
325,plus_S,0.129,-1.6830752265080062e-92,2.7744465869069506e-93,-1.4056305678173108e-92,1.9605198851987016e-92,4.535261785119514e-93,1.979087350702938e-93,4.838029387346608e-93,5.056109576514954e-93
325,plus_S,0.13,-6.54696814465146e-92,1.0772391736710643e-92,-5.469728970980395e-92,7.624207318322523e-92,1.762228517122978e-92,7.689447687344078e-93,1.880054782810741e-92,1.96439426324793e-92
325,plus_S,0.131,-2.51705787014869e-91,4.133916454168501e-92,-2.1036662247318397e-91,2.9304495155655404e-91,6.7676435371821e-92,2.9528467545308442e-92,7.220848143087105e-92,7.543206088838319e-92
325,plus_S,0.132,-9.566178952223072e-91,1.5681986571460683e-91,-7.997980295076999e-91,1.1134377609369136e-90,2.569236979621576e-91,1.1209295124799754e-91,2.7415595121124327e-91,2.863350258063625e-91
325,plus_S,0.133,-3.5945990658884356e-90,5.881723386326012e-91,-3.0064267272558342e-90,4.182771404521037e-90,9.643542884726331e-91,4.207088615239875e-91,1.0291370879132372e-90,1.0746288354600385e-90
325,plus_S,0.134,-1.3356778482884422e-89,2.181448110660851e-90,-1.1175330372223573e-89,1.5538226593545275e-89,3.5793773190856706e-90,1.5614339965220878e-90,3.8202124870147504e-90,3.988234294749532e-90
325,plus_S,0.135,-4.908664266196704e-89,8.001897094669552e-90,-4.1084745567297485e-89,5.708853975663659e-89,1.3139770725601257e-89,5.7315917102919e-90,1.4025281169104488e-89,1.4639020617420837e-89
325,plus_S,0.136,-1.7844514085439656e-88,2.9034760993887333e-89,-1.4941037986050927e-88,2.0747990184828385e-88,4.771412694435355e-89,2.081162333178504e-89,5.0934828767124336e-89,5.315229411789947e-89
325,plus_S,0.137,-6.417913173724677e-88,1.0422902394397776e-88,-5.375622934284899e-88,7.460203413164455e-88,1.7141664204541551e-88,7.476247770201375e-89,1.8300597204644195e-88,1.9093192682177946e-88
325,plus_S,0.138,-2.284005248370979e-87,3.7022916333026464e-88,-1.9137760850407151e-87,2.654234411701244e-87,6.093575891847565e-88,2.6575097584318885e-88,6.506227519037879e-88,6.78653475657845e-88
325,plus_S,0.139,-8.044137758979809e-87,1.301454812189286e-87,-6.7426829467905225e-87,9.345592571169095e-87,2.1437280669850646e-87,9.348555171791172e-88,2.289137043327419e-87,2.3872371736435648e-87
325,plus_S,0.14,-2.804171904484573e-86,4.528221335187771e-87,-2.3513497709657967e-86,3.256994038003351e-86,7.464641919885103e-87,3.2550387181143977e-87,7.971801802871113e-87,8.31159961215652e-87
325,plus_S,0.14100000000000001,-9.676866039599332e-86,1.5596548294976117e-86,-8.117211210101718e-86,1.1236520869096945e-85,2.5730741727671586e-86,1.1219463409128253e-86,2.7481825106939448e-86,2.864688721102883e-86
325,plus_S,0.14200000000000002,-3.3062119438755374e-85,5.318541138544648e-86,-2.774357830021073e-85,3.838066057730003e-85,8.781335584504659e-86,3.8287162681129075e-86,9.379937260461974e-86,9.775409086508737e-86
325,plus_S,0.14300000000000002,-1.118541590386423e-84,1.7958883428509562e-85,-9.389527561013276e-85,1.2981304246715185e-84,2.967518266150799e-85,1.293775934999529e-85,3.170145505223786e-85,3.303062084726009e-85
325,plus_S,0.14400000000000002,-3.747636299356494e-84,6.005473693759457e-85,-3.1470889299805493e-84,4.348183668732439e-84,9.931369723172359e-85,4.3296033420740584e-85,1.0610643574874761e-84,1.105302593333861e-84
325,plus_S,0.145,-1.2436659455973708e-83,1.9890855751837174e-84,-1.044757388078999e-83,1.4425745031157422e-83,3.2920389928540393e-84,1.4350844549961883e-84,3.517585599861401e-84,3.663409312994385e-84
325,plus_S,0.146,-4.088340168685218e-83,6.526102314298418e-84,-3.435729937255377e-83,4.740950400115061e-83,1.080977934397787e-83,4.711976203626861e-84,1.1551649682909192e-83,1.2027779845899112e-83
325,plus_S,0.147,-1.3315028512636083e-82,2.1213058977003283e-83,-1.1193722614935756e-82,1.5436334410336408e-82,3.516572221195044e-83,1.5327799643274058e-83,3.758326880070708e-83,3.912335399015058e-83
325,plus_S,0.148,-4.2967756053776836e-82,6.83211883278443e-83,-3.61356372209924e-82,4.979987488656128e-82,1.1335137798018807e-82,4.940391204892888e-83,1.2115741378899655e-82,1.2609299709124769e-82
